# trial, microseconds
0, 94
1, 72
2, 47
3, 68
4, 39
5, 39
6, 37
7, 37
8, 39
9, 38
10, 39
11, 38
12, 37
13, 37
14, 38
15, 38
16, 38
17, 38
18, 38
19, 38
20, 38
21, 38
22, 37
23, 38
24, 39
25, 38
26, 40
27, 38
28, 37
29, 37
30, 38
31, 39
32, 37
33, 37
34, 38
35, 38
36, 38
37, 39
38, 37
39, 39
40, 38
41, 38
42, 39
43, 39
44, 37
45, 38
46, 38
47, 38
48, 39
49, 39
50, 39
51, 38
52, 38
53, 39
54, 38
55, 39
56, 38
57, 38
58, 38
59, 39
60, 38
61, 38
62, 38
63, 38
64, 38
65, 39
66, 38
67, 37
68, 38
69, 38
70, 38
71, 46
72, 38
73, 39
74, 38
75, 38
76, 37
77, 38
78, 37
79, 39
80, 38
81, 37
82, 37
83, 39
84, 38
85, 38
86, 37
87, 38
88, 38
89, 38
90, 38
91, 38
92, 39
93, 39
94, 38
95, 38
96, 37
97, 38
98, 38
99, 38
100, 38
101, 39
102, 38
103, 38
104, 37
105, 39
106, 39
107, 38
108, 38
109, 39
110, 37
111, 38
112, 37
113, 38
114, 37
115, 38
116, 37
117, 38
118, 39
119, 38
120, 38
121, 38
122, 37
123, 37
124, 38
125, 39
126, 39
127, 37
128, 39
129, 38
130, 37
131, 37
132, 37
133, 38
134, 37
135, 37
136, 37
137, 38
138, 37
139, 37
140, 38
141, 37
142, 38
143, 37
144, 38
145, 37
146, 37
147, 37
148, 37
149, 37
150, 37
151, 36
152, 37
153, 37
154, 38
155, 37
156, 37
157, 37
158, 37
159, 37
160, 38
161, 37
162, 38
163, 36
164, 42
165, 38
166, 37
167, 37
168, 38
169, 37
170, 37
171, 37
172, 38
173, 38
174, 37
175, 37
176, 37
177, 37
178, 37
179, 37
180, 37
181, 37
182, 38
183, 37
184, 37
185, 37
186, 38
187, 37
188, 38
189, 36
190, 37
191, 37
192, 38
193, 37
194, 37
195, 37
196, 38
197, 37
198, 38
199, 37
200, 37
201, 37
202, 37
203, 37
204, 38
205, 37
206, 37
207, 37
208, 37
209, 36
210, 37
211, 82
212, 39
213, 38
214, 37
215, 38
216, 37
217, 38
218, 37
219, 37
220, 37
221, 37
222, 36
223, 37
224, 37
225, 37
226, 37
227, 38
228, 37
229, 38
230, 37
231, 37
232, 37
233, 37
234, 36
235, 37
236, 37
237, 37
238, 37
239, 37
240, 38
241, 37
242, 36
243, 37
244, 37
245, 38
246, 36
247, 37
248, 37
249, 37
250, 36
251, 37
252, 37
253, 37
254, 37
255, 37
256, 37
257, 37
258, 40
259, 38
260, 37
261, 37
262, 37
263, 37
264, 37
265, 37
266, 36
267, 37
268, 36
269, 38
270, 37
271, 37
272, 37
273, 37
274, 38
275, 36
276, 37
277, 37
278, 37
279, 37
280, 37
281, 38
282, 37
283, 38
284, 37
285, 36
286, 37
287, 37
288, 37
289, 37
290, 37
291, 37
292, 36
293, 37
294, 37
295, 37
296, 37
297, 37
298, 37
299, 37
300, 37
301, 37
302, 37
303, 37
304, 37
305, 37
306, 72
307, 43
308, 65
309, 43
310, 38
311, 38
312, 37
313, 37
314, 38
315, 36
316, 38
317, 38
318, 38
319, 38
320, 37
321, 37
322, 38
323, 38
324, 37
325, 37
326, 38
327, 37
328, 37
329, 37
330, 37
331, 37
332, 38
333, 37
334, 37
335, 37
336, 36
337, 37
338, 38
339, 37
340, 37
341, 37
342, 37
343, 38
344, 37
345, 37
346, 38
347, 38
348, 37
349, 37
350, 41
351, 96
352, 38
353, 38
354, 38
355, 37
356, 38
357, 37
358, 37
359, 37
360, 37
361, 37
362, 37
363, 38
364, 37
365, 37
366, 38
367, 37
368, 38
369, 37
370, 38
371, 37
372, 37
373, 37
374, 37
375, 38
376, 38
377, 37
378, 38
379, 37
380, 37
381, 37
382, 38
383, 37
384, 37
385, 36
386, 37
387, 37
388, 37
389, 37
390, 38
391, 37
392, 38
393, 37
394, 38
395, 37
396, 41
397, 38
398, 37
399, 37
400, 37
401, 38
402, 37
403, 38
404, 37
405, 37
406, 37
407, 37
408, 37
409, 37
410, 38
411, 37
412, 37
413, 37
414, 37
415, 38
416, 36
417, 37
418, 37
419, 38
420, 36
421, 37
422, 38
423, 37
424, 37
425, 37
426, 37
427, 37
428, 37
429, 37
430, 37
431, 37
432, 37
433, 37
434, 38
435, 37
436, 36
437, 37
438, 37
439, 38
440, 37
441, 38
442, 37
443, 41
444, 88
445, 86
446, 85
447, 84
448, 84
449, 84
450, 85
451, 40
452, 38
453, 38
454, 37
455, 38
456, 37
457, 38
458, 37
459, 37
460, 36
461, 37
462, 36
463, 37
464, 37
465, 37
466, 37
467, 37
468, 36
469, 37
470, 36
471, 37
472, 37
473, 38
474, 37
475, 37
476, 37
477, 37
478, 36
479, 37
480, 37
481, 37
482, 37
483, 37
484, 36
485, 52
486, 38
487, 37
488, 37
489, 38
490, 37
491, 37
492, 37
493, 37
494, 37
495, 38
496, 36
497, 37
498, 37
499, 36
500, 38
501, 36
502, 37
503, 36
504, 37
505, 37
506, 37
507, 36
508, 36
509, 37
510, 37
511, 37
512, 37
513, 37
514, 37
515, 40
516, 37
517, 37
518, 36
519, 36
520, 37
521, 38
522, 37
523, 37
524, 37
525, 37
526, 37
527, 36
528, 37
529, 38
530, 37
531, 37
532, 47
533, 38
534, 37
535, 36
536, 37
537, 37
538, 37
539, 37
540, 38
541, 37
542, 37
543, 37
544, 38
545, 36
546, 37
547, 37
548, 37
549, 36
550, 37
551, 37
552, 37
553, 37
554, 37
555, 36
556, 37
557, 36
558, 37
559, 37
560, 38
561, 36
562, 37
563, 37
564, 37
565, 37
566, 37
567, 37
568, 37
569, 37
570, 38
571, 38
572, 38
573, 36
574, 37
575, 36
576, 37
577, 36
578, 36
579, 84
580, 41
581, 37
582, 37
583, 36
584, 36
585, 37
586, 37
587, 37
588, 36
589, 37
590, 37
591, 37
592, 36
593, 37
594, 37
595, 37
596, 36
597, 37
598, 37
599, 37
600, 37
601, 37
602, 36
603, 37
604, 37
605, 36
606, 37
607, 37
608, 36
609, 36
610, 36
611, 37
612, 36
613, 36
614, 37
615, 37
616, 36
617, 37
618, 37
619, 36
620, 36
621, 37
622, 37
623, 37
624, 36
625, 37
626, 46
627, 38
628, 37
629, 36
630, 37
631, 37
632, 37
633, 36
634, 37
635, 37
636, 36
637, 37
638, 37
639, 37
640, 36
641, 36
642, 37
643, 36
644, 37
645, 36
646, 36
647, 36
648, 37
649, 36
650, 36
651, 36
652, 37
653, 37
654, 37
655, 36
656, 37
657, 36
658, 37
659, 37
660, 36
661, 37
662, 36
663, 37
664, 36
665, 37
666, 37
667, 37
668, 36
669, 36
670, 36
671, 37
672, 37
673, 36
674, 41
675, 36
676, 37
677, 36
678, 36
679, 37
680, 36
681, 37
682, 37
683, 36
684, 36
685, 36
686, 36
687, 35
688, 37
689, 37
690, 36
691, 37
692, 36
693, 36
694, 37
695, 37
696, 37
697, 37
698, 37
699, 36
700, 37
701, 37
702, 36
703, 37
704, 37
705, 36
706, 37
707, 36
708, 37
709, 36
710, 37
711, 37
712, 38
713, 36
714, 37
715, 36
716, 37
717, 37
718, 37
719, 37
720, 37
721, 37
722, 44
723, 40
724, 39
725, 37
726, 38
727, 38
728, 37
729, 37
730, 37
731, 37
732, 37
733, 37
734, 38
735, 37
736, 38
737, 38
738, 37
739, 37
740, 38
741, 37
742, 37
743, 37
744, 38
745, 37
746, 37
747, 37
748, 37
749, 36
750, 37
751, 37
752, 37
753, 37
754, 37
755, 37
756, 37
757, 37
758, 38
759, 37
760, 37
761, 37
762, 37
763, 37
764, 37
765, 36
766, 38
767, 37
768, 37
769, 86
770, 38
771, 38
772, 37
773, 36
774, 38
775, 37
776, 37
777, 37
778, 38
779, 37
780, 37
781, 36
782, 37
783, 37
784, 37
785, 37
786, 38
787, 37
788, 37
789, 37
790, 37
791, 37
792, 37
793, 37
794, 38
795, 37
796, 37
797, 37
798, 37
799, 36
800, 37
801, 37
802, 38
803, 37
804, 37
805, 37
806, 37
807, 37
808, 38
809, 37
810, 38
811, 37
812, 37
813, 37
814, 38
815, 37
816, 41
817, 37
818, 38
819, 37
820, 37
821, 37
822, 37
823, 37
824, 37
825, 37
826, 37
827, 37
828, 37
829, 37
830, 37
831, 37
832, 37
833, 37
834, 38
835, 37
836, 37
837, 37
838, 37
839, 37
840, 37
841, 37
842, 37
843, 37
844, 37
845, 37
846, 38
847, 37
848, 37
849, 37
850, 37
851, 38
852, 37
853, 36
854, 37
855, 37
856, 37
857, 37
858, 38
859, 37
860, 37
861, 37
862, 36
863, 41
864, 37
865, 38
866, 37
867, 38
868, 37
869, 38
870, 37
871, 37
872, 37
873, 38
874, 36
875, 37
876, 37
877, 38
878, 37
879, 38
880, 37
881, 38
882, 36
883, 37
884, 37
885, 38
886, 36
887, 37
888, 36
889, 37
890, 36
891, 37
892, 37
893, 37
894, 36
895, 37
896, 36
897, 37
898, 37
899, 37
900, 37
901, 37
902, 36
903, 37
904, 36
905, 38
906, 37
907, 37
908, 36
909, 38
910, 36
911, 39
912, 37
913, 38
914, 38
915, 37
916, 38
917, 37
918, 37
919, 36
920, 37
921, 37
922, 37
923, 37
924, 38
925, 38
926, 38
927, 37
928, 36
929, 37
930, 37
931, 36
932, 37
933, 37
934, 37
935, 37
936, 37
937, 37
938, 37
939, 36
940, 38
941, 37
942, 37
943, 38
944, 37
945, 37
946, 38
947, 37
948, 38
949, 37
950, 37
951, 37
952, 37
953, 38
954, 37
955, 37
956, 37
957, 37
958, 41
959, 37
960, 38
961, 36
962, 38
963, 36
964, 38
965, 36
966, 37
967, 37
968, 38
969, 37
970, 36
971, 37
972, 37
973, 36
974, 37
975, 37
976, 37
977, 36
978, 37
979, 36
980, 37
981, 38
982, 37
983, 37
984, 38
985, 36
986, 36
987, 36
988, 37
989, 37
990, 37
991, 37
992, 37
993, 36
994, 37
995, 36
996, 38
997, 36
998, 37
999, 37
