# trial, us for 1000 calls
0, 70795
1, 70104
2, 71469
3, 72425
4, 70822
5, 72082
6, 71768
7, 70361
8, 71421
9, 70685
10, 70517
11, 71367
12, 71341
13, 71162
14, 72520
15, 71917
16, 70678
17, 70941
18, 70543
19, 70532
20, 72230
21, 70801
22, 70543
23, 69749
24, 70725
25, 70951
26, 71855
27, 71505
28, 71553
29, 71364
30, 70074
31, 72789
32, 71127
33, 71033
34, 70893
35, 71010
36, 71264
37, 71065
38, 70601
39, 70899
40, 71275
41, 71727
42, 71981
43, 71652
44, 71719
45, 71493
46, 71792
47, 71507
48, 71879
49, 71988
50, 71743
51, 71921
52, 71390
53, 71275
54, 72146
55, 70619
56, 70795
57, 71945
58, 71551
59, 71850
60, 72000
61, 72182
62, 72302
63, 71941
64, 71933
65, 72150
66, 71195
67, 71932
68, 72234
69, 71638
70, 71642
71, 72508
72, 71919
73, 70993
74, 71192
75, 70932
76, 71284
77, 72400
78, 71252
79, 71526
80, 69882
81, 70663
82, 71448
83, 72106
84, 70910
85, 70959
86, 71138
87, 70977
88, 73442
89, 72200
90, 71699
91, 70625
92, 72054
93, 72434
94, 71595
95, 70685
96, 71226
97, 70859
98, 71360
99, 71478
