# trial, us for 1000 calls
0, 72958
1, 72859
2, 72940
3, 72810
4, 73094
5, 72600
6, 72618
7, 73117
8, 72547
9, 72856
10, 72619
11, 72753
12, 72866
13, 72775
14, 72521
15, 72897
16, 72736
17, 72569
18, 72843
19, 72674
20, 72978
21, 72856
22, 72798
23, 72774
24, 72657
25, 72784
26, 73048
27, 72860
28, 72602
29, 72900
30, 72797
31, 72564
32, 73163
33, 72966
34, 73240
35, 72883
36, 73244
37, 73225
38, 72993
39, 72601
40, 73101
41, 72885
42, 72890
43, 73013
44, 72785
45, 72870
46, 73645
47, 72915
48, 73279
49, 72749
50, 72786
51, 72959
52, 72806
53, 72942
54, 73002
55, 72866
56, 73023
57, 73140
58, 72654
59, 72738
60, 73092
61, 72817
62, 73211
63, 72734
64, 72719
65, 73009
66, 72689
67, 72836
68, 72955
69, 72582
70, 73080
71, 73051
72, 72606
73, 73068
74, 72689
75, 72621
76, 73133
77, 72738
78, 72671
79, 73084
80, 72966
81, 72552
82, 72638
83, 72441
84, 72540
85, 72848
86, 72721
87, 72988
88, 72836
89, 72557
90, 72899
91, 72616
92, 72658
93, 72954
94, 72800
95, 72528
96, 72850
97, 72806
98, 72436
99, 72781
