# trial, latency
0,51019
1,1936
2,950
3,943
4,961
5,930
6,952
7,932
8,956
9,931
10,941
11,951
12,930
13,955
14,933
15,957
16,933
17,960
18,927
19,925
20,953
21,959
22,947
23,930
24,959
25,928
26,952
27,936
28,940
29,960
30,928
31,1007
32,932
33,944
34,925
35,947
36,926
37,928
38,965
39,929
40,941
41,929
42,997
43,928
44,950
45,940
46,928
47,946
48,928
49,951
50,933
51,948
52,970
53,944
54,926
55,924
56,952
57,931
58,946
59,932
60,941
61,924
62,951
63,990
64,930
65,941
66,936
67,942
68,928
69,946
70,934
71,938
72,929
73,928
74,963
75,932
76,952
77,977
78,945
79,928
80,940
81,951
82,930
83,946
84,939
85,944
86,926
87,946
88,985
89,945
90,928
91,938
92,940
93,928
94,947
95,934
96,942
97,926
98,1000
99,930
