# trial, latency
0,5363
1,820
2,829
3,865
4,819
5,805
6,818
7,829
8,821
9,803
10,798
11,839
12,810
13,827
14,806
15,878
16,804
17,815
18,804
19,829
20,820
21,803
22,841
23,873
24,818
25,811
26,821
27,865
28,804
29,818
30,801
31,835
32,807
33,820
34,803
35,853
36,808
37,806
38,819
39,857
40,818
41,803
42,818
43,836
44,820
45,802
46,804
47,827
48,804
49,823
50,808
51,821
52,863
53,817
54,802
55,802
56,839
57,807
58,815
59,803
60,833
61,803
62,820
63,809
64,861
65,817
66,800
67,814
68,823
69,817
70,803
71,816
72,820
73,801
74,819
75,831
76,887
77,828
78,816
79,799
80,835
81,806
82,806
83,819
84,818
85,814
86,799
87,815
88,864
89,840
90,800
91,801
92,834
93,805
94,818
95,798
96,836
97,799
98,815
99,806
