# trial, latency
0,6956
1,363
2,348
3,345
4,342
5,393
6,372
7,338
8,356
9,374
10,342
11,340
12,340
13,339
14,363
15,341
16,337
17,336
18,335
19,335
20,335
21,334
22,334
23,336
24,346
25,340
26,342
27,341
28,347
29,340
30,343
31,339
32,343
33,336
34,346
35,335
36,333
37,334
38,355
39,339
40,341
41,338
42,345
43,341
44,350
45,341
46,337
47,336
48,335
49,333
50,334
51,332
52,334
53,337
54,335
55,343
56,340
57,344
58,342
59,347
60,345
61,343
62,339
63,354
64,340
65,335
66,335
67,333
68,336
69,337
70,338
71,337
72,340
73,348
74,340
75,340
76,336
77,337
78,337
79,335
80,335
81,335
82,336
83,342
84,336
85,341
86,337
87,343
88,342
89,347
90,340
91,341
92,338
93,351
94,337
95,337
96,334
97,333
98,333
99,335
