# trial, latency
0,40159
1,543
2,551
3,509
4,505
5,501
6,497
7,493
8,493
9,508
10,494
11,489
12,488
13,491
14,491
15,488
16,506
17,492
18,496
19,494
20,502
21,494
22,515
23,494
24,487
25,497
26,446
27,445
28,445
29,462
30,451
31,457
32,450
33,460
34,450
35,453
36,463
37,483
38,464
39,452
40,456
41,448
42,461
43,449
44,511
45,454
46,450
47,448
48,448
49,447
50,449
51,465
52,445
53,444
54,443
55,446
56,446
57,446
58,454
59,448
60,459
61,448
62,450
63,377
64,341
65,334
66,336
67,343
68,330
69,332
70,329
71,331
72,331
73,332
74,330
75,331
76,332
77,344
78,280
79,263
80,262
81,264
82,262
83,264
84,264
85,264
86,264
87,263
88,263
89,273
90,272
91,264
92,268
93,266
94,272
95,264
96,264
97,220
98,225
99,218
