# trial, latency (cycles)
0, 573986
1, 343556
2, 325076
3, 326208
4, 342378
5, 332532
6, 324756
7, 326172
8, 449914
9, 335392
10, 324772
11, 325694
12, 343752
13, 332000
14, 324018
15, 325736
16, 342598
17, 435308
18, 326122
19, 325606
20, 342428
21, 592612
22, 332100
23, 329638
24, 341634
25, 329680
26, 402970
27, 331222
28, 338986
29, 328644
30, 324626
31, 329686
32, 338982
33, 328022
34, 324522
35, 411002
36, 341916
37, 328272
38, 323788
39, 330062
40, 338420
41, 328078
42, 324368
43, 414626
44, 431910
45, 325862
46, 326394
47, 341700
48, 331114
49, 324850
50, 326514
51, 342814
52, 332852
53, 424992
54, 327900
55, 342430
56, 331676
57, 324146
58, 325508
59, 340956
60, 331618
61, 324842
62, 433936
63, 345544
64, 332294
65, 405304
66, 333944
67, 339182
68, 328524
69, 324778
70, 329442
71, 442032
72, 329784
73, 323594
74, 329430
75, 338446
76, 327694
77, 441366
78, 327670
79, 323042
80, 429814
81, 345120
82, 332478
83, 409592
84, 476374
85, 336774
86, 329928
87, 716814
88, 335578
89, 406748
90, 346326
91, 331314
92, 323710
93, 325444
94, 341490
95, 332458
96, 324120
97, 326022
98, 423308
99, 335008
100, 324018
101, 327282
102, 349462
103, 331356
104, 323472
105, 325836
106, 341924
107, 411410
108, 404862
109, 333146
110, 339022
111, 327978
112, 323568
113, 329210
114, 339206
115, 327456
116, 412668
117, 330724
118, 339136
119, 327204
120, 323538
121, 328808
122, 338092
123, 327646
124, 323638
125, 415308
126, 341276
127, 327984
128, 324012
129, 328636
130, 339154
131, 411044
132, 329940
133, 342080
134, 417884
135, 325476
136, 326008
137, 342122
138, 332316
139, 324138
140, 325782
141, 341820
142, 331816
143, 413976
144, 327798
145, 340848
146, 330878
147, 324248
148, 326592
149, 341940
150, 338958
151, 327180
152, 442592
153, 695066
154, 331292
155, 329766
156, 339212
157, 328876
158, 324570
159, 329892
160, 338614
161, 410248
162, 324794
163, 329718
164, 338248
165, 328670
166, 324680
167, 329958
168, 337810
169, 327748
170, 401462
171, 331516
172, 339428
173, 329062
174, 324068
175, 337512
176, 332364
177, 323848
178, 327100
179, 421954
180, 334112
181, 325028
182, 325556
183, 341456
184, 332078
185, 324864
186, 325192
187, 341114
188, 415762
189, 326148
190, 325634
191, 342160
192, 331564
193, 323676
194, 325968
195, 341504
196, 332202
197, 496234
198, 336324
199, 339120
200, 328074
201, 324446
202, 329324
203, 337120
204, 327896
205, 323732
206, 422986
207, 341776
208, 327224
209, 323652
210, 329172
211, 337616
212, 327520
213, 323748
214, 329298
215, 426366
216, 330092
217, 323720
218, 329020
219, 702190
220, 335206
221, 325978
222, 342786
223, 332494
224, 402844
225, 328060
226, 340918
227, 331262
228, 324302
229, 326500
230, 341738
231, 332908
232, 323404
233, 406408
234, 345124
235, 333786
236, 323706
237, 325866
238, 341024
239, 331912
240, 323538
241, 414668
242, 423234
243, 329738
244, 323612
245, 331516
246, 342382
247, 328980
248, 324540
249, 329214
250, 338766
251, 405214
252, 324986
253, 328842
254, 337444
255, 327456
256, 323904
257, 328776
258, 338068
259, 327564
260, 408890
261, 330578
262, 338242
263, 400884
264, 330506
265, 341732
266, 331708
267, 324260
268, 325606
269, 429564
270, 334162
271, 324222
272, 325798
273, 341394
274, 331762
275, 323456
276, 325870
277, 341548
278, 413210
279, 325116
280, 326128
281, 340658
282, 331122
283, 324000
284, 325028
285, 340274
286, 697788
287, 407880
288, 330212
289, 337888
290, 327254
291, 325144
292, 329686
293, 338278
294, 327634
295, 323862
296, 410970
297, 342322
298, 327860
299, 325032
300, 330164
301, 338244
302, 328336
303, 324284
304, 329650
305, 418018
306, 330614
307, 324250
308, 399492
309, 326230
310, 323098
311, 326078
312, 342048
313, 331996
314, 410724
315, 328320
316, 341904
317, 330536
318, 323334
319, 325818
320, 341312
321, 331820
322, 324398
323, 410784
324, 343916
325, 331854
326, 323426
327, 325490
328, 340624
329, 331780
330, 405134
331, 333624
332, 427922
333, 329218
334, 323476
335, 328598
336, 338916
337, 327206
338, 323742
339, 329202
340, 338246
341, 412832
342, 325418
343, 329278
344, 338084
345, 327450
346, 324334
347, 329442
348, 338918
349, 328174
350, 409726
351, 331228
352, 339574
353, 340186
354, 327140
355, 342134
356, 331944
357, 324538
358, 326796
359, 421170
360, 334472
361, 324786
362, 325286
363, 340874
364, 332766
365, 323560
366, 325232
367, 340354
368, 412694
369, 325980
370, 342364
371, 329020
372, 323824
373, 328800
374, 416716
375, 390528
376, 443612
377, 412454
378, 343956
379, 346210
380, 242852
381, 244242
382, 255620
383, 248696
384, 243066
385, 244636
386, 314492
387, 250676
388, 242910
389, 244344
390, 255404
391, 247942
392, 243140
393, 244150
394, 255950
395, 313516
396, 243436
397, 244388
398, 258104
399, 247150
400, 243246
401, 245728
402, 264024
403, 245724
404, 306076
405, 248154
406, 254398
407, 244692
408, 242340
409, 246904
