PAE,kmain(),after recv(),after send()
36332,36954,85880,205640
86908,88476,185836,421150
80152,81682,178990,435224
57044,58070,125862,295734
87028,88594,190118,432062
67936,69280,155384,388632
80638,82204,182922,435730
57720,58798,125284,289262
58748,59746,128712,300780
57836,58868,125866,293724
88416,90008,184840,423804
80330,81864,183046,446002
73182,74464,160474,374490
86940,88452,187324,430150
75870,77202,161348,372906
53844,54708,113514,254304
47446,48308,102490,244516
58044,59114,126456,291414
85806,87350,185386,420410
88080,89640,188676,425492
85412,86920,183792,421140
86508,88072,187562,426844
79752,81348,182462,436756
44886,45716,102828,256182
86566,88054,189632,433700
86632,88166,187268,425874
88560,90166,189672,430442
86086,87624,186496,426880
52516,53522,121920,304388
79898,81442,181214,440602
44294,45154,97716,245820
47086,47932,103814,247880
87576,89196,188830,428770
75106,76438,164468,382988
86204,87728,189066,429744
68382,69372,136454,302222
86206,87810,186142,425154
56022,57080,126572,295178
59274,60290,128722,296162
31398,31936,69496,167238
85000,86596,187764,535340
85744,87256,186456,428882
58046,59028,125852,291710
89030,90588,190874,442402
91056,92650,192036,434672
86926,88538,189166,430894
88438,90034,190606,430078
88152,89820,199364,474916
84312,85808,183808,420612
31606,32124,69524,171002
88302,89902,185314,418212
97336,99044,204896,473824
57742,58736,125716,292404
46812,47620,101304,241850
74274,75590,158220,370608
57738,58742,125296,292800
48404,49240,105650,247252
86416,87976,187436,510562
85656,87260,182206,416078
37830,38542,86310,218290
87330,88962,185372,423630
95852,97540,204436,455536
31310,31838,68204,174952
97680,99472,260728,532588
98420,100180,203944,475456
87074,88632,185580,419952
87908,89748,186416,422084
87262,88860,185404,436512
57560,58570,126106,292900
73556,74854,157108,369112
40068,40778,87602,217260
67176,68462,155370,380022
83786,85382,177016,369914
89460,90986,186454,421442
95720,97412,203536,460200
95464,97148,201140,508976
96100,97796,204532,453696
30932,31472,67544,166168
88816,90400,185968,417000
73894,75210,159738,371876
84580,86116,181160,472636
86690,88252,185678,423494
72696,73938,161624,371948
85080,86616,184292,421160
94620,96280,204264,459432
95584,97340,203832,457320
83110,84702,177930,364466
85026,86608,185370,426376
67514,68872,153746,385180
86316,87876,187464,424286
97036,98788,208404,461968
73494,74814,160794,373388
84940,86484,185962,473786
85830,87446,187272,424792
88322,89892,192252,431886
96396,98064,204552,460812
48804,49628,105692,272962
94740,96480,205352,458268
146976,148712,256444,526044
96836,98504,208300,463436
96688,98480,206956,476748
74216,75512,163674,374048
93872,95580,261292,531872
143168,144832,253700,525500
95424,97124,203560,455340
160288,162028,269444,535720
96016,97752,245812,513924
95168,96852,205964,458068
43502,44300,101572,254724
73640,74942,164400,381656
95152,96852,204228,458268
95580,97328,206692,457688
48996,49866,156846,336954
95624,97344,202828,456832
96684,98444,209168,482980
93700,95356,203656,455608
95904,97724,205524,455248
95592,97252,203960,454824
87500,88872,178030,390082
52462,53456,121870,307602
56440,57444,121612,282572
31670,32188,68366,165872
72808,74088,160242,426228
86246,87734,185494,416520
87878,89444,189972,426984
94360,96088,202820,454076
95292,97128,259884,526888
159144,160816,268512,536104
96964,98704,205660,462124
94432,96212,203084,499024
88456,90136,196884,471772
55754,56768,125062,293924
95208,96916,203836,455660
96072,97748,204140,467288
94976,96728,205492,455124
67436,68710,152960,379174
80266,81864,180178,431818
85706,87324,186914,423890
29008,29540,62478,128892
29222,29794,67092,172376
80798,82308,228720,503252
84876,86364,182652,417650
86392,87986,186050,426106
85328,86892,186024,422220
182068,183614,274292,505574
29464,29992,66962,176198
95680,97448,207176,464088
93784,95524,202348,458424
72420,73740,159722,371746
49140,49990,106406,250974
82040,83524,183396,440532
31986,32538,69384,172052
31986,32506,68110,169828
88644,90240,190404,429840
78894,80428,179458,439466
73064,74304,158918,365036
31846,32398,70496,174812
43124,44000,99202,249656
36494,37194,85044,216930
89560,91044,188076,424836
71782,73070,158520,366998
95816,97660,204712,518252
48622,49452,105390,245274
74308,75650,159706,374872
86100,87636,188916,426368
57408,58460,126792,293134
58152,59150,127440,290986
74594,75854,159392,371120
57758,58778,126070,297736
31886,32446,69526,174882
31570,32122,67454,164268
43270,44132,140220,247992
88428,90036,226208,482124
57516,58604,125902,294476
86752,88272,187080,426670
44952,45666,98082,233190
68630,69926,155536,391722
98548,100220,207912,459936
41478,42202,88880,213394
31350,31892,69046,189434
88292,90004,200320,472340
98224,100004,203792,471724
153536,155384,263428,532576
73472,74750,156914,368110
44148,44994,100690,253588
76792,78082,167920,381516
86638,88246,183428,419988
88568,90308,202048,474208
72174,73420,156240,365102
87432,89004,184434,424200
94576,96236,203148,456656
97404,99140,205188,454780
94048,95768,252132,521876
97524,99316,205412,460076
75556,76826,160872,373182
31880,32410,69530,173982
87720,89468,199564,474488
96256,97976,202148,457304
57516,58522,125510,270860
96536,98300,204796,458364
95688,97472,203104,453600
98320,100016,205956,474196
97352,99072,204172,455188
42582,43432,97990,249008
86990,88550,188158,425042
96004,97808,202360,455368
94436,96156,202320,455976
164496,166244,271660,538068
74056,75370,159904,371182
40700,41426,87276,230304
72706,73954,159346,372514
89362,90928,186130,431942
88480,90042,187858,424322
99244,100988,207928,458776
31828,32354,68330,172102
105928,107600,220008,470360
99376,101136,204256,473048
96224,97964,201400,469692
154244,155920,264040,527868
88640,90272,199948,470996
32076,32616,69870,175506
51064,52024,119596,298984
88424,90084,198652,474552
32356,32874,69672,175656
85058,86594,184298,421050
86910,88444,185710,435880
84672,86206,182484,420092
94872,96652,201812,456028
94700,96548,204568,512160
32424,32972,67946,171616
79008,80692,180666,432704
89372,91076,197700,471476
180620,182284,290112,563276
95744,97512,203228,469880
95428,97244,204408,461048
95004,96768,205188,456140
32490,33080,69662,167940
88022,89522,189046,433944
95560,97228,206152,456392
97448,99304,208980,464508
95396,97060,204832,587140
98780,100496,211012,458880
94772,96552,205464,462948
59224,60194,126434,290964
44676,45514,101430,255540
28318,28850,65604,172402
53516,54558,119846,298970
87624,89066,242040,489896
53150,54116,124048,304034
57552,58540,125682,294878
86718,88246,183894,417538
98372,100092,203564,470708
53152,54216,121408,301246
73660,75000,159182,372338
155760,157240,254864,503784
56342,57374,123002,286948
85950,87498,184632,417076
88530,90028,242164,492792
95776,97496,204652,454852
46788,47638,102784,239522
41482,42194,89466,217530
32560,33166,76082,195152
37396,38090,86658,216718
57042,58044,124684,292526
94688,96368,202936,457480
96560,98264,203320,450832
61058,62090,132136,305506
94092,95740,201508,459932
99128,100872,205444,475956
97016,98676,203948,472292
94396,96068,205092,453756
52506,53560,121284,302414
95320,97068,203160,458980
89162,90600,188498,423710
86336,87904,186584,425612
89440,91188,201708,477812
96968,98688,207324,473840
43272,44110,100312,254748
143858,145476,243912,491102
32686,33228,68584,171066
94460,96176,202428,454236
98052,99720,206444,475396
98212,99980,206312,478928
88992,90764,196096,468364
95872,97548,203808,476176
96744,98464,205492,477960
57638,58666,123060,287276
95580,97308,204324,517156
57076,58074,124308,292590
94732,96448,201300,455916
31400,31926,69840,175636
48750,49638,108594,250388
43314,44160,100554,301728
95656,97328,205368,460748
95224,97004,204312,457596
43350,44166,99762,253740
41122,41820,89988,218140
45098,45942,100724,253520
40258,40980,87700,208134
95644,97320,204988,461080
96992,98812,209052,464212
95840,97584,202400,458512
96808,98504,206308,458800
95116,96816,201564,506460
58520,59526,127060,299026
97576,99244,208516,461384
57200,58174,125176,288290
84808,86328,181900,417124
93560,95292,201664,456020
32260,32798,69282,170260
28662,29210,64646,171726
72226,73546,155706,364390
57568,58524,125544,292556
85806,87298,184010,421126
88642,90198,187510,424050
94628,96356,202976,459228
37480,38226,85158,219124
57214,58250,125292,294678
95108,96876,204024,457392
86558,88140,185104,422268
87218,88828,188504,445548
31284,31832,68314,167574
94608,96268,204216,455984
32608,33228,73704,197128
85714,87238,228762,561718
96064,97792,205060,462604
94964,96676,204056,457152
87944,89728,195296,473320
94552,96276,198956,453460
96208,97888,206540,469516
31528,32042,68836,166998
94864,96548,200000,459636
96020,97716,254596,528936
54238,55288,124346,305334
28812,29352,66514,172686
97176,98848,207188,522264
59482,60502,131446,301786
86724,88318,185996,422300
95292,97068,205304,460292
95112,96884,204668,455280
95124,96864,206928,464464
97704,99472,206604,476244
98552,100196,213604,490472
96584,98340,206160,471712
37296,37964,84634,219058
94736,96500,204044,458836
112400,114112,219228,484512
97648,99300,206468,473164
94436,96172,203532,492624
94232,95948,197848,447020
96800,98496,208100,466624
97816,99624,208416,483004
95232,97004,205848,467324
38408,39124,86764,220242
88958,90460,186952,438376
94080,95784,201392,504488
97212,98960,202648,467736
94048,95768,202624,455320
164064,165788,273100,567358
88112,89852,200952,522424
58346,59374,126550,294444
41570,42264,89572,210660
87308,89056,195632,472336
98196,99920,205608,473244
96324,98064,204560,457948
136300,138040,234440,501048
95292,97092,205884,457980
72246,73510,156934,370400
94948,96620,201148,453276
95080,96824,203972,456408
73322,74698,159588,367476
73760,75152,166024,382482
95256,96972,201708,454028
41976,42702,89952,214052
96000,97792,207404,461072
144304,146012,252708,521420
94164,95804,201496,458024
30922,31474,69384,167742
47974,48834,103782,242204
85116,86640,183072,520684
96640,98344,205440,462672
48032,48872,103878,243130
36670,37350,85866,220306
30586,31122,67966,169610
94736,96424,203048,455956
93968,95636,203496,458396
96280,97988,203904,458136
56842,57872,125218,293414
40288,41026,86122,208320
53118,54150,122618,304434
88552,90092,187760,437888
48640,49484,104400,243776
95112,96872,202068,567484
94936,96608,201148,670028
95164,96836,202472,458292
57400,58432,125410,291272
95772,97504,202848,451960
57656,58692,125570,293610
94260,95980,201148,452832
98348,100068,207328,459812
94532,96324,259564,527444
52160,53174,119966,306954
80638,82234,181578,436726
33908,34476,73504,180956
28356,28900,66154,172948
37412,38108,84142,214266
85956,87550,187932,427464
95084,96792,205592,460368
44318,45120,101236,251448
31326,31872,68840,172820
36870,37570,84696,217846
94692,96344,204696,456988
97536,99256,303944,576392
95784,97776,204372,456540
43286,44126,100438,256340
37504,38220,84670,218630
43504,44286,101044,253366
96276,98040,205504,503140
92832,94628,200824,453988
32046,32574,69712,168660
85956,87538,185508,420192
87276,89016,199124,470300
94260,95976,204160,503708
88524,90232,199092,472708
38024,38750,84780,218402
88968,90664,202008,476524
97840,99580,208588,482820
87844,89392,189568,424540
32234,32792,69798,169340
31722,32244,69060,171554
94248,96024,202532,458228
94256,95912,201096,454868
31756,32306,69742,175720
87724,89212,185178,421686
31826,32358,68220,165910
85296,86874,183372,417250
86472,88008,185196,418792
87676,89204,185818,466708
95360,97056,203300,453176
73570,74836,157486,364298
95872,97632,202216,460340
72460,73732,156436,367118
96220,97888,205000,460596
95420,97168,201308,455528
43860,44722,100442,252624
37948,38634,86106,222024
94476,96192,330048,601548
94464,96208,206964,465868
96068,97808,205908,506240
96988,98776,201400,509212
94816,96608,205984,461028
98584,100280,205620,455568
53786,54838,124662,310432
89608,91284,197776,469136
53536,54574,123880,393772
97088,98816,206296,458660
96772,98576,202000,469772
41576,42336,87872,217360
97944,99688,204952,457328
96916,98588,206628,460164
57352,58394,126140,289790
88672,90372,185528,420086
42684,43524,98180,249340
53612,54632,120140,302638
95172,96976,203352,459148
47576,48412,104072,244558
45100,45940,101218,250184
31274,31792,68424,166420
73908,75212,157782,373740
96828,98524,205348,460008
44224,45042,99360,254864
44228,45066,100414,254002
42826,43658,98360,248622
95240,96960,204128,458416
96600,98296,204740,475860
95696,97508,205456,459116
96380,98180,202864,468556
72408,73750,158168,369568
87076,88566,183952,463106
88456,90200,200276,474464
44030,44882,99014,252726
44710,45562,99492,247210
93916,95672,203248,513348
58362,59394,125292,292840
73464,74746,159310,370394
58208,59232,125734,293118
47188,48020,102130,242154
172696,174500,282148,556856
31868,32418,69554,173698
26324,26874,60990,132758
91834,93300,195210,455470
96448,98204,205644,494620
175516,177268,283088,552244
90056,91832,203000,480676
32406,32940,67878,170578
87406,88964,184596,420408
90492,92232,200824,476332
58154,59188,127076,292952
73162,74492,158716,370710
138992,140736,237320,505968
37204,37916,85404,218264
89816,91588,202472,486248
96956,98716,201956,470520
94304,96080,202708,457740
87300,88892,183720,420074
73322,74592,164230,377118
94996,96728,203160,457900
54062,55042,121398,301658
73346,74688,157818,374890
98296,99992,205116,475280
96868,98652,203212,451208
89028,90752,198936,477004
74682,75938,160556,376518
92160,93828,200400,456332
53260,54258,123158,390358
95924,97784,205740,456776
74690,76032,158898,373532
94480,96244,202732,462252
148604,150368,256520,523028
96144,97912,206680,456356
98552,100324,204876,459040
57724,58688,127194,295956
96424,98144,207248,458656
96856,98584,203548,472300
95412,97140,204104,458736
150916,152648,248732,516224
58878,59958,128914,300400
87968,89556,189092,468068
93972,95668,200948,447272
32366,32916,70448,177908
43674,44552,102582,257664
57896,58862,125198,294296
44986,45804,101624,253256
95556,97188,203796,570124
98256,99976,207964,459948
73922,75324,162988,379218
81872,83482,186286,444768
96920,98668,206048,456932
47810,48654,104202,243466
31198,31752,69326,190018
88756,90376,187722,473574
85918,87504,183940,423884
151496,153196,259440,527324
30792,31306,66664,164886
96020,97740,204736,460568
