# trial, latency (cycles)
0, 89631410
1, 89166586
2, 88582700
3, 88686764
4, 90208904
5, 89721432
6, 89615614
7, 89888784
8, 90060720
9, 88161806
10, 89321244
11, 88500646
12, 88484486
13, 89516338
14, 88351260
15, 88703322
16, 88979092
17, 88653458
18, 89476498
19, 88287266
20, 88866834
21, 88789504
22, 88052124
23, 88773008
24, 89051818
25, 87900204
26, 88884964
27, 90128268
28, 90260946
29, 89407560
30, 88946758
31, 87960610
32, 88017240
33, 87793778
34, 88006618
35, 88136556
36, 88125746
37, 88587892
38, 88329372
39, 87704484
40, 88015102
41, 87825236
42, 88191412
43, 88256392
44, 89631136
45, 88142416
46, 88392080
47, 88770284
48, 89642574
49, 89257980
50, 89259354
51, 89601730
52, 89045752
53, 88513784
54, 88040062
55, 88117266
56, 87934924
57, 88815642
58, 88076476
59, 89275470
60, 88460338
61, 87995356
62, 87993392
63, 87984874
64, 87980430
65, 88166140
66, 88182414
67, 88124644
68, 88342938
69, 88610612
70, 88113122
71, 89019498
72, 89106342
73, 90000318
74, 90842906
75, 89625818
76, 88774038
77, 88064144
78, 88624636
79, 88442928
80, 88564090
81, 88372438
82, 88133992
83, 88576516
84, 87786000
85, 88874078
86, 88010350
87, 88713268
88, 88318632
89, 88863622
90, 89572570
91, 88280254
92, 88557870
93, 88408674
94, 89336566
95, 89485376
96, 89558428
97, 89308432
98, 87923818
99, 87926972
