# trial, latency (cycles)
0, 33302
1, 12758
2, 11458
3, 11460
4, 11454
5, 11444
6, 11480
7, 11438
8, 11468
9, 11408
10, 11440
11, 11456
12, 11476
13, 11484
14, 11520
15, 11450
16, 11416
17, 11422
18, 11454
19, 11450
20, 11472
21, 11452
22, 11434
23, 11422
24, 11444
25, 11440
26, 11464
27, 11480
28, 11440
29, 11436
30, 11438
31, 11444
32, 11442
33, 12520
34, 11472
35, 11450
36, 11426
37, 11428
38, 12220
39, 11446
40, 11464
41, 11474
42, 11682
43, 11552
44, 11422
45, 11430
46, 11990
47, 11456
48, 11470
49, 11428
50, 11490
51, 11410
52, 11434
53, 11448
54, 11460
55, 11446
56, 11446
57, 11418
58, 11448
59, 11436
60, 11722
61, 11470
62, 11440
63, 11428
64, 11426
65, 11430
66, 11464
67, 11458
68, 11468
69, 11428
70, 11424
71, 11420
72, 11434
73, 11450
74, 11462
75, 11628
76, 11452
77, 11422
78, 11424
79, 11428
80, 11458
81, 11454
82, 11478
83, 11442
84, 11422
85, 11418
86, 11438
87, 11446
88, 11466
89, 11440
90, 11632
91, 11426
92, 11430
93, 11572
94, 11460
95, 11452
96, 11432
97, 11418
98, 11414
99, 11418
