# trial, latency (cycles)
0, 634472
1, 531982
2, 538194
3, 547312
4, 606360
5, 477070
6, 512614
7, 500124
8, 493056
9, 621632
10, 610748
11, 594624
12, 583826
13, 590384
14, 602770
15, 489636
16, 472180
17, 471050
18, 476908
19, 471208
20, 468488
21, 482604
22, 489740
23, 2190880
24, 538646
25, 508344
26, 494344
27, 493364
28, 469838
29, 472420
30, 488038
31, 466170
32, 466558
33, 475488
34, 494990
35, 467392
36, 485690
37, 529748
38, 652778
39, 483972
40, 474968
41, 470146
42, 475378
43, 472100
44, 476508
45, 466746
46, 468620
47, 469230
48, 474534
49, 476932
50, 458790
51, 542934
52, 483654
53, 481274
54, 508510
55, 514730
56, 480320
57, 459016
58, 619460
59, 478220
60, 460146
61, 465764
62, 473892
63, 453288
64, 454872
65, 467520
66, 464236
67, 455356
68, 449056
69, 453718
70, 457230
71, 453020
72, 486206
73, 624260
74, 624702
75, 581910
76, 583990
77, 461724
78, 457852
79, 476842
80, 454710
81, 466228
82, 454926
83, 472350
84, 459862
85, 459306
86, 468030
87, 454614
88, 454216
89, 514162
90, 525014
91, 465226
92, 460996
93, 454116
94, 456732
95, 458970
96, 465452
97, 465272
98, 454892
99, 451982
100, 616364
101, 574180
102, 460182
103, 468774
104, 456850
105, 470830
106, 454862
107, 473156
108, 462074
109, 478560
110, 457112
111, 458850
112, 476810
113, 449328
114, 452662
115, 464926
116, 457678
117, 451226
118, 463054
119, 468352
120, 451556
121, 456746
122, 476746
123, 458038
124, 457316
125, 447268
126, 476846
127, 598958
128, 578198
129, 581200
130, 578770
131, 576590
132, 572158
133, 478082
134, 461086
135, 456262
136, 461028
137, 466996
138, 457446
139, 453034
140, 463576
141, 461152
142, 449688
143, 470146
144, 622276
145, 592154
146, 568202
147, 581950
148, 580224
149, 574178
150, 574648
151, 578958
152, 471800
153, 459062
154, 465458
155, 456442
156, 457832
157, 457456
158, 451044
159, 481444
160, 460184
161, 451704
162, 450088
163, 466512
164, 454440
165, 448404
166, 453798
167, 454526
168, 453892
169, 455112
170, 450056
171, 456830
172, 454568
173, 446442
174, 453790
175, 455726
176, 447716
177, 450248
178, 476344
179, 454564
180, 446926
181, 451462
182, 457862
183, 449146
184, 620096
185, 452268
186, 449396
187, 452964
188, 444642
189, 458326
190, 440962
191, 456224
192, 453794
193, 451448
194, 441504
195, 456856
196, 450168
197, 460048
198, 615272
199, 440028
200, 451830
201, 450068
202, 452506
203, 447632
204, 452418
205, 447550
206, 447668
207, 454898
208, 452876
209, 446112
210, 444728
211, 456962
212, 449160
213, 447968
214, 445448
215, 455870
216, 623294
217, 441070
218, 605366
219, 587372
220, 572728
221, 582618
222, 581294
223, 578810
224, 475006
225, 459236
226, 464542
227, 472426
228, 458024
229, 461062
230, 465890
231, 461708
232, 495380
233, 477110
234, 616030
235, 455812
236, 455022
237, 451592
238, 462422
239, 455294
240, 452012
241, 451634
242, 462406
243, 453128
244, 449132
245, 459606
246, 454342
247, 451760
248, 456078
249, 458820
250, 452102
251, 646852
252, 580862
253, 593994
254, 588372
255, 449280
256, 451186
257, 455174
258, 452080
259, 454094
260, 451916
261, 446534
262, 447146
263, 449826
264, 455476
265, 448974
266, 447788
267, 450460
268, 465546
269, 449790
270, 448976
271, 446966
272, 454928
273, 449352
274, 449324
275, 454882
276, 447770
277, 447472
278, 460182
279, 456518
280, 447370
281, 450738
282, 452552
283, 458312
284, 453660
285, 446334
286, 457910
287, 494794
288, 596068
289, 453154
290, 462018
291, 450926
292, 446480
293, 456876
294, 463322
295, 455010
296, 447978
297, 445940
298, 461680
299, 452856
300, 448540
301, 458866
302, 451286
303, 451338
304, 466200
305, 466334
306, 460696
307, 606818
308, 444712
309, 460028
310, 450132
311, 450010
312, 452058
313, 457620
314, 448204
315, 454318
316, 458904
317, 453542
318, 448490
319, 448274
320, 457578
321, 463294
322, 600516
323, 457578
324, 469976
325, 594066
326, 458062
327, 452204
328, 455248
329, 446810
330, 450266
331, 465600
332, 449872
333, 448148
334, 460146
335, 461346
336, 453046
337, 454254
338, 447286
339, 456766
340, 465370
341, 450726
342, 446768
343, 470362
344, 611396
345, 593780
346, 461240
347, 595470
348, 586354
349, 584094
350, 603576
351, 582786
352, 575564
353, 595786
354, 468662
355, 466124
356, 464562
357, 467518
358, 455626
359, 465484
360, 613404
361, 589784
362, 579510
363, 578780
364, 583344
365, 581590
366, 582128
367, 577712
368, 470058
369, 461442
370, 466546
371, 462954
372, 465092
373, 458634
374, 453694
375, 474066
376, 466930
377, 464818
378, 457272
379, 471264
380, 452374
381, 455858
382, 458508
383, 457890
384, 458422
385, 459788
386, 452186
387, 461658
388, 456642
389, 452096
390, 460966
391, 457038
392, 450738
393, 451088
394, 487714
395, 468040
396, 456552
397, 454214
398, 448062
399, 460332
400, 452542
401, 457418
402, 459658
403, 451696
404, 448854
405, 456434
406, 452348
407, 452546
408, 463366
409, 453668
410, 450594
411, 454900
412, 456900
413, 468190
414, 614244
415, 593852
416, 578254
417, 572174
418, 569958
419, 574874
420, 595434
421, 571288
422, 468516
423, 463926
424, 459912
425, 456952
426, 460788
427, 452602
428, 447150
429, 592226
430, 657508
431, 599182
432, 445932
433, 609688
434, 581044
435, 594248
436, 576324
437, 581896
438, 598974
439, 586498
440, 469956
