# trial, latency (cycles)
0, 307836
1, 134280
2, 130572
3, 96098
4, 91298
5, 87074
6, 91268
7, 88014
8, 87560
9, 87940
10, 88982
11, 90852
12, 87014
13, 88128
14, 89734
15, 87574
16, 89828
17, 88344
18, 88578
19, 87676
20, 87684
21, 89194
22, 93188
23, 87414
24, 89344
25, 89582
26, 89250
27, 87678
28, 88320
29, 87482
30, 91244
31, 87776
32, 112496
33, 86770
34, 85884
35, 106598
36, 86418
37, 84788
38, 108626
39, 87322
40, 86676
41, 103920
42, 85922
43, 85654
44, 105196
45, 86472
46, 87310
47, 107930
48, 86314
49, 84770
50, 104598
51, 88144
52, 85232
53, 105302
54, 91468
55, 86062
56, 104518
57, 85408
58, 84418
59, 103844
60, 86438
61, 89012
62, 106728
63, 84936
64, 85008
65, 103634
66, 85476
67, 84840
68, 112656
69, 86348
70, 86894
71, 104004
72, 85488
73, 84972
74, 103268
75, 84752
76, 86132
77, 103030
78, 87570
79, 85306
80, 102492
81, 84898
82, 84844
83, 105460
84, 86322
85, 83840
86, 108524
87, 104122
88, 85690
89, 107134
90, 84530
91, 85084
92, 103476
93, 84694
94, 87042
95, 102364
96, 84836
97, 85306
98, 102228
99, 86502
100, 85162
101, 101250
102, 86348
103, 85000
104, 101700
105, 84772
106, 83738
107, 102724
108, 84818
109, 84130
110, 109674
111, 84148
112, 83738
113, 103812
114, 92134
115, 86218
116, 102746
117, 83468
118, 87812
119, 102392
120, 84188
121, 84572
122, 101936
123, 83736
124, 83868
125, 104126
126, 88390
127, 87322
128, 104820
129, 85332
130, 84060
131, 104142
132, 84606
133, 83648
134, 106780
135, 84316
136, 84874
137, 102270
138, 85428
139, 84278
140, 102654
141, 84512
142, 87622
143, 106514
144, 85058
145, 83484
146, 101724
147, 84380
148, 84466
149, 102284
150, 87626
151, 84620
152, 107548
153, 84998
154, 84486
155, 101770
156, 84254
157, 85802
158, 105600
159, 84286
160, 84222
161, 101236
162, 83406
163, 83346
164, 101858
165, 84074
166, 87288
167, 101284
168, 83928
169, 83718
170, 101790
171, 85856
172, 86238
173, 107262
174, 86606
175, 83322
176, 101966
177, 84340
178, 759456
179, 89808
180, 86260
181, 84852
182, 87804
183, 83946
184, 84396
185, 85398
186, 83242
187, 84208
188, 84728
189, 85704
190, 87296
191, 84728
192, 84458
193, 83968
194, 84516
195, 85306
196, 84386
197, 85140
198, 86562
199, 83792
200, 83676
201, 84074
202, 85800
203, 86158
204, 85760
205, 86282
206, 86908
207, 85750
208, 83932
209, 83942
210, 83546
211, 84494
212, 84878
213, 85732
214, 88334
215, 86708
216, 85714
217, 85690
218, 87014
219, 86984
220, 84404
221, 83576
222, 86640
223, 101304
224, 84170
225, 82850
226, 100252
227, 85224
228, 83322
229, 97680
230, 86292
231, 84518
232, 96620
233, 86448
234, 85090
235, 96912
236, 84478
237, 85328
238, 100174
239, 83888
240, 84100
241, 97806
242, 84602
243, 83260
244, 96800
245, 84338
246, 85810
247, 99158
248, 88596
249, 85748
250, 97682
251, 84724
252, 83652
253, 95964
254, 86570
255, 83102
256, 96096
257, 83850
258, 82836
259, 97284
260, 84328
261, 83336
262, 101224
263, 85736
264, 84034
265, 96946
266, 83692
267, 139086
268, 105374
269, 85856
270, 87386
271, 97970
272, 84438
273, 85094
274, 100318
275, 83560
276, 85402
277, 99792
278, 88528
279, 84550
280, 96930
281, 84242
282, 83714
283, 96300
284, 84854
285, 84942
286, 100432
287, 84684
288, 84384
289, 97696
290, 84680
291, 85606
292, 98810
293, 84692
294, 86878
295, 97830
296, 84562
297, 84814
298, 95612
299, 84024
300, 84124
301, 96858
302, 86722
303, 84302
304, 97092
305, 83582
306, 83890
307, 98914
308, 84888
309, 83462
310, 99516
311, 83390
312, 83290
313, 97020
314, 83434
315, 83614
316, 99792
317, 85226
318, 89054
319, 97492
320, 83584
321, 85912
322, 100996
323, 84744
324, 83794
325, 97716
326, 87302
327, 84818
328, 97030
329, 84442
330, 84492
331, 97870
332, 83950
333, 83512
334, 100518
335, 85110
336, 85160
337, 100702
338, 84444
339, 84058
340, 98246
341, 84330
342, 86522
343, 98242
344, 84472
345, 84374
346, 97182
347, 85282
348, 84120
349, 97920
350, 87972
351, 85946
352, 97514
353, 86102
354, 84232
355, 101902
356, 85976
357, 83996
358, 103052
359, 84100
360, 144336
361, 99886
362, 86012
363, 84474
364, 102064
365, 85764
366, 87496
367, 102454
368, 84292
369, 84530
370, 108390
371, 84248
372, 84046
373, 102722
374, 121738
375, 88006
376, 105900
377, 94610
378, 83846
379, 104536
380, 85878
381, 85798
382, 105546
383, 84336
384, 84696
385, 105226
386, 85418
387, 84394
388, 101944
389, 85714
390, 86752
391, 105124
392, 85006
393, 85652
394, 104652
395, 85390
396, 84464
397, 103008
398, 86948
399, 83114
400, 102556
401, 85594
402, 84840
403, 102864
404, 85434
405, 84806
406, 105122
407, 85164
408, 86578
409, 109010
410, 85774
411, 85350
412, 108226
413, 84522
414, 87092
415, 102474
416, 86224
417, 84850
418, 102474
419, 85198
420, 85032
421, 103200
422, 87138
423, 84838
424, 102848
425, 84718
426, 84986
427, 102898
428, 84916
429, 84934
430, 103866
431, 83656
432, 84798
433, 106756
434, 84900
435, 85136
436, 102824
437, 85214
438, 88668
439, 104554
440, 85730
441, 93358
442, 103698
443, 85502
444, 85118
445, 103656
446, 87180
447, 84888
448, 102864
449, 84102
450, 926608
451, 98836
452, 85892
453, 87466
454, 89398
455, 85082
456, 84346
457, 86412
458, 84216
459, 84716
460, 85806
461, 84804
462, 87542
463, 87830
464, 85058
465, 84430
466, 85776
467, 86372
468, 85626
469, 87560
470, 87642
471, 84122
472, 86014
473, 83670
474, 84586
475, 86892
476, 85062
477, 85832
478, 87564
479, 85716
480, 85842
481, 85860
482, 87544
483, 86658
484, 83992
485, 86346
486, 87640
487, 85004
488, 85084
489, 85216
490, 85922
491, 85168
492, 84868
493, 85296
494, 87126
495, 84128
496, 87196
497, 85240
498, 86670
499, 84852
500, 85250
501, 83704
502, 87578
503, 85200
504, 85076
505, 85094
506, 85458
507, 100872
508, 85754
509, 84734
510, 99322
511, 86774
512, 86012
513, 100442
514, 84478
515, 83708
516, 97274
517, 86020
518, 86916
519, 97236
520, 85044
521, 84474
522, 97418
523, 85490
524, 85058
525, 97594
526, 87558
527, 85372
528, 99740
529, 85822
530, 84980
531, 97454
532, 83868
533, 84004
534, 100130
535, 85420
536, 84404
537, 153576
538, 92290
539, 84798
540, 99762
541, 193774
542, 93474
543, 101374
544, 88160
545, 84010
546, 96992
547, 84906
548, 84110
549, 97982
550, 87382
551, 83842
552, 97350
553, 85052
554, 84090
555, 97520
556, 85644
557, 85420
558, 100032
559, 85178
560, 83840
561, 100184
562, 85308
563, 83968
564, 98134
565, 138794
566, 93968
567, 100170
568, 85126
569, 209722
570, 103218
571, 88032
572, 85318
573, 98844
574, 88638
575, 83910
576, 97640
577, 85882
578, 84588
579, 99370
580, 84500
581, 84256
582, 100100
583, 87580
584, 85190
585, 100008
586, 86112
587, 84694
588, 98636
589, 84376
590, 88240
591, 97022
592, 83950
593, 82930
594, 98104
595, 85522
596, 84384
597, 98196
598, 87330
599, 85306
600, 99916
601, 84654
602, 83636
603, 97992
604, 84790
605, 83644
606, 100098
607, 84502
608, 84516
609, 99446
610, 84880
611, 84296
612, 97632
613, 84956
614, 86284
615, 100882
616, 85546
617, 83306
618, 97502
619, 85222
620, 84550
621, 97336
622, 86778
623, 83808
624, 97258
625, 83342
626, 85102
627, 157988
628, 89412
629, 84034
630, 104328
631, 86350
632, 84526
633, 98684
634, 85726
635, 85032
636, 96736
637, 84276
638, 86752
639, 98106
640, 84806
641, 84196
642, 97570
643, 84510
644, 84256
645, 99034
646, 87818
647, 83428
648, 97032
649, 84448
650, 84112
651, 97448
652, 84124
653, 86062
654, 99674
655, 86268
656, 84096
657, 100778
658, 84664
659, 85772
660, 98510
661, 85094
662, 87896
663, 98618
664, 83884
665, 83580
666, 97300
667, 84018
668, 83902
669, 97714
670, 87536
671, 83958
672, 98164
673, 84500
674, 85436
675, 98350
676, 84604
677, 83566
678, 99408
679, 84540
680, 84424
681, 97168
682, 84700
683, 85044
684, 97510
685, 83988
686, 87004
687, 97030
688, 84960
689, 85114
690, 98230
691, 85296
692, 84558
693, 96156
694, 87636
695, 84254
696, 96354
697, 84596
698, 83582
699, 97240
700, 84798
701, 84016
702, 100056
703, 84424
704, 86372
705, 100638
706, 84072
707, 83760
708, 98018
709, 84930
710, 85956
711, 96790
712, 86940
713, 83868
714, 97666
715, 84378
716, 84650
717, 97856
718, 86724
719, 85258
720, 948380
721, 186468
722, 92378
723, 87470
724, 84678
725, 85006
726, 86734
727, 84450
728, 85274
729, 83160
730, 83398
731, 84000
732, 84810
733, 84490
734, 88692
735, 83450
736, 83848
737, 84408
738, 83380
739, 83970
740, 84170
741, 83734
742, 115960
743, 89366
744, 84490
745, 86184
746, 85676
747, 85404
748, 83624
749, 84780
750, 86052
751, 84766
752, 83042
753, 84100
754, 86216
755, 84650
756, 84240
757, 84814
758, 85662
759, 84662
760, 84146
761, 85596
762, 83902
763, 84864
764, 85174
765, 85152
766, 85264
767, 83552
768, 82620
769, 83928
770, 83508
771, 83014
772, 83888
773, 84540
774, 86752
775, 84522
776, 84212
777, 86452
778, 84874
779, 84134
780, 83638
781, 84048
782, 86384
783, 84140
784, 100558
785, 86176
786, 84960
787, 97872
788, 85666
789, 82628
790, 100322
791, 86090
792, 85182
793, 98288
794, 83848
795, 84000
796, 96890
797, 83532
798, 84642
799, 97562
800, 84094
801, 82958
802, 97284
803, 83342
804, 83846
805, 97402
806, 141840
807, 95112
808, 99530
809, 85400
810, 83996
811, 96628
812, 84478
813, 84124
814, 102244
815, 84480
816, 84382
817, 96290
818, 85476
819, 83492
820, 97580
821, 86904
822, 86986
823, 98192
824, 84256
825, 84872
826, 97802
827, 84792
828, 84462
829, 97538
830, 84448
831, 83298
832, 96574
833, 84554
834, 83520
835, 98630
836, 84574
837, 83462
838, 156070
839, 87274
840, 84952
841, 98386
842, 85234
843, 85802
844, 96750
845, 84410
846, 86100
847, 96652
848, 83950
849, 83920
850, 97440
851, 86558
852, 84326
853, 97380
854, 87284
855, 87584
856, 97342
857, 84410
858, 83776
859, 97186
860, 84502
861, 83494
862, 101502
863, 83746
864, 84084
865, 99406
866, 85864
867, 84178
868, 97530
869, 84464
870, 86096
871, 97228
872, 85504
873, 84678
874, 97092
875, 84598
876, 83292
877, 98172
878, 86642
879, 84634
880, 99978
881, 85868
882, 83866
883, 98100
884, 84110
885, 86144
886, 100178
887, 83346
888, 84608
889, 96910
890, 83538
891, 84532
892, 97000
893, 84462
894, 88424
895, 98930
896, 84394
897, 84222
898, 96942
899, 134686
900, 93466
901, 102190
902, 88260
903, 85154
904, 97644
905, 83948
906, 84216
907, 97510
908, 84444
909, 86496
910, 103718
911, 84644
912, 84254
913, 98288
914, 83454
915, 84314
916, 97806
917, 83570
918, 86936
919, 97424
920, 83410
921, 83238
922, 96764
923, 85456
924, 87254
925, 98302
926, 85774
927, 83114
928, 97956
929, 86012
930, 83016
931, 97570
932, 83038
933, 83084
934, 100242
935, 84550
936, 83868
937, 97778
938, 84854
939, 84690
940, 99120
941, 84628
942, 85918
943, 97270
944, 83672
945, 83406
946, 96612
947, 83968
948, 84202
949, 96240
950, 85788
951, 83154
952, 103248
953, 86474
954, 84500
955, 99252
956, 83426
957, 83842
958, 99116
959, 83976
960, 83420
961, 96962
962, 84002
963, 84048
964, 96892
965, 83450
966, 85410
967, 98006
968, 84984
969, 85040
970, 96754
971, 83818
972, 83988
973, 95394
974, 85210
975, 83962
976, 97252
977, 83340
978, 83484
979, 96542
980, 83474
981, 83508
982, 102060
983, 85388
984, 91868
985, 96952
986, 84122
987, 83322
988, 97648
989, 84192
990, 86302
991, 97308
992, 83942
993, 917848
994, 97328
995, 84640
996, 86518
997, 86562
998, 87776
999, 83218
