# trial, latency (cycles)
0, 49408706
1, 2792008
2, 4157156
3, 4174228
4, 3017118
5, 4199832
6, 71368406
7, 2529522
8, 4008852
9, 96715360
10, 3512886
11, 4155816
12, 3135242
13, 2352376
14, 2578808
15, 2468232
16, 2485772
17, 2305528
18, 2921990
19, 3036238
20, 71389656
21, 2541954
22, 2193620
23, 2329816
24, 2336900
25, 2244612
26, 2708714
27, 3049894
28, 2664170
29, 2147688
30, 2109574
31, 1773440
32, 4196546
33, 3081058
34, 80205196
35, 4157668
36, 71684064
37, 3362046
38, 55449598
39, 1841302
40, 1027576
41, 62090982
42, 2136266
43, 71679676
44, 3115558
45, 3160632
46, 4308484
47, 3981862
48, 105950644
49, 2173460
50, 2401262
51, 2744476
52, 105893000
53, 4177528
54, 63196400
55, 2468714
56, 2263706
57, 3164568
58, 1986490
59, 3750280
60, 62603096
61, 2836816
62, 3872070
63, 4139500
64, 2751044
65, 3990186
66, 37228272
67, 2821932
68, 1567380
69, 52720376
70, 1673466
71, 3408884
72, 2189430
73, 3166970
74, 3684554
75, 3167770
76, 2420542
77, 2409182
78, 1842748
79, 3302504
80, 2953984
81, 63001376
82, 4353696
83, 2541286
84, 3660612
85, 3282128
86, 2765562
87, 3580370
88, 103586160
89, 3415910
90, 3808442
91, 62136732
92, 2221172
93, 106378980
94, 4015282
95, 54577900
96, 2728142
97, 2175400
98, 2570438
99, 3885802
