# trial, latency (cycles)
# trial, latency (cycles)
0, 3783126
1, 27568
2, 20298
3, 18392
4, 15698
5, 14886
6, 14368
7, 14686
8, 14600
9, 14588
10, 19282
11, 18728
12, 16606
13, 15794
14, 14658
15, 14666
16, 14544
17, 14542
18, 19156
19, 19036
20, 17032
21, 15572
22, 14472
23, 14620
24, 14674
25, 14604
26, 19300
27, 19042
28, 17160
29, 16282
30, 14826
31, 14726
32, 14478
33, 14516
34, 19418
35, 19120
36, 17266
37, 16398
38, 14848
39, 14638
40, 14610
41, 14542
42, 19340
43, 19082
44, 16826
45, 15182
46, 14386
47, 14534
48, 14444
49, 14472
50, 19226
51, 19234
52, 17244
53, 16206
54, 14768
55, 14642
56, 14558
57, 14520
58, 19098
59, 19062
60, 17226
61, 16336
62, 14698
63, 29180
64, 21636
65, 14784
66, 19188
67, 19164
68, 16938
69, 16160
70, 14720
71, 14652
72, 14706
73, 14556
74, 19298
75, 19162
76, 17208
77, 16280
78, 14796
79, 14656
80, 14558
81, 14610
82, 19142
83, 19224
84, 17262
85, 16348
86, 14878
87, 14688
88, 14612
89, 14582
90, 19224
91, 19238
92, 17118
93, 16332
94, 14784
95, 14658
96, 14512
97, 14652
98, 19174
99, 19164
100, 17284
101, 16340
102, 14742
103, 14578
104, 14584
105, 14560
106, 19214
107, 19138
108, 17252
109, 16410
110, 14804
111, 14702
112, 14492
113, 14608
114, 19290
115, 19218
116, 17378
117, 16398
118, 14792
119, 14536
120, 14518
121, 14494
122, 19482
123, 19194
124, 17276
125, 16390
126, 14816
127, 16534
128, 15348
129, 14568
130, 19104
131, 19158
132, 17190
133, 16470
134, 14992
135, 14592
136, 14602
137, 14528
138, 19146
139, 19250
140, 17256
141, 16302
142, 14896
143, 14604
144, 14506
145, 14540
146, 19194
147, 19176
148, 17250
149, 16454
150, 14982
151, 14550
152, 14624
153, 14542
154, 19164
155, 19192
156, 17190
157, 15824
158, 14728
159, 14818
160, 14468
161, 14460
162, 19074
163, 19238
164, 17264
165, 16514
166, 14924
167, 14606
168, 14584
169, 14480
170, 19178
171, 19254
172, 17272
173, 16248
174, 14806
175, 14630
176, 14570
177, 14588
178, 19206
179, 19186
180, 16168
181, 14682
182, 14332
183, 14456
184, 14518
185, 14576
186, 19370
187, 19226
188, 17186
189, 16424
190, 14964
191, 16048
192, 15350
193, 14482
194, 19166
195, 19186
196, 17280
197, 16298
198, 14774
199, 14570
200, 14504
201, 14514
202, 19310
203, 19162
204, 17308
205, 16346
206, 14918
207, 14620
208, 14426
209, 14474
210, 19202
211, 19222
212, 17344
213, 16266
214, 14864
215, 14580
216, 14536
217, 14498
218, 19162
219, 19136
220, 17402
221, 16598
222, 14812
223, 14590
224, 14466
225, 14560
226, 19366
227, 19186
228, 17240
229, 15618
230, 14468
231, 14546
232, 14554
233, 14608
234, 19062
235, 19180
236, 17340
237, 16558
238, 14848
239, 14530
240, 14530
241, 14644
242, 19170
243, 19170
244, 17234
245, 16316
246, 14932
247, 14656
248, 14480
249, 14504
250, 19178
251, 19222
252, 17326
253, 16426
254, 14912
255, 16114
256, 15144
257, 14568
258, 19170
259, 19134
260, 17290
261, 16316
262, 14860
263, 14604
264, 14550
265, 14612
266, 19150
267, 19224
268, 17320
269, 16482
270, 14834
271, 14688
272, 14486
273, 14472
274, 19092
275, 19142
276, 17322
277, 16336
278, 14916
279, 14526
280, 14504
281, 14602
282, 19196
283, 19206
284, 17296
285, 16404
286, 14856
287, 14696
288, 14538
289, 14570
290, 19030
291, 19134
292, 17350
293, 16290
294, 14828
295, 14644
296, 14468
297, 14570
298, 19172
299, 19162
300, 17292
301, 16472
302, 14888
303, 14614
304, 14576
305, 14486
306, 19322
307, 19210
308, 17398
309, 16406
310, 14814
311, 14740
312, 14582
313, 14684
314, 19154
315, 19152
316, 17288
317, 16296
318, 14858
319, 27670
320, 16082
321, 14738
322, 19250
323, 19166
324, 17170
325, 16328
326, 14974
327, 14608
328, 14618
329, 14594
330, 19074
331, 19220
332, 17288
333, 16506
334, 14906
335, 14652
336, 14670
337, 14616
338, 19414
339, 19124
340, 17256
341, 15546
342, 38386
343, 14646
344, 14790
345, 14510
346, 14742
347, 19240
348, 19082
349, 17130
350, 16446
351, 14992
352, 14652
353, 14692
354, 14620
355, 19358
356, 18702
357, 16748
358, 15938
359, 14436
360, 14756
361, 14640
362, 14654
363, 19102
364, 18974
365, 17018
366, 15438
367, 14474
368, 14516
369, 14470
370, 14570
371, 19218
372, 19046
373, 17072
374, 16452
375, 14812
376, 14612
377, 14536
378, 14494
379, 19230
380, 56530
381, 19902
382, 18672
383, 19850
384, 17822
385, 16882
386, 16654
387, 22112
388, 21950
389, 19686
390, 19020
391, 17220
392, 17018
393, 16672
394, 16740
395, 22080
396, 21966
397, 19952
398, 18628
399, 17134
400, 16820
401, 16860
402, 16786
403, 22402
404, 21642
405, 19328
