# trial, latency (cycles)
# trial, latency (cycles)
0, 37792878
1, 24280
2, 13180
3, 13726
4, 11284
5, 10650
6, 10362
7, 11748
8, 10668
9, 10680
10, 11852
11, 13472
12, 11426
13, 10686
14, 10366
15, 10298
16, 10360
17, 10206
18, 11462
19, 13300
20, 11678
21, 11012
22, 10678
23, 10348
24, 10282
25, 10124
26, 11426
27, 13320
28, 11740
29, 10984
30, 10496
31, 10340
32, 10184
33, 10310
34, 11420
35, 13314
36, 11630
37, 11118
38, 10604
39, 10308
40, 10286
41, 10156
42, 11446
43, 13388
44, 11610
45, 11178
46, 10552
47, 10498
48, 10230
49, 10196
50, 11294
51, 13346
52, 11654
53, 10836
54, 10444
55, 10364
56, 10218
57, 10248
58, 11334
59, 13336
60, 11608
61, 11046
62, 10618
63, 10272
64, 18762
65, 10322
66, 11384
67, 13466
68, 11854
69, 10938
70, 10660
71, 10294
72, 10328
73, 10290
74, 11336
75, 13434
76, 11690
77, 10990
78, 10548
79, 10318
80, 10206
81, 10208
82, 11384
83, 13378
84, 11726
85, 10988
86, 10622
87, 10262
88, 10234
89, 10274
90, 11306
91, 13468
92, 11688
93, 11012
94, 10676
95, 10260
96, 10232
97, 10272
98, 11268
99, 13294
100, 11662
101, 11024
102, 10632
103, 10448
104, 10360
105, 10198
106, 11286
107, 13322
108, 11814
109, 11078
110, 10602
111, 10266
112, 10112
113, 10142
114, 11388
115, 13302
116, 11742
117, 11090
118, 10392
119, 10256
120, 10184
121, 10176
122, 11688
123, 13314
124, 11632
125, 11062
126, 10634
127, 10268
128, 11256
129, 10280
130, 11336
131, 13364
132, 11694
133, 10904
134, 10596
135, 10346
136, 10160
137, 10226
138, 11338
139, 13470
140, 11534
141, 10168
142, 10018
143, 10308
144, 10306
145, 10250
146, 11560
147, 13386
148, 51278
149, 13000
150, 12500
151, 12068
152, 11950
153, 12132
154, 13562
155, 15632
156, 13752
157, 12956
158, 12524
159, 12120
160, 12078
161, 11962
162, 13280
163, 15762
164, 13816
165, 12932
166, 12488
167, 12104
168, 12084
169, 12096
170, 13644
171, 15782
172, 13898
173, 13006
174, 12520
175, 12084
176, 12158
177, 11930
178, 13480
179, 15688
180, 13710
181, 12924
182, 12582
183, 12128
184, 11952
185, 12076
186, 13298
187, 15656
188, 13720
189, 13074
190, 12496
191, 12144
192, 12890
193, 11978
194, 13274
195, 15706
196, 13850
197, 13010
198, 12418
199, 12190
200, 12210
201, 12088
202, 13294
203, 68400
204, 19884
205, 15862
206, 12840
207, 12072
208, 11692
209, 12092
210, 11966
211, 12018
212, 13382
213, 15646
214, 13712
215, 12900
216, 12536
217, 12066
218, 12018
219, 12116
220, 13118
221, 15802
222, 13622
223, 12908
224, 12458
225, 12090
226, 11918
227, 12064
228, 13358
229, 15678
230, 13648
231, 12868
232, 12574
233, 12072
234, 11888
235, 11986
236, 13750
237, 16278
238, 13706
239, 12988
240, 12584
241, 12234
242, 11938
243, 11900
244, 13228
245, 15594
246, 13724
247, 12942
248, 12504
249, 12154
250, 11952
251, 11964
252, 13198
253, 15756
254, 13602
255, 12890
256, 13634
257, 12428
258, 11934
259, 11854
260, 13240
261, 15728
262, 13806
263, 13364
264, 12556
265, 12130
266, 11984
267, 11974
268, 13128
269, 15728
270, 13666
271, 12196
272, 11758
273, 12122
274, 11956
275, 12084
276, 13592
277, 15628
278, 13790
279, 13014
280, 12460
281, 12072
282, 11960
283, 11898
284, 13206
285, 15652
286, 13742
287, 12938
288, 12496
289, 12120
290, 12036
291, 11966
292, 13354
293, 15674
294, 13764
295, 12838
296, 12548
297, 12182
298, 12116
299, 11840
300, 13248
301, 15718
302, 13658
303, 13018
304, 12528
305, 12334
306, 12034
307, 11884
308, 13232
309, 15702
310, 13758
