# trial, latency (cycles)
0, 301810
1, 29540
2, 16346
3, 15828
4, 17440
5, 19780
6, 16732
7, 15324
8, 14948
9, 15382
10, 15138
11, 15228
12, 17920
13, 19816
14, 16826
15, 15790
16, 15292
17, 15470
18, 15310
19, 15150
20, 16922
21, 19832
22, 16792
23, 15924
24, 15414
25, 15406
26, 15190
27, 15136
28, 16920
29, 19778
30, 16990
31, 16132
32, 15574
33, 15414
34, 15228
35, 15176
36, 16882
37, 19942
38, 16956
39, 15966
40, 15466
41, 15392
42, 15202
43, 15344
44, 16884
45, 19846
46, 16992
47, 15946
48, 15392
49, 15388
50, 15154
51, 15240
52, 16878
53, 19854
54, 16904
55, 15984
56, 15516
57, 15428
58, 15228
59, 15240
60, 16866
61, 19932
62, 17020
63, 15888
64, 15574
65, 15452
66, 15192
67, 15268
68, 16960
69, 19884
70, 16956
71, 15932
72, 15422
73, 15414
74, 15186
75, 15228
76, 16886
77, 19812
78, 16982
79, 15906
80, 15444
81, 15432
82, 15150
83, 15224
84, 16906
85, 19884
86, 17008
87, 15990
88, 15554
89, 15544
90, 15262
91, 15268
92, 17204
93, 19656
94, 16982
95, 15944
96, 15468
97, 15474
98, 15302
99, 15356
100, 17024
101, 19828
102, 16944
103, 16062
104, 15538
105, 15474
106, 15324
107, 15216
108, 16930
109, 19700
110, 17032
111, 15898
112, 15540
113, 15536
114, 15310
115, 15250
116, 16968
117, 19784
118, 16956
119, 15944
120, 15448
121, 15478
122, 15374
123, 15274
124, 16810
125, 19946
126, 17004
127, 15954
128, 15560
129, 15454
130, 15272
131, 15254
132, 16892
133, 19846
134, 16870
135, 15924
136, 15606
137, 15488
138, 15312
139, 15268
140, 16792
141, 19872
142, 16926
143, 15928
144, 15524
145, 15510
146, 15268
147, 15330
148, 16874
149, 19900
150, 17006
151, 16066
152, 15608
153, 15574
154, 15246
155, 15306
156, 16808
157, 19976
158, 17000
159, 15984
160, 15626
161, 15500
162, 15232
163, 15294
164, 16906
165, 19724
166, 16944
167, 15954
168, 15514
169, 15556
170, 15284
171, 15276
172, 16862
173, 19966
174, 17056
175, 15976
176, 15538
177, 15504
178, 15274
179, 15322
180, 16886
181, 19928
182, 16890
183, 16018
184, 15518
185, 15544
186, 15246
187, 15220
188, 16792
189, 19834
190, 16966
191, 16022
192, 15476
193, 15540
194, 15324
195, 15232
196, 16894
197, 19748
198, 16986
199, 16158
200, 15586
201, 15560
202, 15332
203, 16050
204, 16852
205, 19798
206, 17042
207, 16080
208, 15512
209, 15442
210, 15362
211, 15322
212, 17194
213, 20044
214, 16934
215, 16032
216, 15502
217, 15456
218, 15350
219, 15292
220, 16904
221, 19954
222, 16868
223, 16010
224, 15712
225, 15484
226, 15432
227, 15324
228, 16848
229, 19834
230, 16878
231, 16028
232, 15686
233, 15496
234, 15254
235, 15328
236, 16848
237, 19752
238, 16946
239, 15984
240, 15576
241, 15480
242, 15320
243, 211922
244, 16730
245, 15434
246, 16906
247, 19548
248, 16758
249, 15862
250, 15444
251, 15430
252, 15228
253, 15294
254, 16942
255, 19608
256, 16752
257, 16240
258, 15432
259, 15466
260, 15980
261, 15196
262, 16830
263, 19720
264, 16716
265, 15696
266, 15128
267, 15392
268, 15164
269, 15140
270, 16908
271, 19556
272, 16684
273, 15858
274, 15324
275, 16270
276, 15144
277, 15224
278, 16930
279, 19510
280, 16784
281, 15768
282, 15388
283, 15468
284, 15194
285, 15188
286, 16974
287, 19690
288, 16636
289, 15846
290, 15094
291, 15458
292, 15242
293, 15310
294, 16846
295, 19682
296, 16728
297, 15804
298, 15450
299, 15456
300, 15262
301, 15198
302, 17586
303, 19708
304, 16662
305, 15914
306, 15362
307, 15480
308, 15254
309, 15212
310, 16816
311, 19700
312, 16684
313, 15834
314, 15348
315, 15416
316, 15216
317, 15202
318, 16818
319, 19668
320, 16680
321, 15816
322, 15022
323, 15544
324, 15250
325, 15200
326, 16822
327, 19722
328, 16684
329, 15794
330, 15500
331, 15384
332, 15120
333, 15996
334, 16852
335, 19656
336, 16698
337, 15782
338, 15410
339, 15496
340, 15158
341, 15202
342, 16922
343, 19630
344, 16634
345, 15728
346, 15108
347, 15406
348, 15188
349, 15228
350, 16826
351, 19708
352, 16700
353, 15756
354, 15404
355, 15458
356, 15198
357, 15134
