# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 56, 5714, 7258, 320, 168008, 11388, 432
1, 56, 5314, 4634, 322, 150422, 11396, 440
2, 52, 5414, 5240, 326, 143332, 11250, 444
3, 54, 6160, 5174, 316, 139356, 12668, 440
4, 58, 5118, 4682, 326, 217902, 11266, 434
5, 50, 5128, 6100, 324, 140218, 13704, 444
6, 54, 5430, 5006, 324, 264276, 11600, 434
7, 68, 6410, 5846, 384, 172680, 13564, 532
8, 66, 7452, 6424, 396, 266704, 15730, 532
9, 64, 6246, 5638, 398, 166928, 13614, 530
10, 58, 6414, 7200, 386, 169508, 16658, 530
11, 66, 7236, 6730, 390, 168410, 14212, 532
12, 58, 6354, 5542, 398, 170284, 13548, 528
13, 64, 9230, 6374, 398, 289534, 18020, 534
14, 66, 6262, 5542, 398, 167734, 14264, 528
15, 66, 6422, 5596, 396, 279444, 13544, 560
16, 62, 7460, 6600, 394, 168908, 15806, 532
17, 64, 6156, 5646, 394, 284744, 13698, 532
18, 64, 6394, 7430, 402, 170508, 17010, 528
19, 70, 6484, 5764, 396, 167452, 14252, 536
20, 64, 6700, 6054, 392, 172048, 13650, 528
21, 58, 9230, 6470, 390, 166346, 17976, 530
22, 68, 6192, 5800, 386, 286678, 13768, 532
23, 64, 6264, 5500, 396, 170006, 13500, 558
24, 66, 7448, 6012, 394, 284900, 15558, 534
25, 64, 6330, 5818, 398, 167606, 13570, 558
26, 64, 6208, 7294, 396, 272476, 16762, 526
27, 68, 6632, 6082, 390, 165914, 14234, 530
28, 64, 6334, 5742, 392, 170324, 13626, 554
29, 66, 10324, 7288, 394, 168764, 18144, 532
30, 68, 6234, 5678, 400, 208902, 13778, 534
31, 66, 6342, 7356, 392, 269578, 16770, 532
32, 64, 6544, 6006, 392, 166528, 14364, 532
33, 66, 6146, 5586, 390, 292952, 13776, 528
34, 68, 9206, 6658, 388, 165888, 17988, 532
35, 64, 6208, 5390, 394, 282516, 13758, 532
36, 64, 6268, 5698, 390, 171404, 13512, 532
37, 66, 7490, 6308, 392, 167362, 15452, 532
38, 60, 6636, 6156, 398, 168700, 13680, 528
39, 66, 6288, 7210, 390, 170272, 16680, 540
40, 62, 6560, 6178, 398, 286054, 14536, 532
41, 62, 6424, 5774, 398, 170058, 14226, 560
42, 64, 9228, 6510, 386, 264438, 18064, 530
43, 64, 6208, 5906, 398, 166184, 13682, 562
44, 66, 6272, 5618, 400, 286222, 13712, 534
45, 66, 7464, 6252, 392, 169806, 15458, 558
46, 60, 6350, 5846, 390, 165440, 13548, 562
47, 66, 6574, 7910, 398, 171564, 16694, 538
48, 70, 6506, 5956, 390, 165822, 14230, 532
49, 66, 6302, 5586, 394, 265768, 13792, 530
50, 68, 9208, 6406, 404, 166386, 18022, 532
51, 62, 6332, 5538, 394, 285854, 13914, 528
52, 64, 6424, 5776, 402, 169846, 13754, 536
53, 64, 7414, 6056, 384, 266686, 15694, 532
54, 62, 6270, 5812, 392, 200720, 13600, 528
55, 66, 9196, 6442, 388, 165890, 18020, 532
56, 58, 6634, 6134, 392, 167568, 13716, 536
57, 66, 6228, 5556, 390, 170664, 13616, 534
58, 62, 7416, 5988, 394, 291158, 15498, 534
59, 64, 6160, 5536, 392, 166846, 13826, 530
60, 68, 6322, 7210, 396, 263534, 16678, 528
61, 66, 6506, 6216, 390, 166470, 14208, 562
62, 64, 6506, 5370, 388, 290296, 13742, 528
63, 62, 9214, 6494, 400, 165910, 18308, 528
64, 68, 6152, 5474, 396, 165850, 13730, 526
65, 66, 6626, 5806, 394, 173330, 13928, 528
66, 60, 7446, 6154, 394, 167340, 15340, 530
67, 62, 6168, 5534, 394, 283054, 13806, 562
