# trial, bytes, microseconds
0, 32, 1097.974976
1, 32, 1456.619019
2, 32, 2259.730957
3, 32, 2711.523926
4, 32, 2764.906982
5, 32, 2553.596924
6, 32, 2542.041992
7, 32, 1645.097046
8, 32, 2623.366943
9, 32, 1684.516968
0, 64, 1413.409058
1, 64, 1675.770020
2, 64, 2523.840088
3, 64, 2944.347900
4, 64, 1643.451050
5, 64, 2055.559082
6, 64, 1928.832031
7, 64, 1800.224976
8, 64, 2158.275879
9, 64, 1664.905029
0, 128, 1829.822021
1, 128, 1762.614014
2, 128, 1588.760986
3, 128, 603.575989
4, 128, 486.679993
5, 128, 522.317017
6, 128, 627.278992
7, 128, 1584.639038
8, 128, 1588.201050
9, 128, 1906.241943
0, 256, 2460.658936
1, 256, 1693.671997
2, 256, 1965.525024
3, 256, 1233.683960
4, 256, 1367.494019
5, 256, 1739.321045
6, 256, 1818.730957
7, 256, 1710.913940
8, 256, 1912.770020
9, 256, 2519.810059
0, 512, 1810.258057
1, 512, 2754.118896
2, 512, 1998.540039
3, 512, 2783.833984
4, 512, 1417.640015
5, 512, 2209.508057
6, 512, 1834.189941
7, 512, 2648.864990
8, 512, 1781.925049
9, 512, 1973.227051
0, 1024, 1957.569946
1, 1024, 2769.937012
2, 1024, 1688.733032
3, 1024, 2697.455078
4, 1024, 1844.734009
5, 1024, 2134.283936
6, 1024, 1917.041992
7, 1024, 2151.791992
8, 1024, 2678.912109
9, 1024, 1737.025024
0, 2048, 3149.916992
1, 2048, 1821.738037
2, 2048, 1654.380005
3, 2048, 2259.177979
4, 2048, 2135.102051
5, 2048, 1929.978027
6, 2048, 1822.394043
7, 2048, 1852.587036
8, 2048, 2031.651001
9, 2048, 2741.468994
0, 4096, 1967.699951
1, 4096, 2956.691895
2, 4096, 1860.374023
3, 4096, 1501.055054
4, 4096, 1571.848022
5, 4096, 2200.855957
6, 4096, 2203.281006
7, 4096, 2766.011963
8, 4096, 1917.422974
9, 4096, 2724.333984
0, 8192, 2935.412109
1, 8192, 2035.536011
2, 8192, 1929.136963
3, 8192, 2736.863037
4, 8192, 2820.653076
5, 8192, 1829.895996
6, 8192, 2941.093018
7, 8192, 1854.577026
8, 8192, 1877.771973
9, 8192, 2384.333008
0, 16384, 2012.047974
1, 16384, 2612.247070
2, 16384, 2020.520020
3, 16384, 2844.402100
4, 16384, 2006.442993
5, 16384, 2097.970947
6, 16384, 2986.656006
7, 16384, 2667.002930
8, 16384, 1869.680054
9, 16384, 1720.277954
0, 32768, 1761.854004
1, 32768, 1989.687012
2, 32768, 1829.737061
3, 32768, 2741.018066
4, 32768, 1736.187012
5, 32768, 2174.220947
6, 32768, 1943.222046
7, 32768, 1797.608032
8, 32768, 2126.323975
9, 32768, 1965.104004
0, 65536, 2865.037109
1, 65536, 1911.697998
2, 65536, 1822.437988
3, 65536, 3086.364990
4, 65536, 1792.990967
5, 65536, 2302.076904
6, 65536, 1741.412964
7, 65536, 2086.479980
8, 65536, 1641.762939
9, 65536, 3228.867920
0, 131072, 2198.396973
1, 131072, 2698.891113
2, 131072, 2076.077881
3, 131072, 2855.169922
4, 131072, 2295.143066
5, 131072, 3420.987061
6, 131072, 2149.259033
7, 131072, 1980.451050
8, 131072, 2740.751953
9, 131072, 1913.177979
0, 262144, 2097.969971
1, 262144, 2158.472900
2, 262144, 2447.385010
3, 262144, 2309.763916
4, 262144, 3211.803955
5, 262144, 2364.867920
6, 262144, 2266.916992
7, 262144, 3048.385986
8, 262144, 2583.687012
9, 262144, 2361.639893
0, 524288, 2861.047119
1, 524288, 3611.566895
2, 524288, 3545.931885
3, 524288, 3916.764893
4, 524288, 3689.670898
5, 524288, 2680.083984
6, 524288, 2714.511963
7, 524288, 3415.517090
8, 524288, 3084.668945
9, 524288, 3499.275879
0, 1048576, 4762.469238
1, 1048576, 4881.009766
2, 1048576, 4500.103027
3, 1048576, 4478.066895
4, 1048576, 4440.087891
5, 1048576, 4576.515137
6, 1048576, 4405.408203
7, 1048576, 3662.673096
8, 1048576, 3926.560059
9, 1048576, 3891.799072
0, 2097152, 5870.647949
1, 2097152, 5484.383789
2, 2097152, 5554.257812
3, 2097152, 4988.546875
4, 2097152, 5863.310059
5, 2097152, 5278.755859
6, 2097152, 6266.367188
7, 2097152, 6396.820801
8, 2097152, 5401.919922
9, 2097152, 6163.951172
0, 4194304, 10389.584961
1, 4194304, 8833.281250
2, 4194304, 9920.822266
3, 4194304, 9387.691406
4, 4194304, 8960.184570
5, 4194304, 8691.628906
6, 4194304, 9007.666016
7, 4194304, 9699.004883
8, 4194304, 9330.269531
9, 4194304, 8998.293945
0, 8388608, 18542.189453
1, 8388608, 14263.746094
2, 8388608, 14268.113281
3, 8388608, 9968.190430
4, 8388608, 15865.078125
5, 8388608, 15687.669922
6, 8388608, 11221.924805
7, 8388608, 15499.286133
8, 8388608, 15764.569336
9, 8388608, 13828.893555
0, 16777216, 29259.693359
1, 16777216, 12228.783203
2, 16777216, 22257.423828
3, 16777216, 26327.515625
4, 16777216, 14225.190430
5, 16777216, 25422.531250
6, 16777216, 14456.416992
7, 16777216, 25832.779297
8, 16777216, 18659.279297
9, 16777216, 18168.642578
