# trial, microseconds
0, 92
1, 97
2, 145
3, 107
4, 58
5, 26
6, 33
7, 26
8, 26
9, 25
10, 26
11, 25
12, 38
13, 25
14, 25
15, 26
16, 26
17, 26
18, 26
19, 26
20, 25
21, 26
22, 25
23, 32
24, 27
25, 26
26, 25
27, 27
28, 26
29, 26
30, 26
31, 25
32, 26
33, 39
34, 26
35, 26
36, 26
37, 26
38, 27
39, 26
40, 26
41, 27
42, 27
43, 27
44, 28
45, 27
46, 26
47, 27
48, 26
49, 27
50, 27
51, 26
52, 26
53, 26
54, 54
55, 37
56, 38
57, 38
58, 37
59, 37
60, 37
61, 34
62, 34
63, 34
64, 35
65, 35
66, 34
67, 34
68, 34
69, 34
70, 34
71, 48
72, 34
73, 34
74, 34
75, 34
76, 33
77, 34
78, 34
79, 40
80, 35
81, 38
82, 39
83, 39
84, 33
85, 28
86, 34
87, 28
88, 29
89, 30
90, 163
91, 30
92, 30
93, 29
94, 156
95, 34
96, 30
97, 31
98, 32
99, 61
100, 28
101, 28
102, 27
103, 28
104, 28
105, 27
106, 27
107, 27
108, 28
109, 30
110, 28
111, 28
112, 28
113, 30
114, 28
115, 28
116, 29
117, 27
118, 27
119, 27
120, 27
121, 31
122, 182
123, 38
124, 29
125, 27
126, 36
127, 26
128, 26
129, 27
130, 28
131, 28
132, 27
133, 29
134, 27
135, 27
136, 27
137, 57
138, 27
139, 27
140, 28
141, 27
142, 32
143, 27
144, 36
145, 27
146, 27
147, 66
148, 37
149, 58
150, 77
151, 40
152, 46
153, 62
154, 31
155, 29
156, 31
157, 34
158, 30
159, 30
160, 31
161, 30
162, 40
163, 30
164, 31
165, 29
166, 57
167, 30
168, 36
169, 54
170, 63
171, 43
172, 46
173, 38
174, 30
175, 28
176, 29
177, 30
178, 52
179, 32
180, 47
181, 61
182, 36
183, 88
184, 50
185, 41
186, 62
187, 44
188, 43
189, 59
190, 61
191, 64
192, 84
193, 59
194, 53
195, 71
196, 71
197, 39
198, 37
199, 67
200, 45
201, 29
202, 28
203, 47
204, 37
205, 34
206, 36
207, 38
208, 94
209, 28
210, 33
211, 27
212, 28
213, 28
214, 27
215, 31
216, 27
217, 27
218, 27
219, 27
220, 38
221, 27
222, 28
223, 28
224, 27
225, 27
226, 27
227, 28
228, 28
229, 28
230, 27
231, 27
232, 27
233, 27
234, 28
235, 27
236, 28
237, 27
238, 27
239, 28
240, 34
241, 28
242, 28
243, 27
244, 27
245, 27
246, 27
247, 27
248, 27
249, 27
250, 28
251, 27
252, 28
253, 28
254, 28
255, 28
256, 28
257, 27
258, 27
259, 27
260, 27
261, 27
262, 27
263, 27
264, 28
265, 27
266, 58
267, 40
268, 28
269, 25
270, 38
271, 33
272, 34
273, 34
274, 29
275, 27
276, 27
277, 27
278, 27
279, 27
280, 31
281, 27
282, 27
283, 27
284, 27
285, 27
286, 27
287, 28
288, 26
289, 26
290, 27
291, 27
292, 27
293, 27
294, 27
295, 27
296, 28
297, 28
298, 30
299, 40
300, 26
301, 27
302, 27
303, 29
304, 26
305, 26
306, 26
307, 26
308, 26
309, 26
310, 27
311, 26
312, 26
313, 27
314, 26
315, 26
316, 26
317, 26
318, 28
319, 26
320, 26
321, 26
322, 26
323, 26
324, 27
325, 27
326, 27
327, 26
328, 27
329, 28
330, 26
331, 26
332, 27
333, 38
334, 27
335, 27
336, 26
337, 27
338, 26
339, 26
340, 26
341, 26
342, 26
343, 26
344, 27
345, 26
346, 26
347, 27
348, 26
349, 27
350, 26
351, 26
352, 26
353, 26
354, 33
355, 25
356, 27
357, 25
358, 26
359, 25
360, 27
361, 25
362, 26
363, 26
364, 25
365, 25
366, 25
367, 25
368, 25
369, 25
370, 25
371, 26
372, 25
373, 25
374, 25
375, 25
376, 25
377, 25
378, 25
379, 26
380, 25
381, 25
382, 26
383, 25
384, 25
385, 25
386, 26
387, 26
388, 26
389, 25
390, 26
391, 25
392, 26
393, 25
394, 25
395, 25
396, 25
397, 25
398, 26
399, 26
400, 25
401, 26
402, 25
403, 25
404, 28
405, 45
406, 37
407, 31
408, 38
409, 32
410, 32
411, 32
412, 32
413, 34
414, 32
415, 31
416, 32
417, 33
418, 31
419, 31
420, 32
421, 31
422, 33
423, 27
424, 26
425, 25
426, 26
427, 25
428, 26
429, 25
430, 25
431, 25
432, 25
433, 25
434, 26
435, 25
436, 25
437, 25
438, 25
439, 28
440, 25
441, 26
442, 25
443, 25
444, 26
445, 25
446, 25
447, 26
448, 25
449, 25
450, 26
451, 25
452, 26
453, 25
454, 25
455, 26
456, 26
457, 25
458, 25
459, 25
460, 27
461, 26
462, 26
463, 25
464, 24
465, 25
466, 25
467, 24
468, 24
469, 24
470, 24
471, 46
472, 26
473, 24
474, 25
475, 24
476, 25
477, 25
478, 24
479, 24
480, 25
481, 25
482, 27
483, 33
484, 32
485, 33
486, 31
487, 30
488, 31
489, 32
490, 30
491, 30
492, 31
493, 31
494, 31
495, 31
496, 31
497, 31
498, 32
499, 30
500, 30
501, 31
502, 30
503, 31
504, 33
505, 31
506, 31
507, 30
508, 33
509, 25
510, 25
511, 24
512, 25
513, 24
514, 25
515, 25
516, 24
517, 25
518, 25
519, 25
520, 28
521, 26
522, 26
523, 25
524, 25
525, 25
526, 25
527, 24
528, 25
529, 24
530, 25
531, 26
532, 25
533, 24
534, 24
535, 25
536, 24
537, 25
538, 25
539, 32
540, 29
541, 25
542, 24
543, 24
544, 25
545, 25
546, 24
547, 24
548, 25
549, 25
550, 25
551, 25
552, 25
553, 24
554, 25
555, 25
556, 25
557, 25
558, 25
559, 25
560, 25
561, 25
562, 25
563, 25
564, 24
565, 24
566, 24
567, 24
568, 24
569, 25
570, 25
571, 37
572, 24
573, 37
574, 25
575, 24
576, 37
577, 25
578, 24
579, 37
580, 24
581, 38
582, 25
583, 25
584, 37
585, 36
586, 37
587, 24
588, 24
589, 37
590, 25
591, 25
592, 37
593, 24
594, 38
595, 24
596, 24
597, 24
598, 24
599, 37
600, 24
601, 24
602, 37
603, 25
604, 37
605, 24
606, 25
607, 37
608, 26
609, 100
610, 25
611, 37
612, 25
613, 25
614, 37
615, 24
616, 25
617, 37
618, 24
619, 54
620, 37
621, 37
622, 24
623, 37
624, 24
625, 25
626, 24
627, 37
628, 45
629, 38
630, 37
631, 24
632, 24
633, 37
634, 37
635, 25
636, 24
637, 25
638, 38
639, 24
640, 38
641, 24
642, 24
643, 41
644, 25
645, 25
646, 37
647, 25
648, 25
649, 42
650, 24
651, 38
652, 37
653, 25
654, 37
655, 25
656, 37
657, 24
658, 24
659, 37
660, 53
661, 26
662, 24
663, 37
664, 25
665, 24
666, 26
667, 38
668, 52
669, 35
670, 29
671, 51
672, 52
673, 26
674, 39
675, 25
676, 26
677, 25
678, 25
679, 30
680, 25
681, 26
682, 26
683, 38
684, 38
685, 38
686, 25
687, 39
688, 25
689, 25
690, 39
691, 26
692, 37
693, 25
694, 24
695, 25
696, 26
697, 26
698, 26
699, 26
700, 26
701, 27
702, 26
703, 24
704, 25
705, 37
706, 26
707, 37
708, 51
709, 52
710, 26
711, 37
712, 24
713, 24
714, 26
715, 26
716, 26
717, 38
718, 38
719, 39
720, 25
721, 26
722, 25
723, 52
724, 26
725, 38
726, 25
727, 24
728, 27
729, 36
730, 26
731, 38
732, 25
733, 26
734, 25
735, 24
736, 26
737, 27
738, 38
739, 25
740, 39
741, 39
742, 24
743, 25
744, 24
745, 24
746, 26
747, 38
748, 24
749, 30
750, 26
751, 25
752, 26
753, 28
754, 26
755, 38
756, 38
757, 39
758, 38
759, 38
760, 38
761, 28
762, 26
763, 38
764, 24
765, 26
766, 26
767, 26
768, 38
769, 26
770, 25
771, 25
772, 24
773, 26
774, 38
775, 24
776, 25
777, 40
778, 25
779, 26
780, 26
781, 38
782, 24
783, 25
784, 26
785, 27
786, 38
787, 25
788, 25
789, 90
790, 34
791, 24
792, 50
793, 53
794, 27
795, 26
796, 38
797, 38
798, 38
799, 38
800, 25
801, 25
802, 26
803, 26
804, 26
805, 38
806, 25
807, 24
808, 26
809, 54
810, 26
811, 26
812, 38
813, 25
814, 24
815, 26
816, 25
817, 26
818, 26
819, 51
820, 37
821, 25
822, 24
823, 30
824, 41
825, 25
826, 26
827, 29
828, 27
829, 38
830, 25
831, 38
832, 25
833, 25
834, 26
835, 26
836, 27
837, 26
838, 26
839, 25
840, 25
841, 27
842, 39
843, 25
844, 26
845, 26
846, 38
847, 25
848, 37
849, 26
850, 26
851, 37
852, 24
853, 25
854, 26
855, 26
856, 38
857, 39
858, 26
859, 24
860, 24
861, 25
862, 51
863, 27
864, 38
865, 25
866, 26
867, 25
868, 26
869, 26
870, 38
871, 39
872, 38
873, 39
874, 24
875, 24
876, 51
877, 27
878, 26
879, 38
880, 51
881, 52
882, 26
883, 38
884, 24
885, 25
886, 39
887, 25
888, 24
889, 26
890, 26
891, 38
892, 38
893, 39
894, 25
895, 26
896, 27
897, 25
898, 25
899, 26
900, 26
901, 38
902, 25
903, 25
904, 26
905, 25
906, 26
907, 26
908, 46
909, 34
910, 24
911, 24
912, 24
913, 25
914, 25
915, 41
916, 25
917, 25
918, 26
919, 26
920, 37
921, 25
922, 25
923, 26
924, 26
925, 37
926, 39
927, 38
928, 25
929, 26
930, 26
931, 41
932, 52
933, 24
934, 26
935, 37
936, 38
937, 38
938, 25
939, 25
940, 25
941, 26
942, 38
943, 39
944, 51
945, 38
946, 39
947, 24
948, 25
949, 25
950, 26
951, 26
952, 26
953, 27
954, 26
955, 26
956, 39
957, 25
958, 24
959, 26
960, 38
961, 25
962, 24
963, 25
964, 26
965, 37
966, 24
967, 24
968, 26
969, 26
970, 26
971, 64
972, 32
973, 30
974, 51
975, 51
976, 26
977, 38
978, 24
979, 24
980, 24
981, 51
982, 25
983, 37
984, 25
985, 24
