# trial, us for 1000 calls
0, 56807
1, 54837
2, 53441
3, 54571
4, 56178
5, 54337
6, 54965
7, 54159
8, 53934
9, 54211
10, 55890
11, 55765
12, 59220
13, 54177
14, 53510
15, 55737
16, 54148
17, 54301
18, 55711
19, 56132
20, 53827
21, 54552
22, 56824
23, 55297
24, 57585
25, 55571
26, 53306
27, 55256
28, 57091
29, 54820
30, 55682
31, 55956
32, 54046
33, 56489
34, 54133
35, 55883
36, 52351
37, 56583
38, 55903
39, 55015
40, 59194
41, 66163
42, 51376
43, 52433
44, 50106
45, 51265
46, 55056
47, 57492
48, 52711
49, 54749
50, 55136
51, 57835
52, 49990
53, 54553
54, 55999
55, 52118
56, 56085
57, 53303
58, 54759
59, 53665
60, 57569
61, 56144
62, 57943
63, 53720
64, 57716
65, 55003
66, 55768
67, 59346
68, 56290
69, 57003
70, 63254
71, 60049
72, 70707
73, 56496
74, 47797
75, 48570
76, 50668
77, 51140
78, 56610
79, 54634
80, 55938
81, 55317
82, 56433
83, 51405
84, 55975
85, 57144
86, 58073
87, 56021
88, 55054
89, 53236
90, 57103
91, 52257
92, 51006
93, 51207
94, 54394
95, 56416
96, 56193
97, 55116
98, 59603
99, 63987
