# trial, microseconds
0, 109
1, 86
2, 79
3, 80
4, 78
5, 27
6, 27
7, 39
8, 27
9, 27
10, 28
11, 28
12, 27
13, 27
14, 27
15, 27
16, 27
17, 27
18, 29
19, 27
20, 27
21, 27
22, 26
23, 27
24, 27
25, 27
26, 27
27, 27
28, 27
29, 28
30, 28
31, 28
32, 28
33, 27
34, 28
35, 28
36, 27
37, 28
38, 28
39, 27
40, 34
41, 30
42, 29
43, 29
44, 29
45, 29
46, 30
47, 30
48, 30
49, 30
50, 29
51, 29
52, 29
53, 30
54, 30
55, 30
56, 199
57, 35
58, 29
59, 30
60, 30
61, 37
62, 31
63, 31
64, 29
65, 29
66, 29
67, 30
68, 38
69, 43
70, 43
71, 42
72, 41
73, 42
74, 41
75, 40
76, 43
77, 47
78, 41
79, 42
80, 41
81, 42
82, 67
83, 47
84, 39
85, 44
86, 47
87, 44
88, 28
89, 35
90, 29
91, 28
92, 29
93, 29
94, 28
95, 28
96, 29
97, 29
98, 29
99, 28
100, 29
101, 29
102, 28
103, 28
104, 29
105, 29
106, 29
107, 30
108, 32
109, 31
110, 30
111, 30
112, 30
113, 29
114, 28
115, 29
116, 29
117, 28
118, 33
119, 29
120, 28
121, 32
122, 31
123, 28
124, 28
125, 29
126, 28
127, 28
128, 38
129, 29
130, 29
131, 29
132, 30
133, 34
134, 31
135, 38
136, 33
137, 58
138, 43
139, 76
140, 87
141, 30
142, 30
143, 49
144, 35
145, 40
146, 31
147, 31
148, 45
149, 32
150, 30
151, 31
152, 54
153, 31
154, 29
155, 32
156, 30
157, 39
158, 214
159, 48
160, 38
161, 35
162, 39
163, 39
164, 40
165, 57
166, 43
167, 39
168, 47
169, 65
170, 45
171, 44
172, 45
173, 96
174, 40
175, 63
176, 93
177, 64
178, 68
179, 79
180, 87
181, 62
182, 50
183, 48
184, 48
185, 57
186, 39
187, 39
188, 38
189, 35
190, 40
191, 97
192, 89
193, 49
194, 37
195, 42
196, 38
197, 30
198, 28
199, 28
200, 29
201, 28
202, 30
203, 28
204, 28
205, 28
206, 29
207, 28
208, 29
209, 28
210, 29
211, 28
212, 28
213, 29
214, 28
215, 28
216, 29
217, 29
218, 30
219, 28
220, 28
221, 29
222, 29
223, 29
224, 28
225, 28
226, 29
227, 29
228, 29
229, 28
230, 28
231, 29
232, 29
233, 29
234, 28
235, 28
236, 29
237, 28
238, 29
239, 28
240, 28
241, 28
242, 29
243, 30
244, 33
245, 29
246, 28
247, 28
248, 150
249, 28
250, 27
251, 28
252, 27
253, 27
254, 28
255, 27
256, 27
257, 27
258, 29
259, 44
260, 31
261, 27
262, 26
263, 26
264, 26
265, 26
266, 28
267, 28
268, 27
269, 27
270, 27
271, 27
272, 27
273, 27
274, 39
275, 27
276, 27
277, 27
278, 44
279, 37
280, 36
281, 33
282, 33
283, 34
284, 37
285, 34
286, 34
287, 36
288, 34
289, 36
290, 34
291, 34
292, 34
293, 34
294, 35
295, 34
296, 34
297, 34
298, 33
299, 34
300, 34
