# trial, microseconds
0, 123
1, 57
2, 40
3, 25
4, 34
5, 30
6, 26
7, 27
8, 25
9, 25
10, 26
11, 25
12, 25
13, 25
14, 25
15, 26
16, 25
17, 25
18, 25
19, 25
20, 26
21, 25
22, 32
23, 32
24, 39
25, 26
26, 26
27, 26
28, 26
29, 27
30, 26
31, 25
32, 27
33, 26
34, 25
35, 26
36, 25
37, 27
38, 26
39, 25
40, 25
41, 26
42, 28
43, 26
44, 44
45, 28
46, 28
47, 27
48, 28
49, 28
50, 34
51, 28
52, 28
53, 27
54, 28
55, 27
56, 27
57, 27
58, 29
59, 29
60, 28
61, 28
62, 28
63, 28
64, 27
65, 27
66, 28
67, 103
68, 29
69, 28
70, 27
71, 28
72, 27
73, 31
74, 41
75, 42
76, 41
77, 40
78, 39
79, 39
80, 38
81, 40
82, 60
83, 34
84, 29
85, 28
86, 62
87, 34
88, 31
89, 30
90, 28
91, 40
92, 33
93, 28
94, 31
95, 27
96, 26
97, 27
98, 26
99, 27
100, 26
101, 28
102, 26
103, 26
104, 26
105, 26
106, 27
107, 26
108, 26
109, 26
110, 27
111, 28
112, 27
113, 26
114, 27
115, 27
116, 26
117, 27
118, 26
119, 27
120, 27
121, 34
122, 27
123, 55
124, 31
125, 27
126, 29
127, 27
128, 26
129, 26
130, 26
131, 26
132, 27
133, 26
134, 30
135, 26
136, 27
137, 44
138, 26
139, 27
140, 26
141, 27
142, 38
143, 27
144, 34
145, 32
146, 36
147, 35
148, 35
149, 35
150, 32
151, 34
152, 36
153, 33
154, 44
155, 33
156, 31
157, 45
158, 29
159, 30
160, 29
161, 30
162, 45
163, 30
164, 28
165, 28
166, 46
167, 59
168, 35
169, 39
170, 32
171, 30
172, 31
173, 27
174, 29
175, 44
176, 103
177, 161
178, 40
179, 44
180, 39
181, 32
182, 35
183, 43
184, 53
185, 63
186, 74
187, 63
188, 65
189, 56
190, 196
191, 189
192, 78
193, 80
194, 44
195, 64
196, 39
197, 38
198, 33
199, 55
200, 39
201, 40
202, 78
203, 38
204, 37
205, 38
206, 149
207, 50
208, 30
209, 27
210, 28
211, 26
212, 27
213, 28
214, 28
215, 28
216, 27
217, 27
218, 27
219, 27
220, 27
221, 27
222, 27
223, 27
224, 28
225, 27
226, 28
227, 27
228, 27
229, 28
230, 27
231, 27
232, 28
233, 27
234, 27
235, 28
236, 27
237, 27
238, 27
239, 27
240, 27
241, 27
242, 27
243, 27
244, 27
245, 27
246, 28
247, 27
248, 28
249, 27
250, 27
251, 27
252, 27
253, 27
254, 26
255, 27
256, 27
257, 28
258, 27
259, 28
260, 28
261, 27
262, 27
263, 27
264, 27
265, 27
266, 27
267, 27
268, 27
269, 27
270, 138
271, 32
272, 27
273, 27
274, 27
275, 39
276, 26
277, 26
278, 26
279, 27
280, 26
281, 26
282, 26
283, 27
284, 26
285, 26
286, 26
287, 26
288, 26
289, 27
290, 27
291, 26
292, 26
293, 26
294, 26
295, 26
296, 26
297, 26
298, 26
299, 28
300, 26
301, 26
302, 26
303, 26
304, 26
305, 26
306, 27
307, 26
308, 26
309, 26
310, 27
311, 26
312, 26
313, 27
314, 26
315, 26
316, 26
317, 26
318, 26
319, 26
320, 27
321, 27
322, 27
323, 26
324, 28
325, 27
326, 27
327, 27
328, 26
329, 26
330, 27
331, 26
332, 26
333, 26
334, 26
335, 27
336, 29
337, 42
338, 35
339, 44
340, 75
341, 27
342, 36
343, 28
344, 27
345, 26
346, 26
347, 27
348, 26
349, 26
350, 26
351, 26
352, 26
353, 27
354, 26
355, 26
356, 42
357, 26
358, 25
359, 26
360, 25
361, 25
362, 26
363, 25
364, 26
365, 25
366, 26
367, 26
368, 25
369, 25
370, 26
371, 26
372, 25
373, 25
374, 26
375, 25
376, 44
377, 31
378, 26
379, 25
380, 27
381, 25
382, 25
383, 26
384, 26
385, 25
386, 25
387, 25
388, 26
389, 25
390, 26
391, 28
392, 26
393, 25
394, 25
395, 25
396, 26
397, 26
398, 26
399, 25
400, 26
401, 26
402, 25
403, 25
404, 25
405, 59
406, 28
407, 27
408, 27
409, 25
410, 25
411, 26
412, 25
413, 25
414, 26
415, 26
416, 25
417, 25
418, 26
419, 25
420, 25
421, 26
422, 25
423, 25
424, 26
425, 25
426, 25
427, 26
428, 25
429, 26
430, 27
431, 26
432, 26
433, 25
434, 25
435, 26
436, 26
437, 25
438, 26
439, 26
440, 37
441, 24
442, 28
443, 25
444, 25
445, 25
446, 25
447, 25
448, 25
449, 25
450, 25
451, 24
452, 24
453, 24
454, 25
455, 25
456, 25
457, 24
458, 25
459, 25
460, 27
461, 25
462, 25
463, 27
464, 25
465, 25
466, 24
467, 24
468, 26
469, 25
470, 25
471, 24
472, 24
473, 24
474, 25
475, 25
476, 24
477, 35
478, 43
479, 26
480, 25
481, 29
482, 26
483, 25
484, 25
485, 25
486, 25
487, 25
488, 25
489, 25
490, 25
491, 24
492, 24
493, 24
494, 24
495, 24
496, 24
497, 24
498, 24
499, 25
500, 25
501, 25
502, 26
503, 30
504, 26
505, 25
506, 25
507, 25
508, 25
509, 25
510, 24
511, 25
512, 24
513, 24
514, 24
515, 25
516, 25
517, 25
518, 25
519, 25
520, 25
521, 25
522, 25
523, 24
524, 25
525, 24
526, 24
527, 25
528, 24
529, 25
530, 24
531, 24
532, 25
533, 25
534, 24
535, 25
536, 25
537, 33
538, 26
539, 25
540, 25
541, 24
542, 25
543, 25
544, 25
545, 25
546, 25
547, 24
548, 25
549, 25
550, 43
551, 31
552, 143
553, 50
554, 36
555, 33
556, 33
557, 49
558, 32
559, 32
560, 33
561, 44
562, 32
563, 34
564, 31
565, 31
566, 37
567, 31
568, 32
569, 36
570, 32
571, 32
572, 31
573, 32
574, 32
575, 45
576, 42
577, 39
578, 36
579, 33
580, 32
581, 32
582, 32
583, 41
584, 32
585, 27
586, 27
587, 26
588, 26
589, 26
590, 26
591, 26
592, 27
593, 26
594, 25
595, 26
596, 25
597, 25
598, 25
599, 25
600, 26
601, 26
602, 26
603, 25
604, 26
605, 64
606, 35
607, 29
608, 39
609, 26
610, 26
611, 33
612, 31
613, 31
614, 36
615, 32
616, 33
617, 34
618, 34
619, 33
620, 33
621, 31
622, 31
623, 32
624, 31
625, 32
626, 34
627, 31
628, 32
629, 44
630, 32
631, 31
