# trial, us for 1000 calls
0, 56840
1, 57811
2, 53072
3, 56934
4, 55719
5, 53748
6, 54735
7, 58771
8, 58694
9, 55344
10, 55952
11, 55236
12, 56247
13, 56714
14, 56964
15, 55747
16, 56050
17, 56604
18, 56626
19, 54819
20, 57163
21, 56487
22, 58934
23, 58441
24, 54351
25, 55805
26, 60141
27, 55069
28, 56223
29, 53575
30, 56222
31, 57722
32, 54935
33, 57302
34, 55950
35, 57146
36, 57010
37, 56492
38, 56345
39, 56416
40, 55667
41, 54989
42, 56457
43, 56645
44, 54240
45, 54786
46, 53243
47, 52565
48, 47983
49, 53112
50, 56849
51, 54725
52, 55115
53, 53197
54, 51445
55, 52489
56, 55251
57, 53125
58, 54327
59, 55444
60, 58261
61, 56613
62, 56208
63, 58541
64, 55845
65, 57003
66, 55623
67, 56908
68, 56993
69, 55330
70, 56018
71, 56429
72, 55730
73, 54632
74, 59582
75, 57525
76, 55776
77, 54685
78, 55641
79, 58674
80, 56407
81, 61608
82, 54646
83, 50382
84, 51534
85, 56485
86, 50798
87, 51607
88, 56180
89, 54064
90, 52195
91, 50780
92, 48880
93, 55694
94, 56406
95, 57189
96, 54939
97, 56732
98, 54811
99, 56562
