# trial, latency
0,2612
1,806
2,798
3,745
4,1182
5,868
6,997
7,872
8,1296
9,1234
10,792
11,741
12,686
13,764
14,706
15,715
16,683
17,715
18,718
19,682
20,699
21,704
22,736
23,691
24,708
25,688
26,712
27,790
28,687
29,704
30,684
31,718
32,704
33,704
34,683
35,725
36,703
37,702
38,725
39,690
40,747
41,737
42,702
43,660
44,676
45,646
46,788
47,703
48,718
49,733
50,681
51,773
52,702
53,720
54,686
55,702
56,719
57,637
58,704
59,643
60,740
61,739
62,714
63,660
64,701
65,828
66,691
67,695
68,744
69,709
70,704
71,656
72,679
73,738
74,835
75,753
76,673
77,645
78,701
79,713
80,711
81,694
82,660
83,699
84,703
85,770
86,675
87,664
88,697
89,718
90,690
91,643
92,662
93,781
94,664
95,738
96,705
97,696
98,722
99,705
