# trial, latency
0,2360
1,709
2,717
3,728
4,1018
5,843
6,809
7,843
8,848
9,1347
10,930
11,715
12,685
13,711
14,721
15,713
16,670
17,698
18,669
19,712
20,698
21,678
22,676
23,649
24,692
25,657
26,647
27,636
28,633
29,738
30,629
31,671
32,616
33,622
34,644
35,655
36,639
37,654
38,634
39,624
40,684
41,607
42,626
43,591
44,619
45,624
46,608
47,604
48,589
49,612
50,665
51,589
52,623
53,634
54,572
55,574
56,632
57,611
58,573
59,643
60,636
61,665
62,854
63,690
64,610
65,613
66,707
67,591
68,589
69,622
70,556
71,593
72,641
73,714
74,679
75,564
76,647
77,654
78,576
79,558
80,653
81,587
82,719
83,609
84,662
85,1086
86,1469
87,904
88,640
89,635
90,712
91,596
92,603
93,606
94,605
95,604
96,649
97,624
98,606
99,651
