# trial, latency
0,2915
1,493
2,430
3,426
4,425
5,431
6,359
7,376
8,301
9,340
10,318
11,298
12,309
13,341
14,354
15,329
16,339
17,682
18,900
19,387
20,296
21,320
22,290
23,306
24,305
25,289
26,287
27,361
28,303
29,296
30,287
31,288
32,295
33,289
34,286
35,288
36,287
37,289
38,308
39,293
40,289
41,287
42,287
43,288
44,320
45,288
46,288
47,288
48,286
49,297
50,293
51,289
52,289
53,287
54,287
55,299
56,293
57,290
58,302
59,288
60,287
61,374
62,323
63,304
64,290
65,288
66,290
67,293
68,288
69,287
70,290
71,289
72,313
73,278
74,281
75,289
76,268
77,270
78,269
79,276
80,259
81,262
82,261
83,260
84,292
85,265
86,260
87,264
88,254
89,254
90,252
91,258
92,254
93,253
94,258
95,252
96,254
97,267
98,275
99,352
