# trial, latency
0,3381
1,1024
2,334
3,220
4,186
5,258
6,288
7,291
8,301
9,247
10,222
11,189
12,193
13,186
14,185
15,245
16,191
17,201
18,181
19,194
20,183
21,181
22,181
23,181
24,279
25,429
26,538
27,562
28,293
29,240
30,188
31,192
32,190
33,179
34,179
35,180
36,177
37,178
38,176
39,177
40,177
41,179
42,177
43,178
44,212
45,181
46,178
47,186
48,380
49,307
50,281
51,195
52,190
53,182
54,181
55,182
56,179
57,178
58,178
59,181
60,208
61,192
62,183
63,201
64,180
65,177
66,178
67,178
68,176
69,182
70,187
71,177
72,177
73,177
74,176
75,178
76,176
77,177
78,205
79,178
80,184
81,180
82,177
83,177
84,181
85,184
86,176
87,177
88,176
89,177
90,179
91,186
92,193
93,182
94,193
95,185
96,282
97,331
98,618
99,445
