# trial, latency (cycles)
0, 517076
1, 318059
2, 315125
3, 317185
4, 316006
5, 315996
6, 315184
7, 315093
8, 331181
9, 315747
10, 315127
11, 315170
12, 314907
13, 314845
14, 314987
15, 314885
16, 314876
17, 390487
18, 316675
19, 315008
20, 398934
21, 316382
22, 314938
23, 316886
24, 316067
25, 315785
26, 315283
27, 315052
28, 315116
29, 315172
30, 314946
31, 315908
32, 315055
33, 315020
34, 315159
35, 314986
36, 315025
37, 315446
38, 315087
39, 314940
40, 314962
41, 314907
42, 315087
43, 314946
44, 314936
45, 315114
46, 314869
47, 315025
48, 363937
49, 316065
50, 315361
51, 316273
52, 315438
53, 315339
54, 315097
55, 316784
56, 315331
57, 321123
58, 315361
59, 334709
60, 379123
61, 376274
62, 399577
63, 388174
64, 394177
65, 409129
66, 347833
67, 317736
68, 339441
69, 419292
70, 429658
71, 344739
72, 367212
73, 315623
74, 352497
75, 317250
76, 316322
77, 316318
78, 317318
79, 321252
80, 329431
81, 357026
82, 317688
83, 321681
84, 321623
85, 321193
86, 328996
87, 322904
88, 322268
89, 322807
90, 321981
91, 325716
92, 325566
93, 324487
94, 324752
95, 439277
96, 381809
97, 359365
98, 560843
99, 482348
100, 355503
101, 351154
102, 421458
103, 348055
104, 391643
105, 548978
106, 362022
107, 345979
108, 372080
109, 384856
110, 380119
111, 405216
112, 390112
113, 486674
114, 371538
115, 395829
116, 464186
117, 453341
118, 397568
119, 340416
120, 570825
121, 426093
122, 328881
123, 395446
124, 384845
125, 347042
126, 381045
127, 541593
128, 315856
129, 315170
130, 315450
131, 315252
132, 315072
133, 316051
134, 316032
135, 314934
136, 314853
137, 315010
138, 314807
139, 315436
140, 315351
141, 315202
142, 315160
143, 315138
144, 315723
145, 317234
146, 357427
147, 317625
148, 315071
149, 314926
150, 314913
151, 314865
152, 314877
153, 314841
154, 323664
155, 316624
156, 314847
157, 315081
158, 331247
159, 314762
160, 314914
161, 315024
162, 315048
163, 349465
164, 304497
165, 303845
166, 303643
167, 304095
168, 303812
169, 303903
170, 303744
171, 303746
172, 303758
173, 339714
174, 1027953
175, 458047
176, 303650
177, 303823
178, 303686
179, 303724
180, 303653
181, 303823
182, 303710
183, 303742
184, 303744
185, 303712
186, 303762
187, 303740
188, 304565
189, 303910
190, 303690
191, 303694
192, 303601
193, 303716
194, 303653
195, 303620
196, 306911
197, 303764
198, 303530
199, 303797
200, 303792
201, 337932
202, 304131
203, 303839
204, 304981
205, 303696
206, 303806
207, 303783
208, 303941
209, 303801
210, 303754
211, 303685
212, 303691
213, 303619
214, 303651
215, 303576
216, 303672
217, 303585
218, 303565
219, 303570
220, 303678
221, 303516
222, 303635
223, 303519
224, 303742
225, 303937
226, 303730
227, 303579
228, 303714
229, 303581
230, 303609
231, 324891
232, 304622
233, 304175
234, 304138
235, 304160
236, 304156
237, 303922
238, 304004
239, 304041
240, 314702
241, 305524
242, 303805
243, 303634
244, 304254
245, 304386
246, 303744
247, 303796
248, 304116
249, 337150
250, 293267
251, 293228
252, 293196
253, 293304
254, 293285
255, 293244
256, 293226
257, 293218
258, 293255
259, 293311
260, 328270
261, 387054
262, 293773
263, 293371
264, 293369
265, 293165
266, 292905
267, 323501
268, 283350
269, 283257
270, 283235
271, 283245
272, 283226
273, 285072
274, 286846
275, 283513
276, 283427
277, 283520
278, 283475
279, 283471
280, 283487
281, 283508
282, 283572
283, 283503
284, 283418
285, 283917
286, 286200
287, 283428
288, 283509
289, 283501
290, 283537
291, 283529
292, 321931
293, 284893
294, 284544
295, 283729
296, 310125
297, 274376
298, 274387
299, 274129
300, 274489
301, 274163
302, 276463
303, 274085
304, 274151
305, 274186
306, 274168
307, 274207
308, 274225
309, 274268
310, 274226
311, 274214
312, 274251
313, 274244
314, 274137
315, 274203
316, 274196
317, 274286
318, 274107
319, 274196
320, 276794
321, 274209
322, 274256
323, 274276
324, 293511
325, 305447
326, 267942
327, 267260
328, 265705
329, 265578
330, 265635
331, 265558
332, 265596
333, 265636
334, 265586
335, 274323
336, 266825
337, 265879
338, 266038
339, 265564
340, 265586
341, 265631
342, 265560
343, 265576
344, 265606
345, 265661
346, 265751
347, 265687
348, 265697
349, 265751
350, 265621
351, 265596
352, 265584
353, 265675
354, 265586
355, 265669
356, 265572
357, 266328
358, 303006
359, 267329
360, 265697
361, 265687
362, 265582
363, 273492
364, 265578
365, 265551
366, 292373
367, 257602
368, 257547
369, 257545
370, 350542
371, 257650
372, 257597
373, 257603
374, 257605
375, 257517
376, 257486
377, 257581
378, 257529
379, 257475
380, 257509
381, 257531
382, 257554
383, 257566
384, 257521
385, 257464
386, 257588
387, 257442
388, 257588
389, 257596
390, 257499
391, 257538
392, 369151
393, 258189
394, 258020
395, 257868
396, 287820
397, 250059
398, 250109
399, 250067
400, 250006
401, 353340
402, 251623
403, 250102
404, 253829
405, 250164
406, 250165
407, 250148
408, 250186
409, 250164
410, 250063
411, 250031
412, 250136
413, 250126
414, 250820
415, 250077
416, 250058
417, 250029
418, 250069
419, 250068
420, 250128
421, 250203
422, 250148
423, 250185
424, 250051
425, 250041
426, 250040
427, 327256
428, 288284
429, 250234
430, 250091
431, 250170
432, 250144
433, 250077
434, 250045
435, 250075
436, 250023
437, 249973
438, 250007
439, 257509
440, 350086
441, 288641
442, 250146
443, 249932
444, 249975
445, 250019
446, 250087
447, 250018
448, 250081
449, 250043
450, 250148
451, 249989
452, 250039
453, 249970
454, 250073
455, 250090
456, 250121
457, 250082
458, 250100
459, 249967
460, 250047
461, 250089
462, 341430
463, 317956
464, 251126
465, 250231
466, 250066
467, 250073
468, 249968
469, 249962
470, 249992
471, 249968
472, 250100
473, 250043
474, 249996
475, 250041
476, 249922
477, 250006
478, 249940
479, 249974
480, 249999
481, 253232
482, 250031
483, 249964
484, 249946
485, 251839
486, 249906
487, 249964
488, 249971
489, 250012
490, 250055
491, 250037
492, 250068
493, 250037
494, 249961
495, 250007
496, 249942
497, 249886
498, 410583
499, 250427
500, 250152
501, 250085
502, 249894
503, 249976
504, 249930
505, 249973
506, 250013
507, 250001
508, 250088
509, 250009
510, 249950
511, 249947
512, 250047
513, 249963
514, 250025
515, 250070
516, 250076
517, 249981
518, 250016
519, 249984
520, 249956
521, 253931
522, 249975
523, 249946
524, 250035
525, 250013
526, 249934
527, 249977
528, 249977
529, 349764
530, 250058
531, 249916
532, 249916
533, 365478
534, 250666
535, 250307
536, 250245
537, 250205
538, 250099
539, 250110
540, 250023
541, 250056
542, 249985
543, 250019
544, 249995
545, 257729
546, 303014
547, 299413
548, 250142
549, 290035
550, 300073
551, 250089
552, 249975
553, 250023
554, 249945
555, 250005
556, 250058
557, 250007
558, 249970
559, 249930
560, 249915
561, 249973
562, 249937
563, 249989
564, 249983
565, 250076
566, 250077
567, 250035
568, 402827
569, 297800
570, 249931
571, 343863
572, 294866
573, 250179
574, 250033
575, 250097
576, 249993
577, 249987
578, 250045
579, 250228
580, 250122
581, 250075
582, 345901
583, 292009
584, 250180
585, 250142
586, 250160
587, 250009
588, 250010
589, 249976
590, 249947
591, 250045
592, 250053
593, 250066
594, 250108
595, 250142
596, 250015
597, 249995
598, 250047
599, 250004
600, 250069
601, 250043
602, 366008
603, 250771
604, 250328
605, 250273
606, 250186
607, 250201
608, 249902
609, 249933
610, 249882
611, 249910
612, 249882
613, 249952
614, 249995
615, 250005
616, 249896
617, 249840
618, 249927
619, 250037
620, 249956
621, 249962
622, 249974
623, 249887
624, 249922
625, 249981
626, 249916
627, 249902
628, 249964
629, 249966
630, 250017
631, 249995
632, 250006
633, 249924
634, 249907
635, 249932
636, 249932
637, 250023
638, 365330
639, 250263
640, 250043
641, 250136
642, 261370
643, 368681
644, 288606
645, 250194
646, 249967
647, 250033
648, 251110
649, 250681
650, 257741
651, 305935
652, 295425
653, 250060
654, 250008
655, 249962
656, 249977
657, 250069
658, 250144
659, 250187
660, 250069
661, 249973
662, 250011
663, 249965
664, 250062
665, 250089
666, 258104
667, 250854
668, 250263
669, 250104
670, 250067
671, 250017
672, 368094
673, 374821
674, 293868
675, 250041
676, 301979
677, 303748
678, 250164
679, 250200
680, 250167
681, 250832
682, 250208
683, 250148
684, 250104
685, 304295
686, 295820
687, 250037
688, 250041
689, 250125
690, 250089
691, 250092
692, 250123
693, 250083
694, 250097
695, 250057
696, 250045
697, 250037
698, 250126
699, 250099
700, 250088
701, 249983
702, 250103
703, 250112
704, 250029
705, 250128
706, 321589
707, 295851
708, 250313
709, 250344
710, 249979
711, 249922
712, 249939
713, 249866
714, 249912
715, 249862
716, 305856
717, 304091
718, 266908
719, 250585
720, 250263
721, 250368
722, 250295
723, 250273
724, 250394
725, 250305
726, 250289
727, 250287
728, 250214
729, 250215
730, 250586
731, 250203
732, 250193
733, 250190
734, 250269
735, 250126
736, 250108
737, 250063
738, 250059
739, 250064
740, 304005
741, 351258
742, 345467
743, 250679
744, 250209
745, 250199
746, 249999
747, 250029
748, 250069
749, 250152
750, 249966
751, 250043
752, 249979
753, 249993
754, 257325
755, 251084
756, 380571
757, 250045
758, 250065
759, 250041
760, 250002
761, 249944
762, 250051
763, 249910
764, 249986
765, 250031
766, 250104
767, 250101
768, 250092
769, 250014
770, 250015
771, 249968
772, 249928
773, 250019
774, 250098
775, 249963
776, 336183
777, 283987
778, 309893
779, 285089
780, 283482
781, 283511
782, 283170
783, 283297
784, 317645
785, 265683
786, 265632
787, 265675
788, 265653
789, 265648
790, 265582
791, 265564
792, 265532
793, 265574
794, 265600
795, 265524
796, 265574
797, 265537
798, 265566
799, 265511
800, 265621
801, 265606
802, 265582
803, 265574
804, 265559
805, 265578
806, 265646
807, 265582
808, 265577
809, 321381
810, 250779
811, 250358
812, 250146
813, 250108
814, 250013
815, 250049
816, 249987
817, 250085
818, 250053
819, 249980
820, 249989
821, 249938
822, 250022
823, 249990
824, 250074
825, 250111
826, 250025
827, 249948
828, 249981
829, 249966
830, 249910
831, 249956
832, 249988
833, 249987
834, 250035
835, 250053
836, 249914
837, 249966
838, 249960
839, 249900
840, 299703
841, 265623
842, 301730
843, 302084
844, 334346
845, 250195
846, 249942
847, 250057
848, 250017
849, 250174
850, 249958
851, 250061
852, 249799
853, 249876
854, 249892
855, 384177
856, 249959
857, 250009
858, 257609
859, 251051
860, 352160
861, 286499
862, 249989
863, 249993
864, 249902
865, 250007
866, 249946
867, 249926
868, 256067
869, 370585
870, 274520
871, 302030
872, 250337
873, 250382
874, 250213
875, 249948
876, 250012
877, 250270
878, 368984
879, 250642
880, 254801
881, 353400
882, 251511
883, 249863
884, 250051
885, 249999
886, 250001
887, 250253
888, 250198
889, 250162
890, 250112
891, 249928
892, 250144
893, 250208
894, 395439
895, 283682
896, 295518
897, 253230
898, 251893
899, 250277
900, 250049
901, 250150
902, 250456
903, 250031
904, 249950
905, 250004
906, 249963
907, 250076
908, 250076
909, 250103
910, 250109
911, 250047
912, 448478
913, 324633
914, 351296
915, 331483
916, 338255
917, 351637
918, 306427
919, 251831
920, 250124
921, 249928
922, 249898
923, 250129
924, 249938
925, 250168
926, 250035
927, 249962
928, 250108
929, 249906
930, 249932
931, 249944
932, 249879
933, 250009
934, 249984
935, 249973
936, 249964
937, 249987
938, 249943
939, 249862
940, 249914
941, 249930
942, 249977
943, 249991
944, 259292
945, 256202
946, 305305
947, 250573
948, 250355
949, 250231
950, 250150
951, 250279
952, 249886
953, 249789
954, 249861
955, 249920
956, 249965
957, 249960
958, 249936
959, 249922
960, 258001
961, 251223
962, 303982
963, 296857
964, 251243
965, 250003
966, 249946
