PAE,kmain(),after recv(),after send()
43267,44236,126146,237951
35766,36629,92488,208776
74214,76022,221356,503580
73400,75247,212279,433526
71512,73351,194128,483126
104501,107192,249004,589688
105373,108112,248919,566272
73593,75441,192772,456905
111840,126892,292254,626111
74888,76970,183920,378846
35720,36666,92418,283379
33414,34360,86241,214691
98425,100225,230458,452572
72637,73815,195478,358486
73420,75340,193704,482746
88585,90365,208034,446371
69619,71426,215937,450050
69587,71399,192143,457216
73605,75521,198278,419203
132302,135239,292851,559929
79898,83598,206827,475839
28136,28822,77034,185027
35578,36391,95266,274397
26031,26618,67475,211496
71830,73722,193502,417250
75497,77317,209055,425610
70321,72181,222461,457365
71600,73512,200425,428406
72024,73831,190161,481144
123972,127046,273881,557957
75178,77050,200396,439439
74488,76380,201078,419013
75207,77099,209664,453847
124992,127671,264327,511496
74162,76006,223777,463998
109024,111917,278416,553128
73565,75417,195870,459778
101471,104311,259199,603562
108959,112348,297898,591318
70567,72402,186368,487934
72456,74307,224003,647882
73625,75546,253745,577532
71176,73000,192465,456251
74687,76450,311313,537107
75239,77144,197783,472539
99429,102326,247580,551187
89993,91768,210233,434990
73202,75094,234489,478434
72843,74638,216834,490331
70422,72225,192025,438964
79576,81432,204197,426190
103125,106240,250900,566272
73730,75586,218532,433998
75755,77664,218802,589450
69829,71721,193889,413620
104678,107781,255120,532745
79338,81178,209599,476573
86192,88056,207909,430204
72850,74767,259933,510414
71596,73452,217523,478018
73754,75590,233794,451971
105643,107575,232624,452096
74360,76204,196613,429725
103432,106317,252208,581466
102848,105534,266256,573587
73517,75425,193442,445778
73311,75211,195923,412772
76554,78491,206484,474580
69498,71337,184690,502866
78224,80084,202486,436878
72830,74646,196576,415200
105445,108274,257303,584339
101411,104194,261781,581002
125589,128700,276733,571476
103783,106429,271097,550001
158632,161944,313911,610603
103734,106478,254664,587243
72738,74650,194555,433393
88518,89626,184398,319295
32013,32741,81841,315942
53703,54808,123035,353158
37065,38091,98506,236911
34715,35748,90959,215357
51576,52175,97118,250010
71156,73081,193175,433913
76986,78858,207477,436890
104804,108685,252232,603704
71269,73104,202761,422563
73867,75663,221497,541690
85341,87245,224087,459544
73613,75417,191029,524886
73113,74957,215893,463288
76425,78172,221134,437898
104711,107398,279662,577863
71556,73412,194975,456236
72314,74082,194797,497868
70414,72278,190622,464035
102508,105240,245942,604975
71326,73190,193776,432029
85025,87056,221471,489602
102318,105227,257900,543816
71886,73791,194087,474721
72504,74340,195766,456603
71693,73585,194954,485288
288695,292016,423334,726562
295457,298600,465668,767209
73786,75654,207582,426997
105942,109174,270775,682921
69256,71068,189762,407657
103835,106675,329823,618316
71007,72855,195047,446484
73092,74968,225535,445770
107664,111549,260393,601227
119388,121248,240265,457449
72402,74242,216458,441416
75537,77397,218491,435845
103085,105861,249129,561919
69793,71572,186772,461860
110476,113095,335600,631812
71313,73181,193804,474713
73920,75756,190416,411174
250227,252942,423468,700911
90393,93326,247120,555572
74420,76268,198759,427063
116120,119473,290506,543582
75227,76998,195112,439505
72419,74303,195099,455630
83687,85801,232346,483744
71520,73400,193660,417247
87323,89251,207732,450757
118387,121563,284491,639352
73287,75134,192393,410089
73815,75626,191145,487636
103307,106127,310506,591113
99612,102561,251030,519412
138011,140827,285496,562685
73326,75134,198900,459188
71253,73101,188334,417775
71636,73504,246866,575527
74723,76547,200986,458261
73194,75062,234097,488471
103957,108754,280348,566623
71314,73174,194701,435535
96178,98014,217051,458398
76054,77910,197157,423770
77167,78946,200522,424520
70475,72375,216999,447001
72318,74114,191638,438577
73161,75066,196657,416165
183428,186199,335273,639627
74529,76381,189948,461585
91502,93326,207631,439178
72201,74057,228134,460657
71548,73359,196592,463360
70111,71882,193913,432464
99050,101988,246600,545990
74194,76106,198363,415753
141667,145612,304204,632526
73907,75727,198081,429555
71269,73105,188398,458588
70902,72729,199638,471235
70954,72863,191319,499900
84567,86503,201987,437157
72189,74073,188520,467520
72222,74094,191356,414632
72540,74323,224079,454988
71068,72875,192046,484965
88037,89808,221804,440505
71854,73738,192134,446105
70854,72778,186958,476666
108524,110335,225181,458422
72003,73835,193122,414676
73125,74957,193175,447162
79245,81040,209046,458785
72689,74577,191505,419284
102787,105534,242134,560793
71583,73427,195309,411723
102303,104949,253818,531842
228275,230098,350415,578944
75933,77780,210983,472587
76030,77862,203903,476073
72117,73964,188128,450007
103614,106430,251312,570202
74908,76788,196491,430883
71096,72948,211371,446610
103586,106361,256271,529748
71813,73637,193610,419864
71249,73145,191243,477352
73896,75755,198262,431891
98945,101826,269802,542125
71346,73282,192441,464397
71846,73682,203939,435014
103311,106519,256238,568463
102520,105356,250827,549234
95392,97199,230575,463510
72693,74496,194970,429660
70999,72838,192973,450167
71112,72896,191227,517524
72052,73891,204064,462109
101092,103851,300532,603893
102508,105240,250275,527940
103992,106974,254345,533201
75134,77043,223668,453686
119860,122983,274764,576168
98155,100047,218439,445770
71087,72987,193727,431540
73569,75413,197726,612636
69470,71245,204181,481564
86375,88150,208640,429241
74178,76029,216615,435921
74428,76243,197201,412041
72883,74803,193655,455844
72815,74606,195076,453307
76925,78809,224510,440848
106340,108168,233027,451055
72649,74497,196153,413720
95876,97735,230252,465164
71035,72883,201055,427074
101455,104215,249351,552656
100055,101911,223591,546870
84797,86617,201676,447291
75102,77019,197480,435172
71660,73524,198157,472357
80722,82489,222566,465265
70741,72645,190972,410642
71817,73726,196927,436107
96614,99643,257138,585944
70389,72265,202966,454827
106155,108890,270988,575523
72822,74678,200231,431181
33032,33760,89025,271446
41402,42416,102905,242973
35385,36198,91053,204426
35131,35919,87777,194483
35127,35921,146265,279126
39054,39937,102264,411870
33380,34162,81545,245987
33497,34172,99634,242880
72766,74622,224846,469154
74755,76663,202233,468517
71536,73291,185708,405317
73774,75614,202135,427151
71915,73710,194652,422850
113942,116657,290967,569516
74097,75933,283200,560878
100955,104041,246523,546067
70967,72790,193276,434429
75049,76901,196056,411921
70825,72733,206718,438600
72504,74319,193538,464268
105175,107955,296280,593073
72971,74819,195765,431230
71467,73355,185969,444350
93560,96340,241032,503064
74344,76147,197936,456123
103848,106971,250626,529841
70761,72633,191258,479732
