# trial, latency (cycles)
0, 1685458
1, 1333518
2, 1373374
3, 1372816
4, 1525303
5, 1618368
6, 1678048
7, 1865331
8, 2193209
9, 3270888
10, 2662551
11, 3152268
12, 3296721
13, 2680862
14, 1479491
15, 1417580
16, 1406437
17, 1040998
18, 1541003
19, 1398515
20, 1363752
21, 1210802
22, 1203161
23, 1250884
24, 1030566
25, 1289260
26, 1300362
27, 1221672
28, 1310523
29, 1055168
30, 1276012
31, 1236920
32, 1100602
33, 1066628
34, 994363
35, 1185739
36, 1208967
37, 1180349
38, 1223554
39, 1219507
40, 943078
41, 795608
42, 704023
43, 723873
44, 761319
45, 787884
46, 727413
47, 717795
48, 698107
49, 707785
50, 788130
51, 841565
52, 800532
53, 907811
54, 929951
55, 874781
56, 911333
57, 759421
58, 743139
59, 704875
60, 712008
61, 725319
62, 719607
63, 706666
64, 726467
65, 863302
66, 774018
67, 792515
68, 866060
69, 804754
70, 916260
71, 732821
72, 779584
73, 758590
74, 769327
75, 773025
76, 720470
77, 838900
78, 716306
79, 857236
80, 1016686
81, 979536
82, 855537
83, 731875
84, 696271
85, 773271
86, 823611
87, 795102
88, 841718
89, 809408
90, 847931
91, 807488
92, 1021878
93, 782401
94, 756853
95, 810180
96, 786494
97, 786476
98, 763764
99, 803719
100, 802057
101, 849802
102, 895540
103, 859226
104, 1062901
105, 857808
106, 781693
107, 997100
108, 768738
109, 730187
110, 912696
111, 858044
112, 871214
113, 875791
114, 753181
115, 893103
116, 1089706
117, 1130095
118, 1157301
119, 1054451
120, 1168258
121, 1060926
122, 956864
123, 1176423
124, 1149224
125, 1114214
126, 990984
127, 999701
128, 1025095
129, 884266
130, 808722
131, 959150
132, 863127
133, 926218
134, 1097386
135, 1008011
136, 1100809
137, 1123592
138, 1057694
139, 869968
140, 809331
141, 786811
142, 780753
143, 765140
144, 991965
145, 792270
146, 905786
147, 774592
148, 712407
149, 791183
150, 820025
151, 859226
152, 978416
153, 1070470
154, 1085002
155, 1136030
156, 1156634
157, 926513
158, 978832
159, 868158
160, 732075
161, 752911
162, 717259
163, 888560
164, 763548
165, 914127
166, 924681
167, 887225
168, 877500
169, 993661
170, 829918
171, 1137482
172, 883935
173, 949304
174, 1205824
175, 1204519
176, 1014325
177, 1248771
178, 1000223
179, 1002563
180, 1204148
181, 1220832
182, 1207129
