# trial, latency (cycles)
0, 2286946
1, 2147922
2, 4369648
3, 4077139
4, 3596890
5, 4275555
6, 4985463
7, 3876423
8, 4069514
9, 5127078
10, 4062107
11, 4361825
12, 4084748
13, 3988179
14, 4275632
15, 3894970
16, 5082852
17, 4256129
18, 3612258
19, 4406511
20, 4426239
21, 3681570
22, 3475614
23, 4247491
24, 4164599
25, 4746614
26, 4821005
27, 4162336
28, 4016896
29, 4283991
30, 4722278
31, 3880313
32, 4286948
33, 3673989
34, 4908203
35, 3329558
36, 4457676
37, 4351710
38, 3820139
39, 4744314
40, 4486687
41, 4316965
42, 3658070
43, 3522640
44, 4576491
45, 4548371
46, 4166673
47, 4467846
48, 4160915
49, 4595889
50, 4437019
51, 4268951
52, 4097501
53, 5042325
54, 4043597
55, 4449647
56, 3923478
57, 3614013
58, 3889863
59, 3672183
60, 4038545
61, 3718183
62, 4527371
63, 4106362
64, 4305080
65, 4951089
66, 3432328
67, 3577743
68, 4722875
69, 3711171
70, 4120466
71, 3633028
72, 2960781
73, 1457233
74, 1084349
75, 4401645
76, 3817573
77, 3777179
78, 4117335
79, 3895217
80, 4028217
81, 4810819
82, 4327055
83, 4510338
84, 3862146
85, 3534929
86, 4106095
87, 4026220
88, 3845879
89, 4160721
90, 3449616
91, 3839928
92, 3866079
93, 3388018
94, 3978089
95, 3920319
96, 3887967
97, 4306702
98, 4226294
99, 3620775
