# trial, latency (cycles)
# trial, latency (cycles)
0, 8530668
1, 138262
2, 70042
3, 65326
4, 63934
5, 63216
6, 64818
7, 63636
8, 76812
9, 63850
10, 64366
11, 63430
12, 64116
13, 64213
14, 64145
15, 63725
16, 63636
17, 63446
18, 64762
19, 91316
20, 66004
21, 66641
22, 65222
23, 68736
24, 64370
25, 67388
26, 65003
27, 66040
28, 65645
29, 65632
30, 65847
31, 68017
32, 66105
33, 64402
34, 66795
35, 64200
36, 67763
37, 66190
38, 67932
39, 68401
40, 92502
41, 67719
42, 96392
43, 65588
44, 68849
45, 67319
46, 68800
47, 67372
48, 100200
49, 92821
50, 90590
51, 67650
52, 79911
53, 64789
54, 71705
55, 67949
56, 70208
57, 69373
58, 67133
59, 69566
60, 68094
61, 66513
62, 70858
63, 168726
64, 91308
65, 67090
66, 67783
67, 67227
68, 67384
69, 88173
70, 491662
71, 95835
72, 81529
73, 72245
74, 70918
75, 85181
76, 151725
77, 73751
78, 140948
79, 86346
80, 84619
81, 94060
82, 92603
83, 148662
84, 93463
85, 108471
86, 96448
87, 96718
88, 88089
89, 92692
90, 86786
91, 155416
92, 89505
93, 95040
94, 94729
95, 105252
96, 85334
97, 87972
98, 91490
99, 157038
100, 87367
101, 84946
102, 83784
103, 75013
104, 94903
105, 115019
106, 95012
107, 180116
108, 142377
109, 174467
110, 169190
111, 242109
112, 131254
113, 170674
114, 123165
115, 113155
116, 101843
117, 163259
118, 108524
119, 97288
120, 91655
121, 94140
122, 90077
123, 90400
124, 114886
125, 111924
126, 115685
127, 171231
128, 113397
129, 119327
130, 105877
131, 155202
132, 131754
133, 111372
134, 131459
135, 127502
136, 96855
137, 187551
138, 114042
139, 115927
140, 111949
141, 114007
142, 135817
143, 202926
144, 107055
145, 97974
146, 99894
147, 303224
148, 471607
149, 164651
150, 126997
151, 194341
152, 104239
153, 122495
154, 138253
155, 100697
156, 122923
157, 207251
158, 114935
159, 108027
160, 88250
161, 105090
162, 141994
163, 184461
164, 112655
165, 94758
166, 86318
167, 97001
168, 72972
169, 70329
170, 71193
171, 76627
172, 125122
173, 68050
174, 69780
175, 67828
176, 72778
177, 68033
178, 66302
179, 68070
180, 110779
181, 109609
182, 116729
183, 96504
184, 133787
185, 90337
186, 94419
187, 92273
188, 97174
189, 164700
190, 86309
191, 102899
192, 101956
193, 109104
194, 84232
195, 722439
196, 114635
197, 76716
198, 77309
199, 86871
200, 84006
201, 81356
202, 82444
203, 81012
204, 84394
205, 83780
206, 85035
207, 83676
208, 83389
209, 83808
210, 87678
211, 85030
212, 88432
213, 87706
214, 88158
215, 89525
216, 80447
217, 63422
218, 64831
219, 62930
220, 62865
221, 62704
222, 64120
223, 63277
224, 64185
225, 62849
226, 62995
227, 63131
228, 63490
229, 63002
230, 62583
231, 62656
232, 62228
233, 62781
234, 62639
235, 62966
236, 62184
237, 177586
238, 65592
239, 63741
240, 63809
241, 63192
242, 62788
243, 62139
244, 62393
245, 62975
246, 62841
247, 63180
248, 62426
249, 62898
250, 62559
251, 62260
252, 62938
253, 62889
254, 62640
255, 71584
256, 65782
257, 61825
258, 62304
259, 63326
260, 62623
261, 61933
262, 62639
263, 62309
264, 62353
265, 63079
266, 63458
267, 62632
268, 62970
269, 62946
270, 62526
271, 62656
272, 62999
273, 62563
274, 62575
275, 62692
276, 68102
277, 62595
278, 62781
279, 62325
280, 61732
281, 62442
282, 62450
283, 62462
284, 62450
285, 62619
286, 64446
287, 63664
288, 68094
289, 62885
290, 63297
291, 63264
292, 63229
293, 63079
294, 63818
295, 63870
296, 63539
297, 63116
298, 63152
299, 63987
300, 63115
301, 63693
302, 62760
303, 63208
304, 63132
305, 62834
306, 63390
307, 62978
308, 63216
309, 63019
310, 63378
311, 62869
312, 62890
313, 63047
314, 62938
315, 62643
316, 63055
317, 62566
318, 62623
319, 117532
320, 66380
321, 63232
322, 63261
323, 63454
324, 62506
325, 62321
326, 62429
327, 62930
328, 63301
329, 62990
330, 63087
331, 62765
332, 63208
333, 84270
334, 41447
335, 41551
336, 41561
337, 41478
338, 41531
339, 41547
340, 41640
341, 41307
342, 41430
343, 41242
344, 41323
345, 41362
346, 41603
347, 41376
348, 41462
349, 41371
350, 41364
351, 41676
352, 41381
353, 41549
354, 41466
355, 41368
356, 41742
357, 41583
358, 41836
359, 41799
360, 41339
361, 41825
362, 41388
363, 41921
364, 41602
365, 41228
366, 41920
367, 41491
368, 41872
369, 41343
370, 41392
371, 41587
372, 41628
373, 41625
374, 41477
375, 41614
376, 41438
377, 41521
378, 41229
379, 55140
380, 61383
381, 45723
382, 42388
383, 43730
384, 42606
385, 41589
386, 41309
387, 41577
388, 41951
389, 41969
390, 41210
391, 41610
392, 41582
393, 42051
394, 41488
395, 41783
396, 41569
397, 41416
398, 41743
399, 41444
400, 41557
401, 41576
402, 41638
403, 41345
404, 41648
405, 47540
406, 394629
407, 63604
408, 42064
409, 42120
410, 41866
411, 42148
412, 42378
413, 42079
414, 41747
415, 42120
416, 41909
417, 41967
418, 42039
419, 52210
420, 59026
421, 54695
422, 42794
423, 41955
424, 41849
425, 42554
426, 41974
