# trial, latency (cycles)
# trial, latency (cycles)
0, 9793297
1, 43869
2, 13689
3, 13352
4, 12562
5, 12648
6, 12686
7, 12555
8, 12618
9, 12600
10, 12517
11, 12737
12, 12625
13, 12783
14, 12668
15, 12699
16, 12584
17, 12727
18, 12652
19, 12775
20, 12628
21, 12711
22, 12573
23, 12670
24, 12692
25, 12608
26, 12747
27, 12620
28, 12628
29, 12648
30, 12612
31, 12864
32, 12539
33, 12618
34, 12579
35, 12453
36, 12549
37, 18841
38, 12737
39, 13168
40, 12604
41, 12792
42, 12628
43, 12694
44, 12846
45, 13052
46, 12808
47, 13051
48, 13223
49, 13433
50, 13098
51, 13118
52, 13007
53, 12927
54, 13170
55, 13214
56, 13183
57, 12767
58, 12994
59, 13917
60, 13441
61, 13290
62, 13001
63, 13144
64, 19751
65, 13572
66, 29868
67, 14861
68, 12704
69, 13845
70, 41669
71, 13540
72, 17295
73, 15233
74, 13028
75, 12731
76, 12632
77, 12616
78, 12519
79, 12622
80, 12686
81, 12562
82, 12564
83, 12727
84, 12781
85, 12702
86, 12926
87, 12622
88, 12515
89, 12668
90, 12695
91, 12610
92, 12586
93, 12556
94, 12648
95, 12541
96, 12531
97, 12652
98, 12834
99, 12836
100, 12827
101, 12854
102, 12547
103, 12584
104, 12551
105, 12691
106, 12743
107, 12773
108, 12592
109, 12678
110, 12596
111, 12745
112, 12680
113, 12636
114, 12745
115, 12708
116, 12644
117, 12838
118, 12731
119, 12683
120, 13033
121, 13037
122, 15692
123, 16698
124, 17669
125, 16275
126, 17098
127, 16077
128, 17540
129, 15662
130, 17784
131, 17013
132, 16663
133, 17112
134, 19349
135, 17841
136, 19916
137, 19832
138, 20378
139, 19852
140, 20450
141, 20344
142, 20251
143, 19450
144, 20586
145, 20452
146, 19780
147, 19884
148, 19947
149, 20108
150, 19781
151, 17742
152, 20309
153, 20217
154, 20330
155, 19928
156, 20084
157, 20305
158, 20610
159, 20158
160, 20116
161, 20049
162, 20400
163, 19995
164, 20275
165, 19664
166, 20549
167, 17863
168, 20506
169, 21460
170, 18970
171, 20438
172, 21465
173, 20421
174, 19882
175, 20568
176, 21204
177, 23537
178, 22186
179, 20894
180, 21219
181, 20413
182, 22890
183, 22904
184, 19441
185, 20509
186, 19202
187, 20368
188, 20325
189, 19114
190, 20196
191, 18740
192, 21335
193, 18843
194, 19884
195, 18733
196, 20408
197, 18900
198, 20346
199, 19759
200, 19829
201, 19796
202, 19994
203, 19910
204, 19853
205, 19454
206, 20241
207, 19539
208, 19875
209, 21167
210, 19509
