# trial, latency (cycles)
0, 186256
1, 24055
2, 11411
3, 10268
4, 10407
5, 10526
6, 10358
7, 10365
8, 10100
9, 10012
10, 9822
11, 9925
12, 9848
13, 9915
14, 9912
15, 10003
16, 9935
17, 10094
18, 10010
19, 10000
20, 10018
21, 10036
22, 10064
23, 10042
24, 9987
25, 9965
26, 10096
27, 10140
28, 10048
29, 10000
30, 10120
31, 10026
32, 9880
33, 10042
34, 13639
35, 13057
36, 14411
37, 13223
38, 14209
39, 11616
40, 16069
41, 15208
42, 13619
43, 11347
44, 10137
45, 10263
46, 10280
47, 10009
48, 10266
49, 10405
50, 10540
51, 10683
52, 10409
53, 10270
54, 11827
55, 10710
56, 10841
57, 11258
58, 14214
59, 10655
60, 10478
61, 10092
62, 10154
63, 10862
64, 10724
65, 10318
66, 10256
67, 11307
68, 11091
69, 14892
70, 10201
71, 10240
72, 10068
73, 10143
74, 10671
75, 12337
76, 9961
77, 9911
78, 9975
79, 9901
80, 9926
81, 9953
82, 9993
83, 10023
84, 10205
85, 10038
86, 9991
87, 10007
88, 9995
89, 9993
90, 9947
91, 9953
92, 9987
93, 10008
94, 10080
95, 9939
96, 9980
97, 10002
98, 10060
99, 9921
100, 10018
101, 10114
102, 9961
103, 9977
104, 10026
105, 9973
106, 10148
107, 10034
108, 9918
109, 10080
110, 9975
111, 10031
112, 10005
113, 10082
114, 10060
115, 10001
116, 9953
117, 10053
118, 10107
119, 10095
120, 10076
121, 9997
122, 10109
123, 9931
124, 9951
125, 9939
126, 10114
127, 10074
128, 10034
129, 10102
130, 10050
131, 10121
132, 10024
133, 9913
134, 10002
135, 9884
136, 9949
137, 9993
138, 10042
139, 10007
140, 10020
141, 10103
142, 10019
143, 10068
144, 10020
145, 9962
146, 10052
147, 10082
148, 10036
149, 10027
150, 10008
151, 10058
152, 10006
153, 9983
154, 10016
155, 10104
156, 10128
157, 10078
158, 10088
159, 10122
160, 10101
161, 9990
162, 10060
163, 9976
164, 10101
165, 10129
166, 10091
167, 10020
168, 9993
169, 9927
170, 9989
171, 9988
172, 9979
173, 10086
174, 10109
175, 10011
176, 10142
177, 10086
178, 9964
179, 9993
180, 10031
181, 10100
182, 10026
183, 10048
184, 10028
185, 9923
186, 9947
187, 12935
188, 9965
189, 10098
190, 10010
191, 10076
192, 10169
193, 10183
194, 10041
195, 10014
196, 9995
197, 10054
198, 10089
199, 10086
200, 10019
201, 9961
202, 10070
203, 10115
204, 10068
205, 10007
206, 10010
207, 10072
208, 10082
209, 10034
210, 10066
211, 9995
212, 10028
213, 10058
214, 10054
215, 10062
216, 10028
217, 10094
218, 10468
219, 10070
220, 10048
221, 10006
222, 9984
223, 10079
224, 10106
225, 10022
226, 10116
227, 9987
228, 9961
229, 9990
230, 10026
231, 10077
232, 10018
233, 10052
234, 10066
235, 10193
236, 9967
237, 10056
238, 9975
239, 10088
240, 10056
241, 9997
242, 10060
243, 10097
244, 10016
245, 10040
246, 10022
247, 9899
248, 10012
249, 10048
250, 10246
251, 10038
252, 10007
253, 10026
254, 9969
255, 10088
256, 10015
257, 10005
258, 10005
259, 10084
260, 10037
261, 10193
262, 10072
263, 10044
264, 9983
265, 10052
266, 10029
267, 10068
268, 9955
269, 9976
270, 10038
271, 10018
272, 10085
273, 9997
274, 9871
275, 10104
276, 10015
277, 10155
278, 10070
279, 10044
280, 10078
281, 10174
282, 10220
283, 10109
284, 10143
285, 10129
286, 10171
287, 10145
288, 10127
289, 10112
290, 10068
291, 10132
292, 10142
293, 10161
294, 10147
295, 10032
296, 10165
297, 10098
298, 10354
299, 10116
300, 10203
301, 10043
302, 10068
303, 10152
304, 10082
305, 9959
306, 10114
307, 10036
308, 10076
309, 10223
310, 10005
311, 10088
312, 10050
313, 10143
314, 10093
315, 10147
316, 10060
317, 10168
318, 10133
319, 10062
320, 10092
321, 10105
322, 10119
323, 10125
324, 10097
325, 10090
326, 10042
327, 10141
328, 10056
329, 10135
330, 10004
331, 10120
332, 10149
333, 9973
334, 10066
335, 9988
336, 9925
337, 10153
338, 10179
339, 10032
340, 10020
341, 10050
342, 9937
343, 9969
344, 10146
345, 10004
346, 9961
347, 9971
348, 10060
349, 10191
350, 10013
351, 10014
352, 9977
353, 9941
354, 10040
355, 10117
356, 10094
357, 10076
358, 10014
359, 10042
360, 10018
361, 10009
362, 9921
363, 10080
364, 10068
365, 10044
366, 10173
367, 10046
368, 9985
369, 10080
370, 10050
371, 10002
372, 10046
373, 10001
374, 10240
375, 9989
376, 10034
377, 10018
378, 9991
379, 10050
380, 10056
381, 9979
382, 10072
383, 9991
384, 9987
385, 10163
386, 10036
387, 9987
388, 27905
389, 10197
390, 10183
391, 10215
392, 10203
393, 9981
394, 10100
395, 10113
396, 10022
397, 10011
398, 10088
399, 10107
400, 10011
401, 10100
402, 10121
403, 10007
404, 10080
405, 10060
406, 10098
407, 10126
408, 11879
409, 15609
410, 11099
411, 10586
412, 10732
413, 10829
414, 11280
415, 11627
416, 10561
417, 11462
418, 10415
419, 10504
420, 10619
421, 10844
422, 10867
423, 10290
424, 10345
425, 10306
426, 10270
427, 10275
428, 10244
429, 10274
430, 10197
431, 10300
432, 10310
433, 10399
434, 10195
435, 10274
436, 10343
437, 10435
438, 10467
439, 10338
440, 10405
441, 10347
442, 10213
443, 10315
444, 10197
445, 10155
446, 12681
447, 19721
448, 12396
449, 10001
450, 9945
451, 9995
452, 9989
453, 9945
454, 9959
455, 10110
456, 9969
457, 10022
458, 10020
459, 11056
460, 10960
461, 10276
462, 10183
463, 10150
464, 10146
465, 10096
466, 10489
467, 9864
468, 9739
469, 9794
470, 11803
471, 10106
472, 9785
473, 9844
474, 9794
475, 10161
476, 10004
477, 9870
478, 10060
479, 10034
480, 10048
481, 10102
482, 10072
483, 10016
