# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 38, 4063, 5813, 216, 115504, 6636, 317
1, 35, 3064, 2421, 218, 136202, 7643, 305
2, 37, 3873, 2979, 224, 84686, 7246, 308
3, 38, 3351, 2350, 220, 78969, 7199, 311
4, 36, 3304, 2280, 224, 216393, 6651, 317
5, 38, 3004, 2259, 222, 89584, 7899, 343
6, 36, 3018, 2209, 216, 147997, 6649, 318
7, 38, 2941, 2197, 222, 71517, 6574, 301
8, 38, 2980, 2211, 223, 157942, 9310, 305
9, 37, 2959, 2170, 222, 71005, 6707, 313
10, 36, 2969, 2175, 216, 69835, 6612, 315
11, 37, 3092, 2197, 218, 69847, 6632, 317
12, 36, 2976, 2174, 218, 69803, 6562, 301
13, 36, 2992, 2199, 217, 158162, 6691, 301
14, 36, 2986, 2219, 220, 69453, 6554, 301
15, 39, 3058, 2186, 220, 130098, 6611, 298
16, 36, 3012, 2229, 218, 70220, 6669, 303
17, 38, 2971, 2171, 222, 122455, 6648, 313
18, 38, 2967, 2175, 218, 116641, 8555, 303
19, 38, 2925, 2267, 220, 71431, 6582, 321
20, 37, 3114, 2252, 221, 73297, 8020, 315
21, 38, 2947, 2276, 220, 70704, 6623, 310
22, 36, 2964, 2196, 218, 189387, 6618, 313
23, 38, 3068, 2203, 224, 69910, 6630, 299
24, 35, 2983, 2185, 226, 116637, 6773, 315
25, 36, 2956, 2170, 222, 69783, 6614, 315
26, 38, 3552, 2925, 230, 267436, 7877, 331
27, 40, 3599, 2759, 218, 94582, 8705, 335
28, 38, 4507, 3238, 246, 101721, 9074, 365
29, 38, 5180, 3185, 251, 105759, 8650, 327
30, 36, 4303, 3108, 240, 104114, 8557, 335
31, 40, 4434, 3036, 252, 172837, 9675, 325
32, 40, 4243, 3193, 232, 102635, 9144, 333
33, 36, 4343, 3343, 226, 232888, 9653, 332
34, 39, 4387, 3240, 262, 135581, 9632, 327
35, 38, 4365, 3048, 228, 168497, 8841, 341
36, 40, 4414, 3001, 246, 99212, 9447, 345
37, 36, 4123, 2683, 226, 101272, 9061, 325
38, 37, 4543, 3249, 254, 104647, 9433, 349
39, 38, 4614, 3140, 234, 102577, 9415, 340
40, 41, 4520, 3080, 245, 178999, 9314, 359
41, 37, 4437, 3000, 232, 103612, 9093, 339
42, 38, 4382, 3124, 246, 167310, 9548, 335
43, 38, 4311, 3067, 246, 90890, 7414, 329
44, 35, 3633, 2574, 236, 174320, 6640, 311
45, 36, 3024, 2342, 220, 70924, 6643, 296
46, 36, 2974, 2138, 218, 93301, 8640, 305
47, 42, 3962, 2897, 238, 101896, 66089, 343
48, 38, 3948, 2939, 230, 96525, 8371, 325
49, 38, 3812, 2986, 222, 202039, 7958, 357
50, 38, 4158, 2749, 230, 90034, 6725, 299
51, 36, 2968, 2204, 212, 124706, 6679, 299
52, 38, 2988, 2181, 211, 70176, 6639, 298
53, 39, 3001, 2207, 218, 132035, 6630, 317
54, 36, 2927, 2185, 223, 70156, 6566, 313
55, 38, 2951, 2189, 220, 70071, 6586, 313
56, 35, 3215, 2256, 217, 70519, 6665, 315
57, 36, 2970, 2170, 216, 69631, 6659, 317
58, 35, 2979, 2187, 224, 116917, 6669, 303
59, 35, 3040, 2172, 220, 71400, 6570, 315
60, 38, 3016, 2201, 218, 192249, 6659, 315
61, 38, 2995, 2199, 222, 69942, 6621, 316
62, 38, 2996, 2170, 216, 123183, 6861, 318
63, 34, 2964, 2176, 216, 70422, 6566, 315
64, 36, 3008, 2239, 224, 69706, 6681, 317
65, 34, 3203, 2353, 219, 69740, 6577, 298
66, 34, 3044, 2203, 218, 69919, 6623, 296
67, 38, 2953, 2199, 218, 121936, 6619, 312
68, 36, 2949, 2197, 216, 70224, 6613, 314
69, 36, 3006, 2195, 219, 161118, 6588, 317
70, 36, 2953, 2207, 216, 70474, 6675, 339
71, 34, 2964, 2217, 217, 129378, 6687, 297
72, 37, 3066, 2197, 218, 70064, 6829, 310
73, 35, 3064, 2201, 222, 69443, 6597, 302
74, 36, 3095, 2354, 220, 70121, 6679, 315
75, 33, 2981, 2181, 218, 68846, 6939, 333
76, 38, 3002, 2203, 220, 123995, 6633, 295
77, 34, 3016, 2199, 218, 69554, 6619, 315
78, 35, 2989, 2187, 218, 203067, 6760, 299
79, 36, 2965, 2207, 218, 70061, 6925, 313
80, 37, 2989, 2221, 218, 117849, 6651, 297
81, 39, 3020, 2196, 218, 70372, 6636, 317
