# trial, bytes, microseconds
0, 32, 4396.616211
1, 32, 5116.922852
2, 32, 5172.724121
3, 32, 2754.202881
4, 32, 5211.540039
5, 32, 6600.161133
6, 32, 5913.771973
7, 32, 3252.173096
8, 32, 15862.708984
9, 32, 1960.807983
0, 64, 15682.738281
1, 64, 2251.894043
2, 64, 13352.434570
3, 64, 1966.072998
4, 64, 1761.567017
5, 64, 8947.778320
6, 64, 1934.310059
7, 64, 1688.926025
8, 64, 2023.000977
9, 64, 1955.187012
0, 128, 1787.265991
1, 128, 1989.395996
2, 128, 4410.309082
3, 128, 1852.802002
4, 128, 12206.075195
5, 128, 2069.156006
6, 128, 5136.921875
7, 128, 1788.255981
8, 128, 2324.111084
9, 128, 1723.796021
0, 256, 1868.015015
1, 256, 2983.104004
2, 256, 1832.152954
3, 256, 1879.446045
4, 256, 3621.260010
5, 256, 1924.321045
6, 256, 3585.211914
7, 256, 5193.834961
8, 256, 1887.729980
9, 256, 5398.767090
0, 512, 4864.997070
1, 512, 2310.083984
2, 512, 1653.681030
3, 512, 5649.479004
4, 512, 8615.924805
5, 512, 3573.487061
6, 512, 1779.593994
7, 512, 4368.883789
8, 512, 1821.392944
9, 512, 1787.443970
0, 1024, 1653.901978
1, 1024, 4061.297119
2, 1024, 1803.913940
3, 1024, 1971.176025
4, 1024, 2741.785889
5, 1024, 2589.446045
6, 1024, 8447.416016
7, 1024, 8691.408203
8, 1024, 1953.396973
9, 1024, 1939.839966
0, 2048, 1687.578979
1, 2048, 3436.020996
2, 2048, 1877.063965
3, 2048, 1730.472046
4, 2048, 3770.004883
5, 2048, 2161.016113
6, 2048, 3302.437012
7, 2048, 3857.627930
8, 2048, 3841.733887
9, 2048, 7438.568848
0, 4096, 4798.088867
1, 4096, 1657.822998
2, 4096, 6464.367188
3, 4096, 1721.952026
4, 4096, 6800.337891
5, 4096, 8336.888672
6, 4096, 1880.577026
7, 4096, 1732.402954
8, 4096, 2423.354980
9, 4096, 3302.788086
0, 8192, 1977.930054
1, 8192, 6116.684082
2, 8192, 1852.656982
3, 8192, 3368.947021
4, 8192, 4574.652832
5, 8192, 1942.837036
6, 8192, 5244.366211
7, 8192, 2107.250000
8, 8192, 6613.095215
9, 8192, 1966.682007
0, 16384, 1913.860962
1, 16384, 6637.467773
2, 16384, 8675.021484
3, 16384, 1890.347046
4, 16384, 1986.079956
5, 16384, 1741.849976
6, 16384, 1889.613037
7, 16384, 3640.633057
8, 16384, 2214.705078
9, 16384, 1737.107056
0, 32768, 1911.837036
1, 32768, 5849.187988
2, 32768, 1886.349976
3, 32768, 2067.393066
4, 32768, 1803.157959
5, 32768, 1872.004028
6, 32768, 3311.136963
7, 32768, 1786.270020
8, 32768, 12652.425781
9, 32768, 2023.420044
0, 65536, 3399.450928
1, 65536, 1960.415039
2, 65536, 1711.313965
3, 65536, 1679.010986
4, 65536, 6107.580078
5, 65536, 3450.916992
6, 65536, 1913.477051
7, 65536, 11403.434570
8, 65536, 2833.475098
9, 65536, 1706.604004
0, 131072, 3308.543945
1, 131072, 2974.379883
2, 131072, 2211.920898
3, 131072, 1799.050049
4, 131072, 1826.837036
5, 131072, 2100.038086
6, 131072, 1801.015991
7, 131072, 3370.437988
8, 131072, 1829.735962
9, 131072, 1917.458008
0, 262144, 8407.632812
1, 262144, 6170.961914
2, 262144, 1942.107056
3, 262144, 2212.801025
4, 262144, 2201.167969
5, 262144, 1743.098999
6, 262144, 1675.312012
7, 262144, 10900.146484
8, 262144, 2157.331055
9, 262144, 3423.569092
0, 524288, 2046.677002
1, 524288, 1778.068970
2, 524288, 9751.664062
3, 524288, 2445.929932
4, 524288, 1996.562012
5, 524288, 1946.791992
6, 524288, 1812.796997
7, 524288, 2731.241943
8, 524288, 2161.394043
9, 524288, 6192.219238
0, 1048576, 2392.375977
1, 1048576, 9627.151367
2, 1048576, 2170.249023
3, 1048576, 3383.281982
4, 1048576, 3623.867920
5, 1048576, 2256.082031
6, 1048576, 8984.681641
7, 1048576, 2502.599121
8, 1048576, 2330.722900
9, 1048576, 7880.225098
0, 2097152, 3966.707031
1, 2097152, 4053.922119
2, 2097152, 5145.632812
3, 2097152, 4414.480957
4, 2097152, 5083.616211
5, 2097152, 4033.253906
6, 2097152, 5200.047852
7, 2097152, 3767.541016
8, 2097152, 3388.415039
9, 2097152, 3569.986084
0, 4194304, 6230.437012
1, 4194304, 6452.558105
2, 4194304, 5363.319824
3, 4194304, 5631.933105
4, 4194304, 10058.428711
5, 4194304, 5733.255859
6, 4194304, 6574.809082
7, 4194304, 6540.586914
8, 4194304, 9943.008789
9, 4194304, 15144.635742
0, 8388608, 10773.691406
1, 8388608, 12755.797852
2, 8388608, 9752.078125
3, 8388608, 13229.428711
4, 8388608, 8879.831055
5, 8388608, 11747.714844
6, 8388608, 8758.400391
7, 8388608, 19747.421875
8, 8388608, 8910.188477
9, 8388608, 8831.438477
0, 16777216, 19526.195312
1, 16777216, 20407.474609
2, 16777216, 18724.296875
3, 16777216, 26784.724609
4, 16777216, 22638.003906
5, 16777216, 17454.988281
6, 16777216, 17125.292969
7, 16777216, 20033.568359
8, 16777216, 24155.191406
9, 16777216, 19645.376953
