# trial, microseconds
0, 196
1, 421
2, 134
3, 121
4, 222
5, 203
6, 135
7, 138
8, 147
9, 249
10, 209
11, 186
12, 195
13, 252
14, 291
15, 198
16, 196
17, 197
18, 208
19, 238
20, 209
21, 200
22, 168
23, 149
24, 152
25, 180
26, 269
27, 167
28, 182
29, 144
30, 219
31, 168
32, 144
33, 195
34, 209
35, 120
36, 93
37, 93
38, 95
39, 93
40, 99
41, 93
42, 98
43, 117
44, 258
45, 169
46, 100
47, 94
48, 93
49, 221
50, 125
51, 103
52, 89
53, 102
54, 101
55, 96
56, 95
57, 93
58, 91
59, 127
60, 100
61, 94
62, 134
63, 100
64, 146
65, 107
66, 112
67, 95
68, 100
69, 94
70, 105
71, 97
72, 113
73, 99
74, 95
75, 115
76, 98
77, 94
78, 95
79, 105
80, 108
81, 129
82, 99
83, 126
84, 110
85, 100
86, 94
87, 91
88, 119
89, 95
90, 128
91, 99
92, 114
93, 101
94, 112
95, 102
96, 104
97, 100
98, 98
99, 112
100, 100
101, 122
102, 102
103, 97
104, 93
105, 93
106, 92
107, 115
108, 94
109, 97
110, 109
111, 119
112, 112
113, 98
114, 96
115, 120
116, 100
117, 128
118, 101
119, 93
120, 123
121, 107
122, 102
123, 98
124, 95
125, 94
126, 121
127, 99
128, 98
129, 98
130, 105
131, 96
132, 95
133, 98
134, 118
135, 97
136, 117
137, 99
138, 100
139, 94
140, 98
141, 95
142, 103
143, 94
144, 96
145, 94
146, 103
147, 93
148, 95
149, 97
150, 111
151, 96
152, 113
153, 97
154, 93
155, 95
156, 111
157, 102
158, 118
159, 96
160, 128
161, 130
162, 112
163, 100
164, 97
165, 92
166, 93
167, 114
168, 100
169, 125
170, 85
171, 113
172, 93
173, 93
174, 93
175, 124
176, 99
177, 94
178, 121
179, 106
180, 118
181, 116
182, 99
183, 93
184, 93
185, 92
186, 92
187, 92
188, 91
189, 91
190, 91
191, 92
192, 92
193, 92
194, 91
195, 115
196, 102
197, 127
198, 98
199, 94
200, 120
201, 100
202, 107
203, 98
204, 97
205, 110
206, 97
207, 92
208, 122
209, 98
210, 102
211, 112
212, 99
213, 126
214, 99
215, 112
216, 99
217, 106
218, 98
219, 97
220, 130
221, 147
222, 107
223, 120
224, 95
225, 93
226, 107
227, 153
228, 97
229, 92
230, 109
231, 124
232, 95
233, 145
234, 102
235, 106
236, 105
237, 109
238, 150
239, 127
240, 97
241, 161
242, 131
243, 164
244, 113
245, 98
246, 94
247, 92
248, 172
249, 109
250, 92
251, 92
252, 94
253, 106
254, 98
255, 134
256, 106
257, 91
258, 92
259, 104
260, 104
261, 93
262, 92
263, 91
264, 128
265, 123
266, 174
267, 130
268, 94
269, 92
270, 102
271, 131
272, 92
273, 122
274, 206
275, 96
276, 247
277, 98
278, 92
279, 105
280, 231
281, 187
282, 154
283, 129
284, 94
285, 143
286, 102
287, 91
288, 103
289, 126
290, 102
291, 91
292, 91
293, 91
294, 150
295, 105
296, 93
297, 133
298, 100
299, 91
300, 107
301, 95
302, 90
303, 91
304, 90
305, 91
306, 90
307, 146
308, 113
309, 96
310, 93
311, 109
312, 96
313, 92
314, 92
315, 93
316, 91
317, 135
318, 100
319, 94
320, 92
321, 92
322, 93
323, 92
324, 92
325, 92
326, 209
327, 105
328, 95
329, 94
330, 182
331, 142
332, 210
333, 106
334, 94
335, 103
336, 229
337, 103
338, 175
339, 117
340, 215
341, 123
342, 116
343, 102
344, 138
345, 96
346, 92
347, 119
348, 135
349, 153
350, 102
351, 169
352, 102
353, 141
354, 101
355, 170
356, 134
357, 135
358, 132
359, 133
360, 102
361, 108
362, 92
363, 91
364, 90
365, 91
366, 91
367, 161
368, 95
369, 94
370, 92
371, 91
372, 91
373, 91
374, 113
375, 93
376, 91
377, 91
378, 129
379, 92
380, 92
381, 91
382, 92
383, 92
384, 91
385, 91
386, 91
387, 91
388, 90
389, 91
390, 91
391, 92
392, 92
393, 95
394, 91
395, 91
396, 93
397, 91
398, 92
399, 91
400, 167
401, 94
402, 91
403, 92
404, 91
405, 91
406, 92
407, 91
408, 113
409, 95
410, 91
411, 91
412, 91
413, 90
414, 90
415, 92
416, 90
417, 91
418, 93
419, 90
420, 92
421, 202
422, 95
423, 90
424, 91
425, 91
426, 96
427, 91
428, 91
429, 93
430, 92
431, 91
432, 91
433, 91
434, 90
435, 92
436, 91
437, 91
438, 91
439, 106
440, 91
441, 91
442, 92
443, 95
444, 92
445, 91
446, 90
447, 92
448, 92
449, 92
450, 93
451, 91
452, 102
453, 102
454, 91
455, 91
456, 91
457, 91
458, 91
459, 95
460, 91
461, 93
462, 92
463, 92
464, 114
465, 93
466, 91
467, 91
468, 92
469, 291
470, 93
471, 91
472, 91
473, 90
474, 91
475, 90
476, 116
477, 93
478, 116
479, 96
480, 92
481, 105
482, 94
483, 91
484, 195
485, 114
486, 96
487, 93
488, 93
489, 102
490, 209
491, 100
492, 94
493, 93
494, 92
495, 91
496, 92
497, 92
498, 93
499, 92
500, 96
501, 92
502, 92
503, 163
504, 94
505, 92
506, 91
507, 91
508, 92
509, 91
510, 91
511, 92
512, 92
513, 92
514, 92
515, 91
516, 91
517, 91
518, 91
519, 91
520, 91
521, 91
522, 92
523, 91
524, 90
525, 113
526, 95
527, 92
528, 92
529, 91
530, 91
531, 91
532, 91
533, 92
534, 90
535, 90
536, 92
537, 90
538, 91
539, 93
540, 100
541, 91
542, 92
543, 90
544, 91
545, 90
546, 91
547, 94
548, 92
549, 91
550, 91
551, 112
552, 95
553, 92
554, 93
555, 101
556, 92
557, 98
558, 99
559, 91
560, 93
561, 93
562, 92
563, 91
564, 91
565, 91
566, 91
567, 93
568, 113
569, 93
570, 91
571, 93
572, 93
573, 95
574, 94
575, 95
576, 93
577, 113
578, 105
579, 92
580, 93
581, 94
582, 92
583, 106
584, 93
585, 92
586, 93
587, 92
588, 92
589, 116
590, 109
591, 112
592, 104
593, 95
594, 103
595, 95
596, 96
597, 98
598, 93
599, 94
600, 94
601, 92
602, 113
603, 94
604, 92
605, 92
606, 92
607, 97
608, 93
609, 92
610, 171
611, 96
612, 91
613, 91
614, 92
615, 91
616, 92
617, 91
618, 92
619, 92
620, 92
621, 106
622, 92
623, 91
624, 92
625, 92
626, 91
627, 91
628, 97
629, 92
630, 104
631, 114
632, 93
633, 91
634, 92
635, 92
636, 92
637, 91
638, 92
639, 92
640, 91
641, 92
642, 91
643, 92
644, 92
645, 92
646, 92
647, 92
648, 92
649, 90
650, 110
651, 96
652, 93
653, 117
654, 94
655, 92
656, 92
657, 92
658, 92
659, 91
660, 93
661, 109
662, 95
663, 92
664, 91
665, 91
666, 91
667, 92
668, 91
669, 136
670, 95
671, 92
672, 99
673, 92
674, 116
675, 212
676, 107
677, 114
678, 94
679, 92
680, 92
681, 92
682, 140
683, 94
684, 93
685, 92
686, 91
687, 91
688, 91
689, 99
690, 91
691, 99
692, 90
693, 92
694, 99
695, 92
696, 91
697, 90
698, 91
699, 91
700, 91
701, 90
702, 90
703, 111
704, 93
705, 90
706, 90
707, 91
708, 90
709, 91
710, 91
711, 90
712, 90
713, 90
714, 91
715, 91
716, 139
717, 213
718, 104
719, 196
720, 179
721, 117
722, 97
723, 102
724, 92
725, 125
726, 104
727, 213
728, 120
729, 217
730, 121
731, 98
732, 144
733, 126
734, 240
735, 123
736, 116
737, 98
738, 92
739, 93
740, 103
741, 136
742, 107
743, 134
744, 97
745, 94
746, 91
747, 215
748, 134
749, 211
750, 102
751, 114
752, 213
753, 101
754, 97
755, 93
756, 103
757, 211
758, 103
759, 106
760, 209
761, 100
762, 123
763, 200
764, 100
765, 94
766, 97
767, 94
768, 93
769, 193
770, 121
771, 97
772, 101
773, 149
774, 99
775, 131
776, 103
777, 95
778, 156
779, 112
780, 99
781, 140
782, 119
783, 105
784, 139
785, 96
786, 119
787, 107
788, 131
789, 164
790, 176
791, 119
792, 111
793, 208
794, 146
795, 103
796, 96
797, 94
798, 115
799, 207
800, 122
801, 133
802, 226
803, 99
804, 168
805, 118
806, 141
807, 122
808, 165
809, 148
810, 178
811, 107
812, 137
813, 102
814, 138
815, 119
816, 99
817, 98
818, 136
819, 95
820, 172
821, 118
822, 103
823, 166
824, 96
825, 94
826, 99
827, 121
828, 107
829, 105
830, 163
831, 94
832, 95
833, 199
834, 109
835, 99
836, 120
837, 137
838, 101
839, 93
840, 117
841, 94
842, 91
843, 204
844, 133
845, 185
846, 210
847, 125
848, 95
849, 92
850, 90
851, 99
852, 91
853, 90
854, 91
855, 92
856, 91
857, 90
858, 98
859, 91
860, 97
861, 90
862, 119
863, 94
864, 97
865, 90
866, 90
867, 91
868, 92
869, 91
870, 90
871, 90
872, 90
873, 91
874, 91
875, 91
876, 92
877, 91
878, 91
879, 91
880, 91
881, 91
882, 91
883, 91
884, 95
885, 92
886, 92
887, 91
888, 106
889, 96
890, 93
891, 92
892, 92
893, 92
894, 91
895, 91
896, 92
897, 91
898, 92
899, 92
900, 91
901, 91
902, 91
903, 90
904, 90
905, 91
906, 101
907, 91
908, 91
909, 91
910, 91
911, 91
912, 91
913, 91
914, 91
915, 97
916, 92
917, 92
918, 91
919, 91
920, 90
921, 91
922, 91
923, 91
924, 104
925, 91
926, 91
927, 117
928, 96
929, 92
930, 91
931, 91
932, 91
933, 90
934, 91
935, 91
936, 91
937, 91
938, 92
939, 90
940, 90
941, 97
942, 93
943, 91
944, 96
945, 91
946, 91
947, 91
948, 92
949, 99
950, 92
951, 91
952, 91
953, 92
954, 91
955, 91
956, 91
957, 92
958, 92
959, 110
960, 98
961, 93
962, 101
963, 91
964, 94
965, 99
966, 110
967, 95
968, 92
969, 93
970, 115
971, 92
972, 91
973, 90
974, 92
975, 91
976, 91
977, 91
978, 94
979, 91
980, 91
981, 90
982, 91
983, 91
984, 91
985, 91
986, 91
987, 91
988, 92
989, 91
990, 92
991, 91
992, 132
993, 94
994, 92
995, 92
996, 98
997, 91
998, 91
999, 102
