# trial, us for 1000 calls
0, 191092
1, 201174
2, 215007
3, 209758
4, 172311
5, 155136
6, 174831
7, 161036
8, 163266
9, 170176
10, 152880
11, 160888
12, 164029
13, 154250
14, 170727
15, 154370
16, 172749
17, 165316
18, 199729
19, 241668
20, 191105
21, 173199
22, 158536
23, 215803
24, 238322
25, 157053
26, 165827
27, 159624
28, 160107
29, 154550
30, 156717
31, 187738
32, 169122
33, 159392
34, 165936
35, 160143
36, 166218
37, 174427
38, 239075
39, 158468
40, 157656
41, 223166
42, 232044
43, 155871
44, 156032
45, 193300
46, 161142
47, 151664
48, 155781
49, 154667
50, 179735
51, 158899
52, 160781
53, 194034
54, 161995
55, 210710
56, 192286
57, 213745
58, 162258
59, 166904
60, 205489
61, 158577
62, 176192
63, 162006
64, 183977
65, 160877
66, 181933
67, 152228
68, 161746
69, 155437
70, 183724
71, 157476
72, 278748
73, 281979
74, 215402
75, 146933
76, 162592
77, 160593
78, 209081
79, 193584
80, 236455
81, 145334
82, 152668
83, 193079
84, 292393
85, 279978
86, 225051
87, 230655
88, 308906
89, 246895
90, 197454
91, 149382
92, 153306
93, 227803
94, 191124
95, 199086
96, 219807
97, 193772
98, 190175
99, 145470
