# trial, microseconds
0, 11446
1, 1112
2, 1067
3, 1075
4, 1123
5, 1115
6, 1123
7, 1142
8, 1111
9, 1123
10, 1161
11, 1111
12, 1132
13, 1130
14, 1113
15, 1156
16, 1125
17, 1133
18, 1151
19, 1113
20, 1126
21, 1128
22, 1195
23, 1124
24, 1145
25, 1110
26, 1124
27, 1115
28, 1110
29, 1133
30, 1127
31, 1111
32, 1154
33, 1118
34, 1113
35, 1132
36, 1110
37, 1122
38, 1131
39, 1111
40, 1217
41, 1111
42, 1109
43, 1138
44, 1110
45, 1106
46, 1172
47, 1210
48, 1089
49, 1146
50, 1084
51, 1075
52, 1108
53, 1088
54, 1067
55, 1097
56, 1066
57, 1095
58, 1073
59, 1072
60, 1090
61, 1066
62, 1095
63, 1106
64, 1121
65, 1066
66, 1108
67, 1078
68, 1079
69, 1101
70, 1073
71, 1074
72, 1086
73, 1074
74, 1064
75, 1097
76, 1065
77, 1062
78, 1118
79, 1064
80, 1067
81, 1085
82, 1079
83, 1063
84, 1085
85, 1073
86, 1068
87, 1096
88, 1062
89, 1075
90, 1083
91, 1061
92, 1073
93, 1082
94, 1063
95, 1075
96, 1105
97, 1066
98, 1063
99, 1103
100, 1063
101, 1062
102, 1086
103, 1073
104, 1061
105, 1090
106, 1074
107, 1101
108, 1066
109, 1064
110, 1090
111, 1064
112, 1063
113, 1077
114, 1068
115, 1062
116, 1078
117, 1073
118, 1069
119, 1085
120, 1069
121, 1086
122, 1100
123, 1068
124, 1077
125, 1083
126, 1066
127, 1067
128, 1097
129, 1079
130, 1074
131, 1117
132, 1063
133, 1062
134, 1098
135, 1074
136, 1065
137, 1085
138, 1086
139, 1071
140, 1131
141, 1070
142, 1085
143, 1087
144, 1074
145, 1087
146, 1107
147, 1074
148, 1074
149, 1112
150, 1075
151, 1114
152, 1101
153, 1063
154, 1067
155, 1073
156, 1076
157, 1094
158, 1071
159, 1076
160, 1081
161, 1062
162, 1064
163, 1100
164, 1064
165, 1064
166, 1093
167, 1064
168, 1065
169, 1085
170, 1075
171, 1061
172, 1101
173, 1077
174, 1079
175, 1116
176, 1082
177, 1089
178, 1095
179, 1080
180, 1092
181, 1093
182, 1066
183, 1068
184, 1137
185, 1064
186, 1063
187, 1079
188, 1065
189, 1067
190, 1105
191, 1079
192, 1066
193, 1149
194, 1069
195, 1112
196, 1082
197, 1070
198, 1074
199, 1083
200, 1063
201, 1088
202, 1067
203, 1065
204, 1080
205, 1073
206, 1065
207, 1090
208, 1066
209, 1073
210, 1095
211, 1065
212, 1074
213, 1083
214, 1069
215, 1064
216, 1101
217, 1073
218, 1073
219, 1100
220, 1075
221, 1072
222, 1097
223, 1085
224, 1075
225, 1090
226, 1084
227, 1076
228, 1110
229, 1071
230, 1084
231, 1094
232, 1073
233, 1083
234, 1093
235, 1073
236, 1074
237, 1103
238, 1073
239, 1116
240, 1105
241, 1079
242, 1080
243, 1104
244, 1085
245, 1075
246, 1076
247, 1087
248, 1091
249, 1073
250, 1074
251, 1170
252, 1071
253, 1073
254, 1104
255, 1076
256, 1075
257, 1117
258, 1074
259, 1062
260, 1116
261, 1083
262, 1062
263, 1087
264, 1075
265, 1084
266, 1106
267, 1071
268, 1082
269, 1104
270, 1078
271, 1073
272, 1100
273, 1074
274, 1074
275, 1115
276, 1073
277, 1069
278, 1100
279, 1093
280, 1072
281, 1090
282, 1084
283, 1098
284, 1087
285, 1063
286, 1072
287, 1066
288, 1063
289, 1080
290, 1068
291, 1092
292, 1102
293, 1079
294, 1061
295, 1104
296, 1064
297, 1089
298, 1087
299, 1078
300, 1090
301, 1094
302, 1074
303, 1076
304, 1141
305, 1081
306, 1071
307, 1099
308, 1074
309, 1070
310, 1095
311, 1084
312, 1073
313, 1111
314, 1084
315, 1074
316, 1089
317, 1073
318, 1094
319, 1106
320, 1072
321, 1088
322, 1143
323, 1073
324, 1072
325, 1111
326, 1071
327, 1128
328, 1088
329, 1074
330, 1121
331, 1074
332, 1082
333, 1093
334, 1073
335, 1090
336, 1094
337, 1063
338, 1062
339, 1108
340, 1063
341, 1063
342, 1107
343, 1064
344, 1062
345, 1088
346, 1076
347, 1062
348, 1091
349, 1087
350, 1072
351, 1106
352, 1074
353, 1084
354, 1092
355, 1080
356, 1081
357, 1106
358, 1073
359, 1079
360, 1106
361, 1074
362, 1072
363, 1106
364, 1072
365, 1072
366, 1113
367, 1091
368, 1078
369, 1078
370, 1094
371, 1132
372, 1076
373, 1074
374, 1131
375, 1075
376, 1071
377, 1118
378, 1075
379, 1076
380, 1089
381, 1089
382, 1074
383, 1095
384, 1088
385, 1074
386, 1115
387, 1068
388, 1077
389, 1083
390, 1066
391, 1082
392, 1084
393, 1064
394, 1062
395, 1108
396, 1065
397, 1063
398, 1095
399, 1075
400, 1080
401, 1105
402, 1090
403, 1074
404, 1147
405, 1085
406, 1073
407, 1087
408, 1060
409, 1071
410, 1066
411, 1064
412, 1097
413, 1078
414, 1070
415, 1120
416, 1082
417, 1062
418, 1087
419, 1063
420, 1070
421, 1090
422, 1064
423, 1073
424, 1082
425, 1061
426, 1062
427, 1089
428, 1063
429, 1068
430, 1103
431, 1071
432, 1071
433, 1105
434, 1081
435, 1073
436, 1107
437, 1085
438, 1072
439, 1088
440, 1075
441, 1083
442, 1097
443, 1079
444, 1081
445, 1088
446, 1071
447, 1072
448, 1118
449, 1074
450, 1071
451, 1109
452, 1074
453, 1072
454, 1106
455, 1079
456, 1071
457, 1124
458, 1080
459, 1102
460, 1186
461, 1120
462, 1110
463, 1075
464, 1071
465, 1156
466, 1073
467, 1072
468, 1091
469, 1083
470, 1071
471, 1087
472, 1081
473, 1070
474, 1095
475, 1063
476, 1072
477, 1094
478, 1065
479, 1074
480, 1084
481, 1063
482, 1062
483, 1093
484, 1063
485, 1062
486, 1078
487, 1082
488, 1062
489, 1078
490, 1069
491, 1063
492, 1096
493, 1063
494, 1073
495, 1114
496, 1062
497, 1074
498, 1096
499, 1072
500, 1065
501, 1124
502, 1061
503, 1061
504, 1108
505, 1073
506, 1088
507, 1068
508, 1074
509, 1115
510, 1064
511, 1074
512, 1098
513, 1062
514, 1066
515, 1122
516, 1065
517, 1063
518, 1102
519, 1063
520, 1061
521, 1079
522, 1087
523, 1063
524, 1080
525, 1077
526, 1065
527, 1106
528, 1063
529, 1076
530, 1081
531, 1063
532, 1062
533, 1099
534, 1070
535, 1062
536, 1101
537, 1062
538, 1063
539, 1097
540, 1072
541, 1062
542, 1079
543, 1078
544, 1070
545, 1086
546, 1062
547, 1075
548, 1128
549, 1066
550, 1087
551, 1084
552, 1063
553, 1064
554, 1094
555, 1063
556, 1073
557, 1117
558, 1065
559, 1073
560, 1079
561, 1073
562, 1063
563, 1074
564, 1074
565, 1100
566, 1071
567, 1060
568, 1087
569, 1063
570, 1063
571, 1096
572, 1065
573, 1068
574, 1081
575, 1079
576, 1066
577, 1097
578, 1066
579, 1091
580, 1082
581, 1064
582, 1083
583, 1094
584, 1064
585, 1068
586, 1092
587, 1063
588, 1061
589, 1090
590, 1066
591, 1064
592, 1123
593, 1078
594, 1065
595, 1107
596, 1072
597, 1063
598, 1080
599, 1064
600, 1074
601, 1130
602, 1062
603, 1082
604, 1078
605, 1077
606, 1070
607, 1106
608, 1065
609, 1062
610, 1098
611, 1064
612, 1068
613, 1095
614, 1081
615, 1070
616, 1079
617, 1073
618, 1064
619, 1102
620, 1083
621, 1102
622, 1067
623, 1061
624, 1076
625, 1064
626, 1065
627, 1105
628, 1077
629, 1060
630, 1088
631, 1063
632, 1074
633, 1082
634, 1062
635, 1074
636, 1104
637, 1065
638, 1062
639, 1103
640, 1076
641, 1070
642, 1132
643, 1072
644, 1063
645, 1086
646, 1077
647, 1062
648, 1085
649, 1086
650, 1071
651, 1097
652, 1071
653, 1080
654, 1102
655, 1070
656, 1117
657, 1091
658, 1072
659, 1071
660, 1118
661, 1073
662, 1071
663, 1100
664, 1072
665, 1070
666, 1096
667, 1089
668, 1070
669, 1121
670, 1080
671, 1078
672, 1065
673, 1063
674, 1089
675, 1078
676, 1063
677, 1102
678, 1063
679, 1064
680, 1081
681, 1110
682, 1064
683, 1082
684, 1064
685, 1067
686, 1082
687, 1065
688, 1072
689, 1078
690, 1065
691, 1061
692, 1117
693, 1064
694, 1064
695, 1110
696, 1062
697, 1063
698, 1086
699, 1083
700, 1073
701, 1086
702, 1085
703, 1074
704, 1118
705, 1075
706, 1098
707, 1094
708, 1078
709, 1083
710, 1097
711, 1074
712, 1073
713, 1128
714, 1072
715, 1074
716, 1140
717, 1065
718, 1062
719, 1067
720, 1076
721, 1076
722, 1065
723, 1074
724, 1082
725, 1126
726, 1064
727, 1104
728, 1091
729, 1065
730, 1110
731, 1065
732, 1067
733, 1086
734, 1078
735, 1060
736, 1108
737, 1079
738, 1063
739, 1113
740, 1065
741, 1073
742, 1085
743, 1063
744, 1074
745, 1098
746, 1073
747, 1075
748, 1155
749, 1073
750, 1076
751, 1100
752, 1073
753, 1073
754, 1097
755, 1093
756, 1073
757, 1108
758, 1086
759, 1064
760, 1081
761, 1063
762, 1080
763, 1093
764, 1078
765, 1104
766, 1083
767, 1063
768, 1081
769, 1113
770, 1061
771, 1080
772, 1063
773, 1071
774, 1101
775, 1064
776, 1074
777, 1081
778, 1064
779, 1064
780, 1093
781, 1063
782, 1063
783, 1130
784, 1076
785, 1071
786, 1090
787, 1091
788, 1080
789, 1093
790, 1075
791, 1065
792, 1097
793, 1064
794, 1075
795, 1082
796, 1063
797, 1071
798, 1081
799, 1071
800, 1062
801, 1103
802, 1064
803, 1061
804, 1081
805, 1063
806, 1062
807, 1100
808, 1082
809, 1062
810, 1089
811, 1069
812, 1087
813, 1120
814, 1065
815, 1075
816, 1077
817, 1064
818, 1065
819, 1121
820, 1063
821, 1062
822, 1081
823, 1063
824, 1080
825, 1065
826, 1073
827, 1079
828, 1065
829, 1076
830, 1116
831, 1064
832, 1065
833, 1091
834, 1062
835, 1061
836, 1093
837, 1062
838, 1063
839, 1089
840, 1074
841, 1060
842, 1082
843, 1071
844, 1063
845, 1099
846, 1061
847, 1073
848, 1097
849, 1060
850, 1063
851, 1115
852, 1072
853, 1070
854, 1105
855, 1073
856, 1071
857, 1110
858, 1105
859, 1063
860, 1081
861, 1073
862, 1063
863, 1079
864, 1063
865, 1073
866, 1082
867, 1061
868, 1071
869, 1079
870, 1061
871, 1063
872, 1119
873, 1060
874, 1063
875, 1105
876, 1061
877, 1061
878, 1096
879, 1080
880, 1061
881, 1082
882, 1076
883, 1062
884, 1066
885, 1062
886, 1089
887, 1062
888, 1068
889, 1077
890, 1065
891, 1068
892, 1088
893, 1071
894, 1063
895, 1086
896, 1067
897, 1073
898, 1127
899, 1065
900, 1074
901, 1076
902, 1102
903, 1064
904, 1102
905, 1065
906, 1064
907, 1110
908, 1072
909, 1071
910, 1088
911, 1084
912, 1076
913, 1093
914, 1084
915, 1072
916, 1092
917, 1075
918, 1080
919, 1090
920, 1077
921, 1083
922, 1095
923, 1077
924, 1206
925, 1230
926, 1066
927, 1083
928, 1088
929, 1063
930, 1087
931, 1077
932, 1079
933, 1082
934, 1075
935, 1075
936, 1088
937, 1079
938, 1075
939, 1107
940, 1066
941, 1071
942, 1156
943, 1077
944, 1078
945, 1123
946, 1129
947, 1076
948, 1105
949, 1096
950, 1077
951, 1102
952, 1077
953, 1090
954, 1114
955, 1074
956, 1095
957, 1089
958, 1079
959, 1082
960, 1105
961, 1082
962, 1098
963, 1095
964, 1080
965, 1139
966, 1097
967, 1086
968, 1094
969, 1065
970, 1075
971, 1083
972, 1066
973, 1067
974, 1096
975, 1073
976, 1067
977, 1157
978, 1075
979, 1066
980, 1100
981, 1083
982, 1067
983, 1094
984, 1076
985, 1071
986, 1120
987, 1075
988, 1098
989, 1084
990, 1119
991, 1091
992, 1102
993, 1069
994, 1071
995, 1105
996, 1081
997, 1112
998, 1093
999, 1075
