# trial, microseconds
0, 11950
1, 1254
2, 1088
3, 1101
4, 1183
5, 1106
6, 1155
7, 1107
8, 1118
9, 1134
10, 1228
11, 1672
12, 1078
13, 1167
14, 1122
15, 1084
16, 1070
17, 1129
18, 1118
19, 1725
20, 1149
21, 1067
22, 1109
23, 1085
24, 1072
25, 1094
26, 1061
27, 1138
28, 1095
29, 1062
30, 1088
31, 1086
32, 1066
33, 1064
34, 1148
35, 1068
36, 1064
37, 1112
38, 1066
39, 1069
40, 1087
41, 1103
42, 1070
43, 1088
44, 1083
45, 1064
46, 1090
47, 1053
48, 1074
49, 1085
50, 1074
51, 1068
52, 1088
53, 1061
54, 1107
55, 1083
56, 1063
57, 1109
58, 1072
59, 1068
60, 1090
61, 1161
62, 1085
63, 1109
64, 1099
65, 1061
66, 1105
67, 1055
68, 1054
69, 1085
70, 1063
71, 1104
72, 1089
73, 1065
74, 1071
75, 1083
76, 1070
77, 1054
78, 1073
79, 1062
80, 1066
81, 1109
82, 1057
83, 1192
84, 1201
85, 1152
86, 1123
87, 1075
88, 1060
89, 1084
90, 1076
91, 1071
92, 1092
93, 1179
94, 1191
95, 1118
96, 1137
97, 1366
98, 1093
99, 1212
100, 1227
101, 1078
102, 1073
103, 1122
104, 1089
105, 1077
106, 1111
107, 1074
108, 1076
109, 1108
110, 1468
111, 1248
112, 1184
113, 1104
114, 1259
115, 1181
116, 1162
117, 1236
118, 1190
119, 1119
120, 1230
121, 1185
122, 1103
123, 1407
124, 1098
125, 1105
126, 1072
127, 1159
128, 1086
129, 1062
130, 1085
131, 1088
132, 1132
133, 1077
134, 1070
135, 1086
136, 1163
137, 1072
138, 1102
139, 1091
140, 1073
141, 1108
142, 1097
143, 1066
144, 1106
145, 1069
146, 1078
147, 1090
148, 1068
149, 1077
150, 1099
151, 1068
152, 1066
153, 1111
154, 1068
155, 1073
156, 1117
157, 1067
158, 1064
159, 1127
160, 1086
161, 1074
162, 1095
163, 1065
164, 1068
165, 1085
166, 1061
167, 1075
168, 1133
169, 1060
170, 1074
171, 1084
172, 1070
173, 1084
174, 1076
175, 1079
176, 1090
177, 1076
178, 1116
179, 1102
180, 1081
181, 1076
182, 1082
183, 1068
184, 1065
185, 1108
186, 1080
187, 1071
188, 1120
189, 1067
190, 1072
191, 1097
192, 1099
193, 1065
194, 1118
195, 1092
196, 1069
197, 1097
198, 1072
199, 1080
200, 1099
201, 1073
202, 1077
203, 1092
204, 1065
205, 1077
206, 1525
207, 1078
208, 1128
209, 1129
210, 1074
211, 1147
212, 1082
213, 1061
214, 1141
215, 1173
216, 1082
217, 1096
218, 1121
219, 1440
220, 1101
221, 1069
222, 1136
223, 1184
224, 1090
225, 1132
226, 1078
227, 1068
228, 1097
229, 1091
230, 1077
231, 1114
232, 1095
233, 1080
234, 1068
235, 1065
236, 1110
237, 1068
238, 1074
239, 1109
240, 1068
241, 1073
242, 1094
243, 1089
244, 1063
245, 1082
246, 1086
247, 1065
248, 1093
249, 1063
250, 1081
251, 1084
252, 1071
253, 1080
254, 1102
255, 1070
256, 1079
257, 1152
258, 1072
259, 1065
260, 1103
261, 1069
262, 1074
263, 1090
264, 1095
265, 1061
266, 1083
267, 1060
268, 1079
269, 1101
270, 1068
271, 1080
272, 1110
273, 1064
274, 1072
275, 1121
276, 1067
277, 1085
278, 1086
279, 1069
280, 1097
281, 1063
282, 1074
283, 1270
284, 1062
285, 1087
286, 1085
287, 1069
288, 1066
289, 1138
290, 1062
291, 1061
292, 1175
293, 1161
294, 1117
295, 1153
296, 1116
297, 1108
298, 1130
299, 1116
300, 1140
301, 1165
302, 1121
303, 1177
304, 1106
305, 1087
306, 1220
307, 1077
308, 1070
309, 1110
310, 1073
311, 1076
312, 1217
313, 1619
314, 1578
315, 1509
316, 1527
317, 1424
318, 1458
319, 1543
320, 1543
321, 1478
322, 1525
323, 1474
324, 1606
325, 1537
326, 1460
327, 1572
328, 1489
329, 1075
330, 1064
331, 1052
332, 1055
333, 1093
334, 1079
335, 1054
336, 1051
337, 1067
338, 1057
339, 1053
340, 1075
341, 1074
342, 1074
343, 1073
344, 1052
345, 1063
346, 1065
347, 1050
348, 1101
349, 1078
350, 1051
351, 1050
352, 1084
353, 1052
354, 1050
355, 1094
356, 1049
357, 1051
358, 1071
359, 1075
360, 1101
361, 1081
362, 1069
363, 1081
364, 1104
365, 1062
366, 1072
367, 1078
368, 1051
369, 1049
370, 1110
371, 1049
372, 1048
373, 1076
374, 1047
375, 1047
376, 1075
377, 1066
378, 1048
379, 1073
380, 1058
381, 1050
382, 1142
383, 1049
384, 1058
385, 1070
386, 1052
387, 1050
388, 1102
389, 1045
390, 1054
391, 1080
392, 1058
393, 1055
394, 1065
395, 1068
396, 1093
397, 1071
398, 1062
399, 1051
400, 1105
401, 1051
402, 1063
403, 1074
404, 1061
405, 1074
406, 1073
407, 1052
408, 1050
409, 1079
410, 1050
411, 1089
412, 1129
413, 1058
414, 1049
