# trial, us for 1000 calls
0, 1168960
1, 1283699
2, 1138717
3, 1169591
4, 1140586
5, 1142969
6, 1127419
7, 1477268
8, 1146077
9, 1182352
10, 1207927
11, 1129870
12, 1125917
13, 1297818
14, 1179055
15, 1128777
16, 1264813
17, 1272447
18, 1134020
19, 1123434
20, 1293076
21, 1162477
22, 1153894
23, 1147002
24, 1427767
25, 1289999
26, 1165863
27, 1123639
28, 1124252
29, 1123693
30, 1126408
31, 1125168
32, 1190763
33, 1176955
34, 1143779
35, 1331950
36, 1152906
37, 1145050
38, 1143953
39, 1274929
40, 1192148
41, 1189626
42, 1153593
43, 1131333
44, 1141954
45, 1163989
46, 1134556
47, 1150462
48, 1195658
49, 1135751
50, 1231100
51, 1191336
52, 1139676
53, 1145552
54, 1145656
55, 1150441
56, 1171671
57, 1154859
58, 1302767
59, 1261615
60, 1150499
61, 1241472
62, 1197051
63, 1144050
64, 1176347
65, 1133891
66, 1136967
67, 1159296
68, 1257643
69, 1191280
70, 1256031
71, 1281208
72, 1137322
73, 1133063
74, 1134509
75, 1136641
76, 1136999
77, 1136548
78, 1178380
79, 1146434
80, 1241778
81, 1169220
82, 1300851
83, 1153195
84, 1147294
85, 1176087
86, 1137189
87, 1127824
88, 1133054
89, 1159414
90, 1134690
91, 1159813
92, 1184021
93, 1172079
94, 1191177
95, 1181292
96, 1139005
97, 1176664
98, 1177147
99, 1219128
