# trial, latency
0,13041
1,1338
2,1312
3,1262
4,1278
5,1273
6,1254
7,1283
8,1265
9,1260
10,1302
11,1267
12,1297
13,1255
14,1270
15,1296
16,1259
17,1278
18,1276
19,1255
20,1275
21,1267
22,1260
23,1297
24,1266
25,1297
26,1252
27,1270
28,1296
29,1259
30,1263
31,1286
32,1254
33,1318
34,1255
35,1264
36,1309
37,1254
38,1280
39,1288
40,1339
41,1358
42,1272
43,1310
44,1259
45,1264
46,1292
47,1308
48,1296
49,1328
50,1304
51,1334
52,1308
53,1292
54,1353
55,1314
56,1319
57,1300
58,1287
59,1341
60,1292
61,1344
62,1296
63,1292
64,1338
65,1289
66,1286
67,1307
68,1289
69,1335
70,1315
71,1297
72,1295
73,1314
74,1391
75,1285
76,1357
77,1301
78,1317
79,1331
80,1304
81,1295
82,1322
83,1286
84,1313
85,1329
86,1302
87,1322
88,1312
89,1358
90,1308
91,1335
92,1343
93,1325
94,6540
95,1482
96,1307
97,1309
98,1338
99,1329
