# trial, latency
0,21232
1,1160
2,1186
3,1240
4,1168
5,1179
6,1252
7,1161
8,1168
9,1198
10,1190
11,1250
12,1168
13,1173
14,1196
15,1175
16,1173
17,1201
18,1180
19,1214
20,1209
21,1156
22,1218
23,1142
24,1169
25,1238
26,1185
27,1171
28,1205
29,1179
30,1191
31,1186
32,1168
33,1141
34,1170
35,1123
36,1129
37,1217
38,1174
39,1175
40,1193
41,1186
42,1242
43,1185
44,1165
45,1188
46,1183
47,1182
48,1180
49,1159
50,1171
51,1214
52,1159
53,1159
54,1227
55,1143
56,1224
57,1189
58,1169
59,1203
60,1195
61,1184
62,1263
63,1176
64,1197
65,1209
66,1192
67,1207
68,1160
69,1168
70,1229
71,1177
72,1160
73,1248
74,1190
75,1187
76,1213
77,1156
78,1164
79,1208
80,1207
81,1189
82,1170
83,1159
84,1229
85,1163
86,1161
87,1218
88,1196
89,1193
90,1231
91,1167
92,1167
93,1216
94,1186
95,1192
96,1170
97,1179
98,1205
99,1177
