# trial, latency
0,27568
1,855
2,863
3,813
4,807
5,790
6,829
7,788
8,798
9,819
10,889
11,820
12,822
13,817
14,871
15,811
16,793
17,818
18,922
19,826
20,788
21,795
22,859
23,807
24,780
25,803
26,864
27,800
28,828
29,808
30,758
31,674
32,681
33,684
34,704
35,707
36,665
37,681
38,678
39,672
40,698
41,660
42,675
43,673
44,669
45,692
46,693
47,671
48,677
49,793
50,698
51,675
52,675
53,680
54,718
55,678
56,682
57,681
58,659
59,712
60,664
61,665
62,688
63,706
64,718
65,668
66,670
67,686
68,672
69,712
70,670
71,694
72,670
73,672
74,716
75,669
76,673
77,666
78,693
79,686
80,692
81,673
82,667
83,694
84,667
85,673
86,703
87,672
88,756
89,688
90,669
91,691
92,678
93,703
94,677
95,686
96,670
97,674
98,737
99,671
