# trial, latency
0,11493
1,560
2,551
3,590
4,540
5,537
6,537
7,545
8,531
9,551
10,539
11,533
12,532
13,533
14,562
15,576
16,546
17,541
18,534
19,532
20,530
21,547
22,548
23,529
24,531
25,537
26,527
27,538
28,570
29,544
30,532
31,535
32,531
33,531
34,562
35,526
36,543
37,531
38,530
39,534
40,571
41,527
42,529
43,531
44,540
45,532
46,540
47,525
48,532
49,529
50,531
51,541
52,547
53,533
54,528
55,531
56,527
57,527
58,532
59,558
60,528
61,528
62,530
63,537
64,533
65,573
66,537
67,531
68,531
69,529
70,529
71,569
72,529
73,531
74,545
75,533
76,527
77,544
78,543
79,533
80,540
81,549
82,527
83,545
84,530
85,527
86,534
87,530
88,541
89,531
90,570
91,528
92,529
93,536
94,531
95,528
96,570
97,530
98,535
99,530
