# trial, latency (cycles)
0, 1151128
1, 354928
2, 330024
3, 358812
4, 329004
5, 319692
6, 333824
7, 318712
8, 329068
9, 319304
10, 319328
11, 318312
12, 318924
13, 318800
14, 318468
15, 317824
16, 318544
17, 317548
18, 385672
19, 323032
20, 342412
21, 337336
22, 318772
23, 344988
24, 321684
25, 318808
26, 318192
27, 318536
28, 318704
29, 318000
30, 318524
31, 317288
32, 317660
33, 317244
34, 317696
35, 369896
36, 320528
37, 320820
38, 317540
39, 317044
40, 316376
41, 317372
42, 317936
43, 318084
44, 332180
45, 378816
46, 327872
47, 321832
48, 318264
49, 318636
50, 319568
51, 364428
52, 324888
53, 318668
54, 317372
55, 317152
56, 317700
57, 338980
58, 317664
59, 323456
60, 317908
61, 317252
62, 318160
63, 381444
64, 325560
65, 319220
66, 338468
67, 332752
68, 416656
69, 320560
70, 318988
71, 319884
72, 318320
73, 318376
74, 317564
75, 318064
76, 318896
77, 318228
78, 318056
79, 316868
80, 317652
81, 317508
82, 334792
83, 344540
84, 320656
85, 329804
86, 320376
87, 319360
88, 319276
89, 327088
90, 318260
91, 318484
92, 318836
93, 317856
94, 317760
95, 335876
96, 317648
97, 318096
98, 317964
99, 317724
100, 317420
101, 381372
102, 322516
103, 336532
104, 336280
105, 318904
106, 317164
107, 336012
108, 317640
109, 328376
110, 317212
111, 319124
112, 317180
113, 317340
114, 317316
115, 317688
116, 317880
117, 320704
118, 402744
119, 322728
120, 320272
121, 319476
122, 319144
123, 404108
124, 326580
125, 322860
126, 319360
127, 318272
128, 318488
129, 320676
130, 316880
131, 316456
132, 317692
133, 316924
134, 317292
135, 325304
136, 319684
137, 318232
138, 318308
139, 317672
140, 317820
141, 317212
142, 317240
143, 421300
144, 321412
145, 318420
146, 318184
147, 319528
148, 318192
149, 318236
150, 317848
151, 420196
152, 321048
153, 318172
154, 318036
155, 318388
156, 316880
157, 318144
158, 316776
159, 318236
160, 318116
161, 317040
162, 318408
163, 409580
164, 322336
165, 319312
166, 319536
167, 317584
168, 325852
169, 319620
170, 318140
171, 317348
172, 337632
173, 317672
174, 337512
175, 329660
176, 322972
177, 317328
178, 335632
179, 318964
180, 325120
181, 329020
182, 318364
183, 330080
184, 382672
185, 319528
186, 318000
187, 318540
188, 318336
189, 316820
190, 317132
191, 317360
192, 317080
193, 317852
194, 318212
195, 317308
196, 316732
197, 316984
198, 324864
199, 316764
200, 331060
201, 325584
202, 348480
203, 328028
204, 318752
205, 317116
206, 317052
207, 316936
208, 317416
209, 316792
210, 316732
211, 317244
212, 317436
213, 317748
214, 317512
215, 317700
216, 316312
217, 402284
218, 319440
219, 319400
220, 317016
221, 317776
222, 376888
223, 386772
224, 322468
225, 321352
226, 318972
227, 319568
228, 317940
229, 318032
230, 317688
231, 320364
232, 317152
233, 317180
234, 333896
235, 318280
236, 317760
237, 318844
238, 318676
239, 317480
240, 318228
241, 317928
242, 362072
243, 321472
244, 318332
245, 318912
246, 318608
247, 319052
248, 318672
249, 318140
250, 357316
251, 324212
252, 318012
253, 317416
254, 317312
255, 317492
256, 316316
257, 315944
258, 316216
259, 358132
260, 328532
261, 319844
262, 398564
263, 322800
264, 317672
265, 337064
266, 319284
267, 409736
268, 321468
269, 320896
270, 318536
271, 317928
272, 326172
273, 320660
274, 317308
275, 317416
276, 316668
277, 317444
278, 317644
279, 326964
280, 327048
281, 316852
282, 407100
283, 322268
284, 324836
285, 318756
286, 319304
287, 320400
288, 317272
289, 327400
290, 318544
291, 317156
292, 316112
293, 316304
294, 326344
295, 317884
296, 317552
297, 317616
298, 319524
299, 323260
300, 405544
301, 319224
302, 410204
303, 335268
304, 318100
305, 374568
306, 342776
307, 318880
308, 317536
309, 318084
310, 319740
311, 316796
312, 316668
313, 316412
314, 316824
315, 317208
316, 318052
317, 325216
318, 319260
319, 317328
320, 318832
321, 316796
322, 384160
323, 320504
324, 318152
325, 317932
326, 323124
327, 319120
328, 316892
329, 317268
330, 318180
331, 316372
332, 323164
333, 358640
334, 335332
335, 317316
336, 316800
337, 317392
338, 317976
339, 318040
340, 317972
341, 325664
342, 343160
343, 320728
344, 319208
345, 318372
346, 318044
347, 317768
348, 317800
349, 317340
350, 385728
351, 320344
352, 318344
353, 317036
354, 317888
355, 317496
356, 317376
357, 317316
358, 317516
359, 319668
360, 320120
361, 316860
362, 337048
363, 321724
364, 321272
365, 318680
366, 318492
367, 326308
368, 321488
369, 318640
370, 320252
371, 319776
372, 319096
373, 317528
374, 319492
375, 320096
376, 317284
377, 316976
378, 317320
379, 317240
380, 317448
381, 317180
382, 338776
383, 403548
384, 320468
385, 316724
386, 316760
387, 317024
388, 317368
389, 317008
390, 317296
391, 317904
392, 346916
393, 330004
394, 319160
395, 318672
396, 317908
397, 317212
398, 317336
399, 317376
400, 324708
401, 352232
402, 326244
403, 319016
404, 317588
405, 317968
406, 317816
407, 317152
408, 317316
409, 317088
410, 317368
411, 316384
412, 316528
413, 317640
414, 317272
415, 317364
416, 353812
417, 320916
418, 317712
419, 318740
420, 317760
421, 316892
422, 322496
423, 318412
424, 316968
425, 318800
426, 332552
427, 317568
428, 317628
429, 316196
430, 316344
431, 316816
432, 317412
433, 396400
434, 333224
435, 339752
436, 318740
437, 339984
438, 318228
439, 317560
440, 317556
441, 342912
442, 319640
443, 317620
444, 317428
445, 318340
446, 317340
447, 317260
448, 316336
449, 316840
450, 334528
451, 319584
452, 316624
453, 317772
