PAE,kmain(),after recv(),after send()
451196,451808,721152,1015396
458384,459008,678884,996256
379332,379952,594636,905164
392860,393472,604988,966420
377692,378284,596864,988736
376048,376648,589528,944804
384692,385296,614588,971324
383748,384344,599036,935040
391064,391680,608356,927764
379072,379688,587172,857712
372304,372952,584808,870624
413968,414608,645364,928108
379880,380464,590232,860544
371036,371676,586980,859488
351120,351716,596212,1001544
448520,449136,660952,980080
373540,374128,587064,878560
376672,377288,594156,809896
446228,446840,663256,968220
364152,364788,573504,874104
824636,825268,1039036,1345344
444220,444852,656192,923828
376000,376584,591812,902416
352620,353208,568000,872724
357604,358212,575580,899740
428688,429308,651144,972516
1806684,1807272,2435228,2905988
380476,381088,596324,903772
461720,462344,672108,963236
367640,368268,585200,890092
472572,473184,690560,986704
367632,368224,580640,914384
370396,371008,584636,973580
370060,370660,587940,907424
357252,357860,572484,894336
361376,361988,576372,867304
390204,390796,611704,957176
514796,515420,804628,1222796
430216,430864,642928,961844
377296,377908,589956,880212
430424,431044,646648,998188
507652,508296,732208,1044924
376008,376584,627660,933800
373744,374332,586676,899068
482772,483384,690028,976860
354548,355136,566228,866052
618236,619176,910500,1293112
373068,373660,590008,898512
402348,402936,609040,938688
387836,388452,616916,933376
362200,362824,580016,883496
410584,411208,627576,930272
504188,504792,720700,1016500
367404,367992,584032,907908
428560,429168,655812,976484
372396,372980,579068,866276
349584,350228,561608,874748
377368,377964,810724,1171748
381636,382260,596300,900688
438052,438652,647076,938836
363764,364368,581088,879428
382032,382672,587488,854132
400348,400952,619828,955312
361012,361632,577812,880940
386460,387044,618192,951804
390708,391320,606068,897888
386992,387600,618240,911732
367636,368232,585040,887792
404376,404972,612640,930872
365136,365732,574616,875944
370656,371264,587700,889548
367836,368408,581360,872588
466596,467196,694620,1023704
414228,414812,631908,942144
376772,377416,594684,917888
393248,393856,610000,934520
355560,356188,572216,882720
370864,371488,586276,885504
386804,387404,601356,898704
432544,433168,651968,981260
440944,441576,685664,993592
504128,504768,723668,1053676
368780,369392,588912,914300
384040,384648,600284,907700
458864,459448,665640,959380
379892,380500,595828,898776
439236,439836,652900,947384
383804,384400,623092,917016
393820,394456,608180,888460
387664,388280,607744,935640
372248,372860,587644,911436
390684,391300,605768,927740
372748,373348,579564,873124
364356,364972,582096,878060
349612,350212,564616,865628
368288,368912,598340,892164
387600,388224,675636,991076
357104,357708,571352,876556
462780,463416,678392,971224
367904,368536,597064,919660
409852,410456,639812,959404
382988,383620,597016,901820
372188,372804,587864,879724
387996,388624,620420,919576
413532,414128,625112,915984
479804,480388,694428,997960
369884,370484,588072,885556
366988,367564,579012,845804
360116,360724,570756,835288
362780,363364,763856,1051396
399500,400100,619680,921276
407612,408240,631760,948420
514944,515544,755380,1116436
404572,405208,617512,936496
390596,391204,607812,928648
416812,417416,625036,938972
364752,365352,580980,875820
404456,405048,654820,1018492
367316,367936,589392,898360
355440,356052,565400,830908
691836,692768,1063116,1543220
380532,381152,598172,900300
401544,402148,643088,959024
404424,405032,636128,964936
411436,412024,649544,974940
483568,484156,778788,1188868
378460,379108,593792,864640
389984,390588,609484,914408
458916,459500,673408,951936
382224,382820,597948,896636
368340,368952,584908,896196
397920,398512,639664,941852
395104,395744,609748,926564
400444,401064,604516,914504
373488,374092,601440,944424
376880,377508,587512,889368
384252,384872,584788,867200
405588,406188,632560,944652
358440,359032,571536,963332
472328,472944,710212,1045372
367272,367876,577260,947168
389528,390112,606216,918628
375028,375628,591644,895368
455556,456164,670576,1057656
452796,453404,672420,1049884
422212,422816,637784,1020288
417796,418396,644908,969720
378540,379156,595580,926216
381096,381728,594260,886988
481344,481956,686064,1118468
421628,422232,646132,950620
403428,404040,631456,968560
349924,350540,566716,865812
408632,409256,634400,965992
398228,398836,611724,1020008
387528,388136,621720,1027920
370036,370672,586796,896712
402964,403596,632016,1002516
441228,441872,658316,957096
470108,470744,689340,987044
371836,372440,594208,904996
365164,365780,577028,868724
393264,393880,609552,934540
405736,406324,633504,957560
430824,431440,666944,1038468
445168,445812,662768,1040112
375912,376512,586132,895560
408048,408660,641504,969872
393432,394060,613312,940484
382676,383268,615696,938008
484680,485272,700540,998516
444448,445084,648420,1008672
376380,377024,582580,850272
515864,516480,784428,1114164
398848,399464,618196,906192
376780,377384,589748,971312
365004,365616,576128,852396
479904,480532,775212,1153580
487272,487892,704664,1097304
384048,384672,600224,900700
363804,364412,582608,872700
530772,531360,842620,1208532
386492,387136,591252,957752
387828,388408,665492,996320
452228,453044,690144,1052720
374040,374656,591228,901784
377708,378312,597820,921396
546900,547504,786600,1081372
380900,381532,600412,901312
376728,377368,594228,907548
371188,371800,588652,886868
371100,371728,588884,957120
363996,364596,578604,918400
382932,383544,600700,900428
375580,376208,593896,891012
390156,390764,606380,897984
371512,372096,583960,957904
387240,387880,606452,930392
416056,416692,634044,929912
362924,363568,578104,881160
369672,370292,585904,925904
370852,371484,625672,925996
386224,386824,599768,903632
358680,359292,576256,863740
421428,422036,642748,1001336
387776,388392,606104,909188
494512,495144,731944,1036844
402208,402860,623108,899568
396284,396920,612732,903456
367580,368212,583712,873256
390732,391332,608336,902372
359472,360096,582764,873456
523792,524628,818280,1223564
404128,404732,643280,966108
371428,372036,581280,878208
401552,402172,614212,906536
543156,543756,844484,1287048
421600,422220,624360,903256
472316,472944,703000,1020996
373392,374032,591148,926792
391456,392084,607868,904120
573972,574596,775788,1061200
389108,389700,591676,881104
399392,400008,653260,947936
396848,397456,610672,913180
360968,361584,581588,889248
1338168,1338768,1761340,2238336
526208,527016,827708,1255016
534084,534668,824108,1231488
643920,644884,934892,1310736
506660,507284,796148,1191048
538900,539508,750868,1040428
487632,488264,703528,973236
370048,370664,612612,913804
380976,381572,601824,899720
787812,788400,1003552,1433400
393272,393868,670932,1070368
458764,459392,680068,1089900
356836,357444,570332,914832
455792,456556,724120,1106432
461868,462504,765664,1085712
463088,463704,682356,1055080
467628,468264,697936,1148108
448296,448932,701836,1109072
380684,381280,605968,935736
416736,417360,633440,1010804
435364,435964,642436,952484
476620,477240,754840,1097064
379168,379780,609248,981776
371220,371848,590148,892912
548284,548896,767836,1137152
408436,409064,645540,968652
525632,526244,833824,1184144
386660,387280,621568,922372
443348,444136,718532,1083896
377620,378248,609816,960340
576536,577572,860548,1246708
495164,495744,710576,1112140
385212,385836,602512,1004864
397756,398388,615276,942816
394500,395108,614204,913788
383168,383776,604556,917068
