# trial, latency (cycles)
0, 1591972
1, 1109208
2, 2152766
3, 1329128
4, 1346104
5, 1431950
6, 1511940
7, 1230168
8, 1346544
9, 1333252
10, 1379008
11, 1317120
12, 1508598
13, 1575602
14, 1815304
15, 1366124
16, 1203000
17, 1697880
18, 1520940
19, 1661384
20, 1775800
21, 1595336
22, 1619160
23, 1808448
24, 1604050
25, 1265516
26, 1263768
27, 1409884
28, 1246060
29, 1171596
30, 1063344
31, 986700
32, 970124
33, 1072892
34, 959036
35, 1030896
36, 1447152
37, 1542742
38, 1197074
39, 974638
40, 986876
41, 1081150
42, 1159180
43, 1363106
44, 1144912
45, 1375762
46, 1197304
47, 1222112
48, 1186728
49, 1106176
50, 1048462
51, 985240
52, 921584
53, 1156992
54, 1437176
55, 1228600
56, 1098216
57, 1837826
58, 1229108
59, 1554922
60, 1592056
61, 1052004
62, 1276312
63, 1237620
64, 1130516
65, 931268
66, 1010212
67, 947852
68, 943996
69, 983132
70, 1048840
71, 1204952
72, 959412
73, 977464
74, 955724
75, 933608
76, 884428
77, 978176
78, 941656
79, 944996
80, 947312
81, 1128928
82, 1168724
83, 916440
84, 924476
85, 938940
86, 916056
87, 1004828
88, 939176
89, 1148796
90, 1712840
91, 1569732
92, 1533336
93, 1202364
94, 1180852
95, 1202580
96, 1844756
97, 1258964
98, 1160190
99, 1722978
100, 1423772
101, 1619484
102, 1407492
103, 1340476
104, 1084428
105, 1243848
106, 1067492
107, 1272424
108, 1165644
109, 1205652
110, 1118844
111, 1301044
112, 1088528
113, 1149896
114, 1079032
115, 1411972
116, 971300
117, 949656
118, 948056
119, 1067864
120, 1156644
121, 1067564
122, 1096412
123, 1275780
124, 1205956
125, 950748
126, 984968
127, 970980
128, 1041308
129, 1044952
130, 1091168
131, 983716
132, 957536
133, 930484
134, 1013596
135, 1037752
136, 1188744
137, 931988
138, 970456
139, 908196
140, 1325184
141, 1126148
142, 933428
143, 971188
144, 1239456
145, 1118260
146, 924324
147, 1002644
148, 1202320
149, 1066708
150, 1015220
151, 963744
152, 5174534
153, 1324180
154, 1253326
155, 1247526
156, 1209630
157, 1156690
158, 1463708
159, 1673838
160, 1481160
161, 1433938
162, 1356298
163, 1422462
164, 1510220
165, 1297654
166, 1374042
167, 1517152
168, 1542574
169, 1437820
170, 1464772
171, 1414916
172, 1258596
173, 1373036
174, 1461310
175, 1262032
176, 1325492
177, 1364794
178, 1217136
179, 1177336
180, 1114924
181, 960192
182, 1215136
183, 1159396
184, 1709654
185, 1382020
186, 1676162
187, 1583792
188, 1503044
189, 1659672
190, 1770032
191, 1554378
192, 1838418
193, 1510476
194, 1529022
195, 1403892
196, 1067032
197, 1124532
198, 1051272
199, 1306606
200, 1547680
201, 1609020
202, 1574728
203, 1353984
204, 1333752
205, 1355530
206, 1605034
207, 1533424
208, 1576144
209, 1467852
210, 1322996
211, 1518298
212, 1529394
213, 1383990
214, 1570098
215, 1638620
216, 1472462
217, 1207978
218, 1512856
219, 1357696
220, 1959406
221, 1065966
222, 1292624
223, 1310008
224, 1512590
225, 1565832
226, 1432950
227, 1532592
228, 1519934
229, 1507966
230, 1524526
231, 1560622
232, 1571068
233, 1572228
234, 1579868
235, 1509976
236, 1827532
237, 1446656
238, 1545188
239, 12837076
240, 1669932
241, 1804744
242, 1626004
243, 1249152
244, 1319060
245, 1259040
246, 1229652
247, 1395796
248, 1222852
249, 1082712
250, 1293196
251, 1448892
252, 1412296
253, 1580234
254, 1396902
255, 1530060
256, 1640044
257, 1633648
258, 1913780
259, 1608350
260, 1684556
261, 1667788
262, 1491650
263, 1573212
264, 1440512
265, 1572334
266, 1650838
267, 1407424
268, 1250706
269, 1323428
270, 1757272
271, 1603236
272, 1653560
273, 1657056
274, 1504104
275, 1830868
276, 1607200
277, 1640068
278, 1616720
279, 1555380
280, 1694350
281, 1639652
282, 1555856
283, 1576512
284, 1313276
285, 1256860
286, 1620262
287, 1245290
