# trial, latency (cycles)
0, 539712
1, 441636
2, 473556
3, 380340
4, 262716
5, 342124
6, 225924
7, 215652
8, 244200
9, 229992
10, 167416
11, 195456
12, 204144
13, 198952
14, 175588
15, 201908
16, 164028
17, 196320
18, 167716
19, 631396
20, 613408
21, 329156
22, 393374
23, 532050
24, 405220
25, 334646
26, 297882
27, 392114
28, 438146
29, 285004
30, 604030
31, 818672
32, 805660
33, 606916
34, 752668
35, 801572
36, 680892
37, 467816
38, 465828
39, 503668
40, 519676
41, 470572
42, 459130
43, 472806
44, 475030
45, 351120
46, 364590
47, 371558
48, 471440
49, 285834
50, 249560
51, 507524
52, 328528
53, 404772
54, 256528
55, 252148
56, 320656
57, 253748
58, 251384
59, 250600
60, 321244
61, 407668
62, 256192
63, 253604
64, 321736
65, 253408
66, 256228
67, 276056
68, 272228
69, 253932
70, 252620
71, 334800
72, 445088
73, 281868
74, 260316
75, 256840
76, 388488
77, 415404
78, 420660
79, 413916
80, 471870
81, 404414
82, 313920
83, 405430
84, 339696
85, 351050
86, 318556
87, 332696
88, 245888
89, 256112
90, 604548
91, 351444
92, 443806
93, 368124
94, 578316
95, 497490
96, 310578
97, 290604
98, 372184
99, 370574
100, 291146
101, 414928
102, 514194
103, 354854
104, 412426
105, 186924
106, 467344
107, 301330
108, 385026
109, 628514
110, 760112
111, 488810
112, 716962
113, 741080
114, 616682
115, 461124
116, 730260
117, 354850
118, 521654
119, 410010
120, 780064
121, 302258
122, 598666
123, 563390
124, 449468
125, 476698
126, 562238
127, 494158
128, 271396
129, 245964
130, 215608
131, 292856
132, 214904
133, 231112
134, 206744
135, 308220
136, 218084
137, 444780
138, 235360
139, 316600
140, 237428
141, 215136
142, 295588
143, 336472
144, 219272
145, 218128
146, 365564
147, 382372
148, 225960
149, 245416
150, 219264
151, 241036
152, 226128
153, 234696
154, 220164
155, 241180
156, 238632
157, 218856
158, 285480
159, 252520
160, 222736
161, 240300
162, 216604
163, 268292
164, 216732
165, 248244
166, 226392
167, 265212
168, 215316
169, 241648
170, 217080
171, 272884
172, 218804
173, 219068
174, 229548
175, 452696
176, 232388
177, 672004
178, 391456
179, 658100
180, 369938
181, 327362
182, 330028
183, 252296
184, 218788
185, 357022
186, 281816
187, 411022
188, 431966
189, 342956
190, 288764
191, 777092
192, 380876
193, 393908
194, 392016
195, 417356
196, 394584
197, 360746
198, 364090
199, 551188
200, 486058
201, 324738
202, 546528
203, 212118
204, 311520
205, 363692
206, 314870
207, 357308
208, 546198
209, 247924
210, 307134
211, 457284
212, 660884
213, 583136
214, 643848
215, 558540
216, 635628
217, 534100
218, 391028
219, 378516
220, 363368
221, 249888
222, 494844
223, 387072
224, 175900
225, 195636
226, 195396
227, 374312
228, 180360
229, 377048
230, 196924
231, 172240
232, 174132
233, 171212
234, 190760
235, 187792
236, 174456
237, 170180
238, 190332
239, 171836
240, 172636
241, 170280
242, 186904
243, 171224
244, 384152
245, 178840
246, 185424
247, 395020
248, 177980
249, 413016
250, 201896
251, 170920
252, 171564
253, 167504
254, 371152
255, 176908
256, 412324
257, 416332
258, 392540
259, 182768
260, 184364
261, 168616
262, 383968
263, 196444
264, 172528
265, 174744
266, 188824
267, 171560
268, 173640
269, 386080
270, 391852
271, 178328
272, 174236
273, 410000
274, 373304
275, 375460
276, 177884
277, 183056
278, 186208
279, 171144
280, 169604
281, 170888
282, 189296
283, 168492
284, 194152
285, 373508
286, 297108
287, 175652
288, 414872
289, 184388
290, 381616
291, 387964
292, 178576
293, 169788
294, 551004
295, 181260
296, 170788
297, 171480
298, 184672
299, 172196
300, 171016
301, 195136
302, 381464
303, 177420
304, 172084
305, 599864
306, 589144
307, 184104
308, 167304
309, 172516
310, 183448
311, 165864
312, 174476
313, 170464
314, 187296
315, 170040
316, 174144
317, 166784
318, 428812
319, 432928
320, 239180
321, 339048
322, 351576
323, 318172
324, 622334
325, 415534
326, 433864
327, 184936
328, 200832
329, 171476
330, 200296
331, 169596
332, 238456
333, 177840
334, 202144
335, 200192
336, 207772
337, 183492
338, 425228
339, 233224
340, 176136
341, 434776
342, 228308
343, 594936
344, 411864
345, 404184
346, 474988
347, 309008
348, 211660
349, 326976
350, 231088
351, 172744
352, 206140
353, 192684
354, 389712
355, 347444
356, 356074
357, 287192
358, 263666
359, 222748
360, 341514
361, 296048
362, 162976
363, 240616
364, 502824
365, 628796
366, 625430
367, 439720
368, 320592
369, 272360
370, 264632
371, 256976
372, 306444
373, 262360
374, 250004
375, 243440
376, 249668
377, 246616
378, 249012
379, 249572
380, 266868
381, 248476
382, 249012
383, 247576
384, 252704
385, 250660
386, 246924
387, 250312
388, 252524
389, 248352
390, 250060
391, 251008
392, 296288
393, 251940
394, 268528
395, 252056
396, 251252
397, 250648
398, 319524
399, 249512
400, 253456
401, 268256
402, 272144
403, 273020
404, 250612
405, 315724
406, 251384
407, 407086
408, 464942
409, 460722
410, 502854
411, 271784
412, 257188
413, 244676
414, 223956
415, 209784
416, 225168
417, 221228
418, 207772
419, 207964
420, 217668
421, 375428
422, 225912
423, 217184
424, 230420
425, 256952
426, 236696
427, 212168
428, 220180
429, 212084
430, 210660
431, 232432
432, 229692
433, 209820
434, 210892
435, 208548
436, 217960
437, 211656
438, 253136
439, 669280
440, 472304
441, 448372
442, 578148
443, 627230
444, 621982
445, 644994
446, 500784
447, 399180
448, 393592
449, 256760
450, 250440
451, 340068
452, 403864
453, 288396
454, 255300
455, 299600
456, 326696
457, 306272
458, 332184
459, 324980
460, 316856
461, 309196
462, 280836
463, 346016
464, 260024
465, 256996
466, 289444
467, 258412
468, 300208
469, 262176
470, 278688
471, 275960
472, 259408
473, 273872
474, 280748
475, 258908
476, 383984
477, 267172
478, 288936
479, 257240
480, 273560
481, 259708
482, 356888
483, 283364
484, 263212
485, 259324
486, 276224
487, 349960
488, 253724
489, 296768
490, 272916
491, 251708
492, 250016
493, 252284
494, 278736
495, 252428
496, 255900
497, 253268
498, 276624
499, 254080
500, 250836
501, 274096
502, 279076
503, 277840
504, 257272
505, 413956
506, 359492
507, 273840
508, 263852
509, 259640
510, 260884
511, 252740
512, 367780
513, 253268
514, 393100
515, 386148
516, 402708
517, 470256
518, 329996
519, 483404
520, 487024
521, 414248
522, 573978
523, 480970
524, 471868
525, 469904
526, 591114
527, 460602
528, 472948
529, 395712
530, 378940
531, 307824
532, 346408
533, 302020
534, 386148
535, 386028
536, 228616
537, 234124
538, 278652
539, 293920
540, 365340
541, 258588
542, 371468
543, 268924
544, 369020
545, 253228
546, 277000
547, 396992
548, 258044
549, 325520
550, 413824
551, 259664
552, 257944
553, 262508
554, 256208
555, 218748
556, 251344
557, 275836
558, 285856
559, 372380
560, 257748
561, 254524
562, 281796
563, 255932
564, 257252
565, 286052
566, 349532
567, 263604
568, 280700
569, 259876
570, 382020
571, 271504
572, 367968
573, 260896
574, 383116
575, 255632
576, 375268
577, 259092
578, 383328
579, 254908
580, 370564
581, 288984
582, 360144
583, 280600
584, 376424
585, 495552
586, 268900
587, 237292
588, 217224
589, 228004
590, 238440
591, 216760
592, 222156
593, 215268
594, 263608
595, 235428
596, 235748
597, 254092
598, 383496
599, 260956
600, 296500
601, 253800
602, 220624
603, 214628
604, 235864
605, 234636
606, 287112
607, 293680
608, 269232
609, 221728
610, 225924
611, 214560
612, 247860
613, 245400
614, 471536
615, 384964
616, 265536
617, 261008
618, 259132
619, 260256
620, 538960
621, 316908
622, 276704
623, 270340
624, 254896
625, 376680
626, 342310
627, 301532
628, 295068
629, 379050
630, 436684
631, 395552
632, 410788
633, 333776
634, 223976
635, 324636
636, 172824
637, 201920
638, 393544
639, 393464
640, 391220
641, 552704
642, 390204
643, 207584
644, 381412
645, 390356
646, 396124
647, 390396
648, 395172
649, 182996
650, 196328
651, 168372
652, 195520
653, 177784
654, 239580
655, 406196
656, 384000
657, 383060
658, 396468
659, 389004
660, 380576
661, 404488
662, 391688
663, 378300
664, 381424
665, 407068
666, 353712
667, 389868
668, 382144
669, 382472
670, 394480
671, 381392
672, 392224
673, 382844
674, 393388
675, 380324
676, 423952
677, 393324
678, 400332
679, 390320
680, 393376
681, 393600
682, 400988
683, 390348
684, 395800
685, 394312
686, 400180
687, 397364
688, 391684
689, 392716
690, 227956
691, 441756
692, 297772
693, 310932
694, 224876
695, 378916
696, 386100
697, 406680
698, 360048
699, 415036
700, 407164
701, 391492
702, 402180
703, 399532
704, 407228
705, 392736
706, 404020
707, 391548
708, 390768
709, 396444
710, 400640
711, 390204
712, 182976
713, 197148
714, 395580
715, 390612
716, 394320
717, 393792
718, 400764
719, 417392
720, 394456
721, 393796
722, 507528
723, 342964
724, 358488
725, 304786
726, 375088
727, 329176
728, 290176
729, 251240
730, 214200
731, 219032
732, 212972
733, 219564
734, 206916
735, 225760
736, 216988
737, 212012
738, 222400
739, 210424
740, 207944
741, 213596
742, 214956
743, 212132
744, 217404
