# trial, latency (cycles)
0, 4642890
1, 4253862
2, 3872704
3, 3954460
4, 4513016
5, 3557394
6, 4273928
7, 3583216
8, 4342244
9, 4136946
10, 4189452
11, 3870770
12, 2670332
13, 2828224
14, 3123072
15, 3016140
16, 4181762
17, 2699326
18, 2928796
19, 2701268
20, 4189000
21, 2955464
22, 4058632
23, 3852316
24, 2916726
25, 2863816
26, 2639204
27, 3011148
28, 3516120
29, 3690500
30, 3676086
31, 3989956
32, 4321628
33, 2884988
34, 3406746
35, 3242462
36, 2697178
37, 2868532
38, 3324172
39, 2731746
40, 3046046
41, 2838702
42, 3554652
43, 3221558
44, 2748440
45, 2776004
46, 3722244
47, 3175496
48, 3139482
49, 3080872
50, 2625596
51, 3520720
52, 2903038
53, 3572010
54, 4002518
55, 2558408
56, 3252784
57, 3033668
58, 3008048
59, 3466856
60, 3066728
61, 3363988
62, 2950928
63, 4332558
64, 3288816
65, 3330042
66, 3010286
67, 2858896
68, 2907000
69, 3311036
70, 3141772
71, 3058482
72, 3161700
73, 3150892
74, 7376126
75, 3499592
76, 3879308
77, 3504380
78, 3320218
79, 5101970
80, 3225484
81, 3717968
82, 3069040
83, 4300060
84, 3058844
85, 2731716
86, 3035968
87, 3334252
88, 2720360
89, 2650374
90, 2889078
91, 3416244
92, 3543952
93, 2575548
94, 2984812
95, 2981290
96, 4276834
97, 4321372
98, 2944072
99, 3263412
