# trial, latency (cycles)
# trial, latency (cycles)
0, 12917722
1, 334388
2, 315680
3, 315560
4, 309652
5, 309228
6, 324136
7, 318820
8, 309860
9, 319628
10, 309720
11, 310160
12, 310084
13, 312304
14, 310224
15, 309112
16, 308904
17, 309756
18, 309832
19, 308616
20, 309552
21, 309444
22, 309752
23, 398036
24, 329280
25, 315644
26, 315568
27, 314912
28, 313996
29, 313080
30, 312704
31, 342024
32, 319364
33, 314408
34, 314836
35, 313956
36, 312800
37, 312388
38, 312440
39, 313268
40, 314124
41, 313768
42, 315128
43, 314484
44, 313092
45, 342908
46, 314004
47, 316664
48, 312340
49, 312536
50, 414152
51, 341456
52, 314940
53, 313704
54, 312944
55, 313516
56, 313484
57, 312624
58, 313024
59, 312752
60, 312212
61, 313624
62, 312592
63, 360372
64, 336056
65, 314768
66, 314076
67, 318084
68, 312312
69, 312316
70, 312160
71, 316316
72, 312384
73, 312384
74, 313112
75, 318236
76, 315328
77, 388536
78, 322596
79, 313332
80, 313128
81, 313136
82, 312528
83, 312080
84, 311936
85, 311244
86, 320996
87, 311108
88, 310312
89, 311316
90, 311932
91, 311640
92, 310644
93, 311116
94, 310684
95, 311360
96, 335632
97, 317824
98, 313784
99, 312808
100, 311684
101, 311584
102, 311568
103, 311464
104, 415308
105, 328588
106, 317172
107, 312976
108, 313224
109, 312844
110, 312212
111, 312972
112, 312616
113, 319468
114, 315400
115, 316104
116, 311736
117, 312852
118, 316672
119, 312884
120, 311960
121, 312196
122, 312556
123, 312512
124, 312336
125, 312108
126, 312812
127, 315484
128, 315256
129, 341600
130, 316876
131, 362248
132, 326992
133, 314080
134, 313152
135, 312516
136, 312512
137, 312640
138, 311700
139, 312112
140, 312068
141, 311336
142, 312604
143, 366300
144, 358772
145, 327480
146, 312412
147, 309752
148, 310084
149, 308568
150, 309928
151, 309712
152, 308764
153, 308700
154, 309308
155, 310680
156, 308428
157, 308704
158, 309696
159, 350452
160, 313544
161, 311216
162, 342712
163, 312032
164, 316288
165, 310624
166, 313528
167, 308164
168, 308972
169, 308280
170, 309316
171, 308904
172, 309536
173, 309088
174, 309040
175, 309020
176, 309396
177, 308752
178, 309264
179, 308688
180, 310468
181, 309468
182, 307864
183, 312056
184, 309040
185, 309032
186, 388532
187, 333500
188, 314672
189, 313224
190, 313224
191, 316704
192, 316036
193, 312356
194, 313004
195, 339588
196, 314028
197, 311416
198, 313128
199, 313292
200, 311904
201, 312064
202, 314908
203, 312668
204, 310596
205, 312244
206, 311972
207, 311032
208, 310840
209, 310900
210, 312308
211, 310988
212, 311852
213, 312004
214, 369364
215, 316840
216, 313884
217, 312740
218, 315748
219, 312520
220, 312608
221, 311556
222, 312368
223, 311168
224, 312604
225, 311712
226, 313672
227, 312100
228, 343012
229, 313228
230, 313564
231, 312848
232, 312440
233, 312280
234, 312056
235, 311216
236, 312328
237, 311468
238, 310812
239, 311308
240, 312456
241, 357692
242, 336032
243, 313872
244, 312964
245, 312104
246, 312992
247, 312072
248, 312940
249, 312264
250, 311664
251, 311660
252, 312540
253, 311396
254, 312408
255, 315296
256, 315564
257, 312436
258, 312332
259, 312012
260, 312452
261, 361260
262, 312964
263, 311328
264, 312568
265, 311976
266, 313244
267, 311048
268, 312272
269, 421188
270, 315340
271, 313300
272, 312008
273, 310832
274, 311152
275, 311280
276, 311860
277, 311364
278, 311996
279, 310992
280, 310692
281, 310120
282, 310660
283, 310928
284, 310764
285, 310344
286, 310840
287, 310664
288, 310304
289, 309968
290, 311024
291, 310908
292, 310508
293, 337884
294, 317148
295, 314196
296, 362272
297, 319436
298, 315064
299, 312872
300, 314400
301, 313108
302, 311748
303, 313060
304, 318272
305, 313336
306, 312660
307, 311568
308, 311496
309, 313180
310, 316816
311, 312224
312, 312920
313, 312864
314, 311508
315, 312156
316, 312228
317, 311584
318, 312436
319, 358848
320, 320984
321, 312240
322, 332324
323, 386724
324, 320668
325, 313460
326, 340440
327, 315376
328, 311972
329, 312372
330, 312012
331, 313372
332, 311920
333, 311944
334, 311948
335, 314180
336, 311564
337, 316640
338, 311508
339, 314492
340, 311296
341, 312172
342, 312108
343, 311012
344, 311308
345, 311540
346, 311904
347, 311052
348, 312748
349, 311908
350, 311312
351, 400616
352, 316012
353, 318708
354, 316420
355, 312612
356, 312264
357, 312060
358, 312496
359, 331368
360, 314792
361, 312688
362, 312320
363, 311732
364, 310952
365, 312524
366, 312000
367, 312128
368, 311884
369, 311676
370, 312304
371, 312664
372, 311372
373, 310960
374, 312044
375, 312468
376, 311484
377, 311692
378, 357980
379, 319336
380, 431916
381, 330164
382, 316132
383, 314976
384, 315688
385, 313024
386, 311560
387, 311392
388, 311184
389, 312000
390, 312092
391, 330984
392, 318692
393, 313056
394, 314200
395, 312600
396, 313084
397, 312624
398, 312656
399, 312576
400, 312840
401, 312764
402, 313708
403, 312084
404, 312224
405, 351928
406, 319332
407, 313188
408, 312288
409, 312416
410, 311388
411, 311804
412, 311572
413, 311120
414, 310780
415, 311312
416, 311644
417, 311848
418, 311864
419, 312072
420, 314032
421, 314360
422, 312620
423, 313020
424, 334832
425, 317032
426, 313292
427, 313188
428, 314252
429, 313756
430, 313720
431, 311644
432, 397608
433, 331052
434, 317104
435, 315244
436, 314960
437, 314324
438, 312992
439, 314100
440, 313428
441, 313584
442, 313436
443, 313504
444, 314380
445, 314084
446, 313580
447, 317724
448, 315424
449, 313616
450, 314488
451, 314632
452, 312988
453, 313756
454, 313392
455, 314036
456, 314652
457, 335152
458, 320112
459, 314664
460, 373400
461, 318352
462, 314752
463, 314116
464, 315232
465, 312724
466, 313284
467, 313700
468, 313872
469, 313184
470, 313732
471, 313192
472, 312356
473, 312544
474, 312364
475, 312944
476, 313080
477, 313392
478, 312864
479, 312148
480, 313104
481, 312480
482, 311944
483, 313008
484, 312408
485, 477056
486, 366180
487, 323068
488, 317612
489, 337868
490, 318180
491, 314340
492, 313840
493, 313028
494, 312616
495, 313404
496, 313832
497, 312124
498, 312520
499, 311944
500, 312284
501, 313632
502, 313848
503, 313536
504, 313420
505, 312564
506, 312460
507, 312068
508, 313532
509, 312400
510, 312924
511, 315336
512, 315416
513, 312912
514, 357592
515, 318476
516, 313656
517, 312032
518, 313588
519, 313112
520, 313580
521, 313484
522, 335928
523, 319168
524, 313200
525, 312800
526, 313300
527, 314220
528, 316760
529, 313100
530, 312796
531, 312460
532, 312512
533, 313404
534, 312384
535, 312260
536, 312420
537, 312964
538, 312696
539, 312568
540, 313920
541, 358712
542, 321444
543, 314992
544, 313060
545, 311592
546, 314624
547, 313660
548, 313528
549, 312468
550, 312788
551, 314012
552, 313080
553, 312648
554, 312724
555, 333788
556, 317484
557, 313632
558, 312980
559, 312204
560, 312544
561, 313240
562, 313260
563, 312696
564, 313960
565, 312408
566, 313976
567, 313272
568, 312908
569, 361652
570, 315292
571, 313900
572, 312756
573, 316856
574, 312000
575, 316856
576, 317304
577, 312408
578, 312308
579, 314220
580, 313096
581, 312520
582, 313480
583, 312656
584, 315072
585, 314620
586, 313396
587, 312212
588, 331608
589, 315992
590, 313304
591, 312724
592, 312256
593, 312516
594, 313140
595, 312504
596, 374072
597, 346628
598, 336992
599, 352508
600, 318452
601, 315112
602, 314632
603, 314344
604, 313744
605, 317264
606, 313288
607, 318372
608, 312828
609, 312196
610, 313420
611, 313156
612, 313432
613, 312824
614, 314444
615, 314124
616, 312592
617, 313236
618, 312500
619, 312744
620, 337920
621, 319120
622, 313932
623, 362360
624, 320440
625, 314404
626, 313676
627, 313012
628, 312992
629, 312696
630, 313808
631, 312932
632, 313548
633, 313344
634, 312228
635, 313268
636, 312484
637, 313052
638, 312480
639, 315028
640, 316852
641, 312228
642, 312572
643, 312904
644, 312984
645, 314396
646, 316732
647, 313880
648, 313052
649, 314472
650, 356212
651, 323992
652, 314704
653, 334276
654, 318356
655, 312832
656, 312928
657, 312648
658, 313140
659, 312904
660, 312292
661, 312524
662, 313312
663, 328148
664, 419604
665, 322508
666, 316636
667, 315964
668, 313952
669, 314284
670, 314568
671, 313952
672, 313824
673, 314968
674, 313320
675, 313320
676, 314204
677, 364076
678, 322644
679, 315760
680, 317180
681, 314876
682, 313044
683, 313304
684, 312476
685, 312772
686, 341024
687, 322992
688, 314908
689, 315448
690, 312928
691, 313236
692, 314584
693, 313048
694, 312708
695, 317444
696, 313016
697, 312612
698, 312864
699, 313532
700, 341876
701, 377232
702, 315292
703, 320312
704, 362776
705, 322020
706, 313844
707, 314424
708, 312576
709, 313104
710, 317092
711, 312904
712, 311800
713, 311676
714, 311812
715, 312492
716, 311860
717, 312448
718, 339860
719, 317720
720, 342044
721, 360588
722, 326924
723, 315668
724, 314544
725, 313160
726, 312880
727, 313428
728, 313548
729, 312880
730, 313460
731, 313512
732, 372316
733, 314692
734, 314640
735, 313644
736, 313784
737, 314172
738, 312400
739, 311712
740, 314832
741, 315260
742, 312508
743, 314288
744, 312728
745, 312056
746, 311776
747, 311192
748, 312528
749, 313944
750, 311768
751, 356892
752, 320400
753, 313856
754, 313684
755, 313280
756, 313168
757, 313344
758, 312412
759, 361244
760, 317176
761, 315012
762, 313024
763, 324060
764, 315136
765, 314024
766, 333860
767, 316220
768, 330664
769, 314744
770, 313788
771, 313360
772, 325280
773, 471304
774, 478692
775, 499468
776, 480180
777, 503572
778, 464072
779, 491432
780, 514704
781, 558388
782, 498608
783, 650004
784, 519648
785, 483124
786, 479260
787, 482512
788, 447540
789, 471200
790, 335456
791, 316544
792, 314448
793, 312692
794, 313508
795, 313464
796, 313184
797, 312020
798, 313184
799, 311712
800, 312952
801, 311020
802, 312972
803, 312876
804, 370796
805, 314976
806, 336060
807, 325304
808, 313292
809, 312440
810, 312340
811, 314184
812, 314612
813, 311928
814, 315228
815, 311700
816, 311876
817, 313384
818, 312920
819, 313636
820, 313360
821, 313088
822, 312000
823, 313196
824, 311516
825, 311144
826, 313588
827, 314576
828, 314172
829, 312912
830, 312556
831, 405116
832, 333388
833, 317112
834, 315216
835, 315220
836, 314968
837, 312952
838, 314316
839, 336188
840, 320132
841, 315384
842, 314784
843, 314488
844, 315116
845, 314492
846, 314164
847, 331960
848, 314800
849, 313008
850, 311284
851, 311876
852, 311344
853, 311532
854, 311184
855, 316104
856, 311548
857, 312196
858, 360308
859, 321280
860, 314892
861, 313440
862, 313076
863, 312804
864, 313144
865, 312044
866, 312288
867, 312124
868, 312600
869, 312320
870, 312272
871, 311772
872, 336016
873, 314320
874, 313640
875, 313024
876, 311808
877, 312620
878, 312780
879, 313580
880, 313392
881, 312984
882, 312824
883, 311688
884, 313316
885, 313176
886, 370108
887, 314808
888, 313144
889, 313040
890, 312944
891, 316692
892, 312620
893, 312780
894, 312464
895, 314540
896, 315012
897, 313392
898, 312456
899, 311972
900, 313324
901, 313988
902, 318616
903, 313124
904, 312424
905, 333836
906, 315348
907, 313380
908, 313784
909, 313600
910, 312728
911, 311920
912, 313868
913, 360092
914, 318572
915, 312872
916, 311820
917, 311652
918, 313288
919, 312820
920, 312520
921, 311540
922, 312268
923, 312284
924, 312744
925, 313176
926, 312640
927, 312300
928, 312444
929, 312188
930, 313368
931, 313060
932, 312684
933, 334840
934, 312392
935, 312172
936, 312728
937, 332540
938, 351536
939, 315244
940, 358784
941, 320412
942, 315152
943, 313140
944, 317836
945, 316768
946, 312968
947, 311764
948, 314512
949, 311492
950, 312324
951, 315932
952, 311796
953, 313308
954, 311500
955, 313140
956, 312592
957, 312740
958, 311640
959, 315032
960, 315792
961, 311764
962, 312420
963, 313764
964, 311568
965, 312152
966, 311564
967, 311936
968, 411032
969, 315584
970, 335512
971, 317536
972, 365624
973, 345788
974, 326024
975, 315212
976, 312852
977, 311204
978, 313552
979, 312520
980, 313284
981, 311836
982, 317124
983, 313768
984, 312332
985, 311040
986, 310932
987, 312312
988, 312440
989, 311372
990, 311704
991, 310968
992, 311112
993, 313880
994, 311432
995, 409016
996, 313872
997, 320196
998, 312408
999, 313852
