# trial, latency (cycles)
# trial, latency (cycles)
0, 11205082
1, 194284
2, 156752
3, 151364
4, 171236
5, 150488
6, 150160
7, 150056
8, 149864
9, 149892
10, 150780
11, 150188
12, 150036
13, 150036
14, 148640
15, 149028
16, 149724
17, 149880
18, 149652
19, 150680
20, 149852
21, 149128
22, 150068
23, 264488
24, 158044
25, 152052
26, 150364
27, 151080
28, 150360
29, 150192
30, 150380
31, 178928
32, 152492
33, 150960
34, 150528
35, 150496
36, 150696
37, 150516
38, 149912
39, 150388
40, 149960
41, 150204
42, 150884
43, 149804
44, 149844
45, 171840
46, 150696
47, 149912
48, 149368
49, 150696
50, 220960
51, 164760
52, 152892
53, 151644
54, 151872
55, 165292
56, 150620
57, 149848
58, 149720
59, 149944
60, 151240
61, 151100
62, 150272
63, 149308
64, 167392
65, 151620
66, 151080
67, 151328
68, 150560
69, 150520
70, 150060
71, 150024
72, 149792
73, 149596
74, 149548
75, 149464
76, 151000
77, 162124
78, 154684
79, 151072
80, 151564
81, 151412
82, 151356
83, 152352
84, 152024
85, 153584
86, 151076
87, 150652
88, 151284
89, 149988
90, 153568
91, 149920
92, 152676
93, 150460
94, 150212
95, 151564
96, 155356
97, 153212
98, 152932
99, 152312
100, 152520
101, 153024
102, 152196
103, 152264
104, 158596
105, 153512
106, 151124
107, 152800
108, 151716
109, 151916
110, 152648
111, 152296
112, 151036
113, 151520
114, 151984
115, 152068
116, 151976
117, 152760
118, 150604
119, 150628
120, 149892
121, 150412
122, 151416
123, 150576
124, 150824
125, 151020
126, 149916
127, 151048
128, 181804
129, 152456
130, 151956
131, 160616
132, 152696
133, 151996
134, 150816
135, 150564
136, 157296
137, 150656
138, 150584
139, 150508
140, 151308
141, 150332
142, 149800
143, 269700
144, 170140
145, 153552
146, 150876
147, 151712
148, 150776
149, 151500
150, 150832
151, 151104
152, 150884
153, 150840
154, 150508
155, 150256
156, 150732
157, 158508
158, 152708
159, 177764
160, 151468
161, 150604
162, 150176
163, 151096
164, 150884
165, 150416
166, 149576
167, 150560
168, 150260
169, 149656
170, 149968
171, 171800
172, 149532
173, 152860
174, 150396
175, 150104
176, 150244
177, 150148
178, 149784
179, 149680
180, 150364
181, 150392
182, 150324
183, 151412
184, 176756
185, 151412
186, 150344
187, 150312
188, 150660
189, 149860
190, 150556
191, 150164
192, 158616
193, 151516
194, 149940
195, 150384
196, 149932
197, 151144
198, 150228
199, 149676
200, 150372
201, 149672
202, 149096
203, 149152
204, 149812
205, 149924
206, 148744
207, 149464
208, 149100
209, 149828
210, 153504
211, 158228
212, 150276
213, 150780
214, 150212
215, 150412
216, 150992
217, 150616
218, 150084
219, 150092
220, 148972
221, 149568
222, 149364
223, 154368
224, 176180
225, 151904
226, 149192
227, 149860
228, 149896
229, 150080
230, 152952
231, 172860
232, 152736
233, 150428
234, 150192
235, 149112
236, 149540
237, 150304
238, 157100
239, 151460
240, 150960
241, 151184
242, 151160
243, 150108
244, 150404
245, 150740
246, 150304
247, 150188
248, 150244
249, 165404
250, 149964
251, 149432
252, 150428
