# trial, latency (cycles)
0, 922024
1, 167772
2, 152336
3, 149840
4, 149984
5, 149980
6, 149308
7, 148472
8, 156068
9, 147856
10, 178280
11, 155548
12, 149320
13, 149048
14, 159660
15, 148876
16, 149028
17, 148472
18, 148156
19, 148392
20, 149004
21, 149892
22, 149316
23, 148508
24, 253364
25, 150872
26, 149784
27, 149856
28, 155532
29, 173308
30, 168668
31, 151304
32, 150656
33, 148844
34, 149856
35, 151036
36, 149056
37, 148296
38, 148804
39, 148720
40, 148092
41, 147736
42, 148276
43, 153124
44, 149444
45, 149540
46, 149040
47, 149336
48, 149236
49, 148912
50, 149896
51, 168300
52, 149876
53, 149488
54, 150464
55, 148824
56, 149852
57, 148840
58, 148996
59, 148860
60, 148992
61, 148156
62, 148860
63, 148452
64, 149780
65, 148420
66, 148084
67, 148220
68, 148984
69, 148532
70, 148672
71, 148624
72, 148588
73, 148548
74, 148800
75, 148580
76, 158684
77, 150300
78, 326896
79, 153312
80, 149528
81, 149544
82, 150116
83, 149188
84, 250860
85, 151736
86, 149612
87, 148968
88, 149476
89, 148912
90, 148840
91, 148456
92, 148956
93, 147852
94, 148340
95, 148512
96, 148376
97, 148732
98, 147748
99, 148660
100, 148392
101, 148312
102, 148532
103, 148388
104, 148400
105, 219776
106, 150312
107, 149184
108, 153440
109, 150340
110, 149992
111, 149172
112, 149400
113, 148900
114, 148884
115, 148460
116, 149256
117, 149160
118, 149436
119, 149192
120, 148672
121, 149092
122, 149544
123, 148684
124, 149060
125, 147916
126, 149312
127, 148432
128, 148256
129, 149488
130, 148224
131, 149320
132, 194540
133, 195844
134, 158404
135, 151652
136, 149652
137, 150644
138, 149960
139, 149620
140, 177824
141, 153056
142, 149612
143, 148572
144, 148744
145, 149928
146, 148888
147, 167064
148, 148732
149, 149528
150, 162424
151, 149296
152, 148104
153, 148856
154, 149480
155, 148756
156, 148996
157, 161284
158, 148892
159, 148776
160, 156412
161, 151208
162, 149448
163, 149848
164, 149292
165, 149084
166, 148564
167, 148692
168, 148536
169, 148336
170, 149080
171, 149100
172, 148112
173, 170824
174, 151116
175, 149696
176, 148748
177, 149356
178, 148024
179, 148528
180, 148264
181, 148232
182, 148840
183, 148716
184, 148680
185, 148580
186, 148196
187, 159484
188, 150168
189, 149036
190, 149836
191, 149876
192, 149660
193, 148880
194, 148988
195, 149060
196, 149404
197, 148724
198, 148584
199, 149464
200, 148796
201, 148164
202, 149100
203, 149200
204, 148464
205, 150580
206, 168704
207, 151808
208, 149416
209, 148880
210, 148996
211, 149664
212, 148576
213, 148676
214, 215708
215, 160332
216, 149944
217, 149316
218, 148484
219, 148488
220, 149084
221, 148632
222, 148748
223, 148896
224, 148400
225, 148452
226, 148100
227, 148176
228, 148836
229, 148204
230, 148036
231, 147716
232, 148208
233, 147936
234, 148032
235, 148296
236, 149284
237, 148852
238, 148448
239, 172424
240, 150884
241, 148828
242, 155232
243, 149852
244, 148372
245, 148564
246, 147552
247, 148036
248, 148476
249, 148568
250, 149036
251, 148220
252, 148328
253, 148532
254, 148192
255, 149136
256, 148104
257, 147944
258, 147880
259, 148400
260, 147652
261, 148472
262, 147608
263, 148376
264, 148224
265, 148204
266, 147588
267, 147708
268, 148568
269, 148276
270, 155364
271, 149916
272, 165364
273, 150636
274, 149144
275, 148560
276, 148128
277, 148392
278, 147540
279, 148304
280, 149020
281, 149252
282, 148416
283, 148200
284, 148260
285, 147608
286, 148980
287, 148376
288, 147556
289, 148008
290, 148248
291, 148216
292, 148368
293, 148340
294, 147928
295, 148012
296, 148304
297, 248240
298, 159884
299, 152620
300, 150468
301, 149976
302, 149356
303, 149828
304, 148980
305, 154420
306, 149360
307, 150316
308, 149048
309, 148240
310, 149380
311, 148996
312, 149340
313, 149672
314, 149852
315, 148560
316, 148548
317, 149420
318, 149012
319, 148744
320, 149628
321, 149544
322, 149360
323, 149632
324, 161368
325, 151600
326, 150916
327, 149480
328, 149388
329, 149776
330, 149948
331, 149272
332, 149248
333, 149472
334, 148956
335, 149388
336, 148908
337, 149096
338, 152900
339, 149640
340, 149620
341, 148680
342, 149764
343, 148952
344, 149392
345, 148448
346, 147752
347, 147836
348, 148792
349, 170104
350, 152060
351, 157980
352, 152004
353, 151808
354, 150216
355, 150212
356, 150948
357, 150348
358, 149280
359, 150228
360, 149596
361, 150120
362, 149948
363, 150072
364, 149164
365, 149220
366, 149588
367, 149388
368, 149204
369, 149828
370, 173568
371, 151184
372, 149836
373, 149316
374, 149468
375, 150560
376, 149048
377, 149412
378, 329328
379, 152496
380, 149452
381, 148208
382, 149424
383, 148132
384, 148076
385, 147624
386, 148376
387, 147632
388, 147764
389, 147304
390, 146788
391, 148524
392, 148328
393, 148524
394, 147676
395, 147664
396, 147736
397, 148104
398, 148184
399, 147112
400, 147936
401, 148188
402, 147472
403, 151992
404, 148488
405, 188552
406, 153680
407, 148436
408, 149228
409, 148584
410, 149320
411, 149544
412, 148476
413, 148236
414, 148260
415, 148236
416, 148404
417, 147528
418, 148040
419, 148000
420, 148308
421, 147652
422, 148208
423, 147412
424, 148168
425, 148516
426, 148204
427, 147740
428, 147840
429, 148904
430, 147380
431, 147288
432, 147828
433, 213168
434, 152616
435, 149904
436, 153084
437, 150228
438, 149664
439, 149824
440, 149288
441, 149456
442, 148896
443, 149808
444, 150060
445, 149824
446, 151176
447, 149044
448, 150404
449, 149212
450, 149080
451, 149368
452, 148520
453, 149248
454, 150020
455, 150280
456, 149000
457, 149632
458, 149036
459, 149816
460, 220600
461, 151760
462, 150052
463, 149852
464, 149844
465, 149812
466, 150036
467, 149660
468, 166548
469, 150588
470, 150404
471, 150564
472, 149684
473, 150140
474, 149756
475, 149656
476, 150276
477, 150220
478, 149424
479, 149276
480, 149996
481, 148928
482, 149264
483, 149948
484, 148708
485, 150512
486, 149596
487, 190536
488, 153676
489, 149876
490, 149620
491, 149124
492, 149792
493, 149292
494, 149816
495, 148892
496, 149268
497, 149248
498, 149632
499, 149176
500, 149564
501, 173284
502, 149752
503, 149580
504, 150108
505, 149216
506, 149720
507, 149576
508, 149980
509, 149932
510, 149968
511, 150568
512, 150192
513, 149416
514, 149980
515, 160840
516, 150768
517, 148844
518, 149600
519, 148900
520, 150276
521, 148556
522, 148560
523, 148664
524, 149944
525, 149724
526, 148852
527, 148588
528, 148364
529, 148640
530, 148320
531, 148256
532, 149192
533, 148032
534, 152044
535, 150532
536, 148996
537, 149216
538, 148708
539, 148976
540, 149540
541, 149412
542, 162224
543, 150292
544, 149728
545, 149200
546, 149968
547, 150616
548, 150300
549, 150724
550, 149476
551, 148484
552, 149340
553, 149048
554, 149776
555, 152756
556, 149524
557, 148544
558, 149504
559, 148156
560, 148896
561, 148024
562, 148220
563, 147568
564, 148896
565, 149384
566, 147904
567, 159632
568, 150412
569, 194176
570, 152040
571, 150196
572, 149628
573, 149688
574, 149884
575, 149312
576, 148628
577, 149452
578, 149080
579, 148668
580, 148800
581, 149008
582, 148528
583, 149664
584, 149932
585, 149748
586, 148408
587, 148448
588, 148808
589, 149232
590, 148956
591, 149504
592, 148476
593, 148696
594, 149040
595, 148512
596, 149392
597, 157244
598, 150236
599, 173364
600, 151528
601, 149208
602, 149160
603, 149068
604, 149668
605, 149220
606, 149900
607, 149408
608, 148320
609, 148744
610, 149456
611, 148788
612, 148956
613, 149452
614, 149540
615, 148408
616, 148864
617, 148220
618, 148476
619, 150336
620, 148584
621, 149472
622, 149284
623, 148356
624, 193364
625, 150504
626, 150204
627, 149408
628, 148880
629, 149500
630, 150144
631, 149448
632, 167276
633, 152632
634, 149048
635, 149028
636, 149152
637, 148416
638, 148424
639, 148768
640, 148608
641, 148604
642, 149684
643, 148608
644, 148568
645, 148580
646, 148932
647, 148800
648, 149704
649, 149628
650, 147788
651, 148960
652, 230192
653, 152520
654, 151164
655, 151028
656, 149852
657, 149272
658, 150620
659, 150640
660, 165456
661, 150232
662, 149444
663, 150800
664, 149820
665, 157252
666, 151748
667, 150344
668, 149788
669, 149912
670, 149804
671, 149568
672, 149564
673, 149600
674, 149024
675, 149380
676, 155260
677, 149592
678, 199764
679, 154712
680, 150668
681, 149384
682, 149856
683, 149972
684, 149816
685, 148528
686, 149496
687, 148624
688, 149296
689, 148996
690, 165060
691, 150924
692, 150920
693, 149420
694, 149544
695, 150536
696, 324436
697, 166952
698, 150444
699, 149752
700, 160020
701, 149592
702, 149092
703, 148728
704, 209260
705, 156864
706, 149140
707, 149328
708, 148560
709, 147880
710, 148516
711, 149420
712, 149188
713, 148272
714, 148504
715, 148168
716, 149224
717, 148988
718, 148524
719, 149304
720, 148448
721, 148224
722, 148624
723, 149260
724, 149260
725, 148352
726, 148212
727, 148240
728, 148468
729, 168540
730, 150812
731, 148932
732, 161284
733, 150024
734, 148928
735, 149864
736, 149332
737, 147804
738, 148280
739, 147676
740, 148192
741, 148284
742, 148172
743, 148296
744, 148108
745, 148408
746, 148232
747, 147664
748, 148016
749, 148268
750, 148196
751, 148020
752, 148056
753, 148272
754, 148184
755, 147744
756, 148368
757, 148464
758, 148768
759, 231244
760, 150312
761, 150804
762, 153472
763, 149572
764, 148788
765, 148292
766, 148624
767, 148004
768, 148044
769, 149024
770, 148340
771, 149868
772, 148512
773, 148452
774, 147708
775, 146936
776, 147372
777, 147532
778, 148120
779, 147972
780, 147936
781, 148004
782, 148340
783, 147360
784, 147916
785, 148876
786, 148020
787, 156060
788, 149040
789, 148112
790, 150176
791, 148924
792, 148724
793, 148160
794, 147108
795, 153608
796, 149936
797, 148212
798, 147588
799, 147528
800, 148092
801, 147452
802, 147860
803, 148076
804, 148680
805, 148672
806, 148588
807, 148252
808, 149472
809, 148168
810, 148532
811, 147552
812, 148688
813, 148896
814, 236472
815, 150580
816, 149856
817, 149168
818, 147784
819, 148376
820, 148996
821, 147932
822, 147724
823, 148472
824, 170988
825, 148624
826, 148740
827, 149168
828, 152760
829, 151112
830, 149400
831, 149416
832, 149348
833, 224600
834, 223296
835, 212716
836, 225048
837, 219608
838, 222668
839, 237116
840, 227760
841, 229556
842, 224452
843, 220856
844, 223808
845, 228768
846, 225848
847, 230572
848, 263996
849, 169148
850, 150732
851, 149768
852, 176680
853, 151868
854, 149996
855, 150152
856, 149548
857, 150028
858, 149016
859, 149012
860, 192292
861, 157884
862, 151000
863, 150080
864, 150420
865, 148688
866, 149592
867, 148784
868, 148824
869, 150136
870, 148532
871, 148504
872, 149344
873, 149428
874, 148768
875, 149108
876, 149484
877, 149176
878, 149364
879, 148672
880, 149348
881, 149132
882, 148844
883, 148740
884, 148960
885, 169884
886, 152052
887, 150908
888, 156376
889, 150276
890, 149004
891, 149024
892, 149196
893, 150192
894, 149004
895, 149288
896, 148900
897, 148092
898, 148400
899, 147724
900, 148096
901, 147928
902, 148548
903, 147656
904, 147416
905, 148204
906, 149012
907, 148656
908, 147472
909, 147648
910, 147876
911, 148368
912, 147520
913, 148448
914, 148172
915, 188964
916, 154892
917, 149560
918, 209508
919, 155144
920, 150500
921, 148552
922, 149320
923, 149180
924, 149704
925, 148640
926, 150156
927, 148988
928, 148608
929, 148996
930, 148972
931, 149404
932, 149228
933, 148976
934, 148296
935, 148960
936, 148020
937, 148508
938, 148832
939, 148268
940, 148508
941, 148360
942, 148180
943, 158836
944, 151180
945, 149160
946, 149504
947, 148428
948, 147988
949, 149468
950, 150244
951, 152872
952, 150588
953, 150644
954, 152000
955, 149708
956, 149076
957, 149208
958, 149696
959, 149904
960, 148876
961, 148616
962, 172896
963, 148724
964, 148320
965, 148988
966, 148968
967, 166940
968, 148012
969, 148884
970, 156004
971, 150352
972, 149968
973, 149208
974, 149716
975, 148736
976, 148592
977, 150428
978, 148560
979, 148908
980, 148184
981, 148012
982, 148576
983, 148124
984, 155912
985, 149348
986, 149496
987, 148672
988, 149356
989, 148760
990, 171948
991, 147948
992, 149856
993, 148104
994, 148700
995, 147808
996, 148292
997, 244040
998, 152032
999, 149664
