# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 40, 141452, 99452, 320, 1687124, 257016, 272
1, 36, 236, 87396, 308, 465004, 832, 220
2, 36, 228, 124852, 516, 1353544, 944, 228
3, 40, 232, 77816, 396, 468588, 928, 252
4, 40, 396, 99124, 340, 524332, 832, 220
5, 40, 228, 99540, 336, 456596, 916, 256
6, 36, 212, 94580, 360, 457988, 1136, 236
7, 36, 220, 83348, 296, 456388, 836, 216
8, 36, 240, 96948, 312, 467768, 960, 264
9, 36, 212, 85572, 356, 452856, 936, 252
10, 40, 224, 95336, 304, 452568, 832, 220
11, 36, 212, 97760, 348, 481924, 1132, 272
12, 40, 244, 92632, 300, 579436, 948, 228
13, 52, 236, 92632, 304, 468756, 836, 216
14, 36, 236, 100200, 332, 456880, 1076, 240
15, 36, 212, 108404, 296, 472816, 1096, 244
16, 264, 228, 78000, 268, 456228, 1008, 244
17, 48, 244, 95172, 332, 451976, 880, 240
18, 36, 212, 90632, 324, 454728, 964, 432
19, 44, 232, 90904, 304, 454600, 836, 216
20, 40, 228, 97820, 332, 512680, 1120, 236
21, 36, 248, 93200, 304, 488396, 836, 216
22, 44, 236, 97472, 356, 458076, 1036, 244
23, 36, 212, 80424, 336, 448164, 1144, 264
24, 44, 236, 98012, 300, 456676, 832, 220
25, 36, 216, 92456, 276, 454252, 916, 264
26, 40, 324, 93308, 300, 453120, 832, 220
27, 36, 212, 91740, 340, 448196, 1052, 252
28, 40, 236, 92524, 304, 498320, 1092, 236
29, 36, 236, 99440, 352, 452768, 904, 244
30, 36, 212, 88092, 328, 450360, 936, 236
31, 36, 284, 100468, 300, 458616, 836, 216
32, 36, 212, 92364, 312, 487608, 992, 280
33, 40, 232, 88488, 300, 452444, 836, 220
34, 44, 316, 98992, 384, 457096, 984, 224
35, 36, 212, 85096, 316, 453676, 944, 248
36, 40, 236, 95488, 300, 457404, 832, 220
37, 40, 232, 77464, 272, 451744, 928, 248
38, 36, 244, 96632, 296, 458500, 932, 240
39, 36, 212, 95876, 276, 454736, 1012, 240
40, 44, 236, 84792, 304, 452404, 836, 216
41, 36, 232, 103668, 304, 456688, 832, 220
42, 36, 212, 95760, 336, 454108, 988, 236
43, 36, 228, 92048, 296, 459952, 832, 220
44, 36, 228, 97920, 396, 469060, 1240, 264
45, 36, 212, 84828, 328, 449932, 1228, 228
46, 36, 232, 97844, 300, 455792, 836, 216
47, 36, 212, 92284, 324, 487124, 972, 280
48, 36, 216, 78252, 320, 450124, 892, 240
49, 40, 244, 97640, 312, 453356, 1256, 216
50, 36, 212, 87664, 612, 472236, 908, 236
51, 40, 224, 92956, 304, 456464, 836, 216
52, 40, 244, 100000, 312, 460476, 1012, 232
53, 36, 212, 97828, 312, 459184, 988, 256
54, 36, 212, 91780, 316, 460884, 992, 228
55, 36, 212, 79796, 344, 452168, 1092, 232
56, 36, 232, 84028, 264, 450464, 1168, 244
57, 36, 232, 96564, 304, 463968, 836, 216
58, 36, 232, 98560, 304, 454892, 836, 220
59, 36, 212, 103656, 284, 460492, 908, 248
60, 36, 212, 95044, 340, 491528, 912, 228
61, 36, 212, 210012, 308, 466948, 1076, 240
62, 36, 212, 86208, 352, 452484, 940, 240
63, 36, 224, 94316, 304, 454684, 832, 220
64, 36, 224, 98636, 320, 463816, 1180, 228
65, 40, 244, 77372, 288, 452600, 892, 252
66, 36, 236, 96376, 320, 456040, 1316, 220
67, 36, 212, 90864, 328, 476128, 936, 268
68, 40, 260, 87848, 304, 453128, 836, 220
69, 36, 232, 98692, 328, 542996, 836, 220
70, 48, 260, 99024, 280, 470724, 832, 216
71, 36, 212, 92860, 336, 454756, 932, 236
72, 40, 268, 90456, 300, 453864, 836, 220
73, 44, 324, 99612, 356, 459040, 1344, 232
74, 36, 212, 77388, 308, 453548, 904, 264
75, 48, 236, 96780, 384, 456748, 832, 220
76, 36, 212, 110352, 500, 450508, 1004, 236
77, 36, 244, 84772, 304, 582332, 900, 260
78, 36, 300, 96324, 304, 454148, 836, 220
79, 36, 212, 93860, 488, 474312, 968, 240
80, 36, 212, 88604, 416, 446192, 1092, 232
81, 40, 300, 97052, 304, 451940, 836, 216
82, 36, 212, 93292, 284, 466116, 1000, 252
83, 36, 232, 92620, 300, 463144, 832, 220
84, 40, 260, 98752, 376, 455572, 996, 240
85, 36, 216, 80416, 416, 505212, 904, 248
86, 36, 248, 87920, 300, 453568, 832, 220
87, 36, 304, 97760, 352, 457300, 1076, 236
88, 36, 212, 78616, 328, 448512, 900, 240
89, 36, 268, 94840, 300, 481908, 968, 232
90, 36, 212, 89572, 284, 447636, 912, 260
91, 44, 376, 92732, 300, 467916, 836, 216
92, 36, 216, 92316, 324, 456372, 1280, 236
93, 36, 248, 85832, 304, 516736, 836, 216
94, 40, 252, 87684, 308, 461756, 836, 216
95, 36, 236, 99704, 356, 476936, 1320, 216
96, 36, 212, 89096, 280, 464104, 1020, 244
97, 44, 264, 111380, 264, 462540, 892, 264
98, 40, 236, 95964, 344, 455720, 1080, 236
99, 36, 212, 118032, 384, 464828, 1096, 884
100, 36, 232, 85124, 304, 480020, 896, 236
101, 36, 228, 99920, 336, 499328, 832, 216
102, 36, 232, 98232, 352, 460036, 888, 240
103, 36, 212, 80232, 384, 452140, 1008, 284
104, 44, 316, 95884, 300, 453412, 836, 216
105, 36, 216, 91008, 388, 451940, 984, 224
106, 36, 228, 94256, 308, 469544, 832, 220
107, 44, 228, 97996, 316, 455912, 980, 240
108, 36, 212, 87000, 276, 450424, 1172, 232
109, 36, 212, 68596, 268, 329092, 836, 220
110, 36, 216, 69192, 268, 327260, 844, 220
111, 36, 212, 67980, 268, 325232, 840, 216
112, 36, 216, 68076, 264, 326016, 844, 216
113, 36, 212, 67440, 264, 325112, 848, 216
114, 36, 212, 67372, 268, 325404, 840, 216
115, 36, 212, 67332, 268, 324264, 840, 220
116, 36, 212, 67656, 264, 324576, 836, 220
117, 36, 216, 67652, 264, 324080, 840, 216
118, 36, 212, 67336, 264, 324252, 840, 220
119, 36, 212, 66900, 264, 324072, 836, 220
120, 36, 216, 67308, 264, 324140, 840, 216
121, 36, 216, 67568, 264, 375424, 844, 216
122, 36, 216, 67484, 268, 355248, 844, 220
123, 36, 212, 67348, 268, 325792, 844, 216
124, 36, 212, 67096, 264, 324408, 840, 220
125, 36, 212, 68020, 264, 325752, 844, 216
126, 36, 212, 67180, 264, 324524, 836, 220
127, 36, 216, 67904, 264, 324520, 844, 220
128, 36, 212, 67472, 268, 325840, 836, 216
129, 36, 216, 67812, 268, 323228, 840, 216
130, 36, 212, 66964, 264, 323740, 840, 220
131, 36, 212, 67640, 268, 324768, 844, 220
132, 36, 212, 67760, 272, 325836, 840, 220
133, 36, 212, 67516, 264, 324028, 844, 220
134, 36, 212, 67976, 268, 323804, 844, 216
135, 36, 212, 66952, 308, 325876, 840, 220
136, 36, 212, 91536, 332, 334452, 844, 216
137, 36, 212, 67208, 268, 324780, 844, 216
138, 36, 212, 68020, 264, 324776, 836, 220
139, 36, 212, 67212, 264, 324624, 840, 220
140, 36, 216, 67472, 304, 324188, 840, 216
141, 36, 212, 67388, 264, 321332, 840, 216
142, 36, 212, 67492, 264, 323660, 836, 220
143, 36, 212, 66856, 264, 322832, 840, 216
144, 36, 212, 106256, 264, 327824, 840, 220
145, 36, 212, 67840, 264, 324420, 840, 220
146, 36, 212, 66676, 264, 323244, 844, 220
147, 36, 212, 66872, 268, 323740, 844, 216
148, 36, 212, 67012, 264, 324100, 844, 220
149, 36, 212, 66880, 264, 324840, 836, 220
150, 36, 212, 66452, 264, 326384, 836, 220
151, 36, 212, 68492, 264, 323344, 844, 220
152, 36, 212, 67476, 268, 323636, 840, 220
153, 36, 212, 67600, 300, 323240, 840, 216
154, 36, 212, 67248, 308, 322824, 844, 216
155, 36, 212, 68144, 268, 372824, 836, 220
156, 36, 212, 67220, 268, 324364, 844, 216
157, 36, 216, 66896, 268, 324960, 836, 216
158, 36, 212, 67248, 268, 324004, 836, 220
159, 36, 212, 66708, 264, 341748, 840, 220
160, 36, 212, 68012, 272, 323624, 844, 216
161, 36, 212, 67256, 268, 325420, 836, 220
162, 36, 212, 67364, 264, 324084, 844, 216
163, 36, 212, 66856, 264, 355260, 840, 216
164, 36, 212, 66640, 264, 339792, 840, 220
165, 36, 212, 67532, 264, 335788, 844, 220
166, 36, 212, 67580, 264, 323380, 844, 216
167, 36, 212, 67492, 276, 324256, 836, 220
168, 36, 212, 67836, 264, 324924, 840, 216
169, 36, 212, 67476, 268, 335700, 840, 220
170, 36, 212, 66712, 264, 325012, 840, 220
171, 36, 216, 67260, 264, 324592, 844, 216
172, 36, 212, 66664, 264, 325008, 844, 216
173, 36, 212, 87592, 308, 324592, 836, 220
174, 36, 212, 67264, 264, 343632, 840, 220
175, 36, 212, 66692, 264, 323820, 848, 216
176, 36, 212, 66508, 264, 324636, 840, 220
177, 36, 212, 89220, 264, 332256, 844, 216
178, 36, 212, 147268, 272, 346160, 844, 220
179, 36, 212, 67392, 264, 325808, 848, 220
180, 36, 212, 67232, 268, 322828, 840, 216
181, 36, 212, 67096, 264, 324784, 840, 216
182, 36, 212, 67468, 264, 324652, 840, 220
183, 36, 212, 67740, 304, 324692, 840, 216
184, 36, 212, 66860, 264, 324700, 844, 216
185, 36, 216, 66992, 264, 326344, 840, 216
186, 36, 212, 67404, 264, 326508, 836, 220
187, 36, 212, 67180, 268, 322836, 840, 216
188, 36, 212, 67328, 264, 342644, 840, 216
189, 36, 212, 68316, 268, 373348, 840, 220
190, 36, 212, 67488, 268, 348592, 892, 240
191, 36, 212, 67024, 268, 324824, 844, 216
192, 36, 212, 67092, 264, 325656, 840, 220
193, 36, 212, 67152, 264, 325052, 840, 220
194, 36, 212, 67324, 264, 324124, 844, 220
195, 36, 212, 67040, 264, 326060, 840, 220
196, 36, 212, 67624, 264, 325028, 840, 216
197, 36, 212, 66676, 268, 325284, 840, 216
198, 36, 212, 67000, 264, 325636, 844, 216
199, 36, 216, 67428, 264, 325472, 844, 216
200, 36, 212, 66884, 268, 326496, 840, 216
201, 36, 212, 68944, 268, 326508, 840, 216
202, 36, 212, 67320, 264, 326048, 840, 220
203, 36, 212, 67460, 268, 326320, 844, 216
204, 36, 212, 68176, 264, 360988, 844, 216
205, 36, 216, 67528, 264, 326972, 836, 220
206, 36, 216, 67192, 268, 324856, 836, 220
207, 36, 212, 68008, 304, 326928, 844, 216
208, 36, 212, 67080, 268, 323648, 844, 216
209, 36, 212, 67140, 268, 325520, 844, 220
210, 36, 212, 66604, 268, 324956, 836, 220
211, 36, 212, 67444, 268, 340980, 840, 220
212, 36, 212, 64328, 264, 325876, 840, 220
213, 36, 212, 67500, 268, 325680, 840, 216
214, 36, 212, 67012, 264, 325764, 844, 220
215, 36, 212, 67224, 264, 325256, 836, 216
216, 36, 212, 67060, 268, 323812, 840, 220
217, 36, 212, 66828, 268, 325764, 836, 220
218, 36, 212, 66744, 264, 325444, 840, 216
219, 36, 212, 67724, 264, 324440, 840, 216
220, 36, 216, 66772, 264, 324296, 840, 220
221, 36, 212, 67396, 300, 324508, 844, 220
222, 36, 212, 67432, 264, 325292, 844, 220
223, 36, 212, 66900, 264, 372984, 840, 216
224, 36, 212, 67144, 268, 326084, 840, 216
225, 36, 212, 68168, 264, 322456, 836, 216
226, 36, 216, 67332, 264, 324920, 844, 216
227, 36, 216, 67148, 268, 325820, 844, 216
228, 36, 212, 67392, 264, 324672, 844, 220
229, 36, 212, 66856, 268, 324488, 844, 220
230, 36, 216, 67204, 264, 324572, 840, 220
231, 36, 212, 66712, 268, 352672, 840, 220
232, 36, 216, 67568, 264, 325796, 840, 220
233, 36, 212, 67396, 264, 323736, 840, 220
234, 36, 212, 66844, 264, 324172, 836, 220
235, 36, 212, 68852, 264, 326152, 844, 220
236, 36, 216, 67332, 264, 323148, 840, 216
237, 36, 212, 67308, 264, 324364, 840, 220
