n,rid,time_ms
0,a99c0861-e728-41f5-8dcd-085cb6c23d5c,1.10
0,447c2fb0-87b2-49be-a343-1572c8e55321,1.02
0,8aa9248a-c5f8-4e2e-9ed3-f23636606d35,1.08
0,c04760b7-2592-45f9-88b5-0c0b42f2cbd8,1.18
0,9d74332c-a1c8-4915-906f-97e69015b395,1.02
0,4546c0f7-a4e9-4b77-a4f6-f14e7f2f8401,0.98
1,3432d6c3-7287-4183-bdec-360d421f30e1,0.88
1,0a55d1c1-c422-4f23-ab01-51f67d2a530d,1.11
1,dd95ee0e-2704-47cf-833e-3839b4026ca8,1.14
1,caccddd4-d9d5-44d4-93f4-d3f19c4bc849,0.98
1,9a1abbb6-bbad-4b1e-97c1-227357c27719,0.96
1,c6d84081-43be-401d-a540-84318ba8d53d,0.90
2,c4c7754c-5e94-4cfc-b3ec-67465e38ee16,993.40
2,5cb6ad70-aafa-4cf4-a663-f6094d50613d,254.56
2,29ab65b1-3d76-44bc-a1b8-980cda4b8ba1,237.73
2,76e34d44-2bf6-44b4-8039-7e2b3a796b59,225.49
2,3152ffd9-b249-4b32-85b7-41ed7fc619bb,716.92
2,3c7b9ff8-03c1-43e4-b7dc-3a1cea823515,222.83
3,40daa42b-f1f6-4380-8ab3-60f008785ccd,464.20
3,e112b97e-ffa5-4ac3-966e-96f37ec38268,959.78
3,c0c0a56b-8d70-453e-80f5-413eb1279eac,433.08
3,90e5bc75-ce9c-4bd7-988c-3d80d77133fc,1093.53
3,7ae4d6a1-9c61-4598-a06a-ee4fe5209f70,426.14
3,606df7d5-3528-4a04-b60f-f1da0a217d79,406.83
4,fa7a1d75-25f4-4f98-889e-325736ffeea5,691.52
4,3f06d46d-164c-42d7-b312-6d5fab766222,1182.61
4,5a7e692f-e79f-4785-bf27-7dc06ea196c1,727.92
4,e2543a45-ec02-4433-973c-5cfd34c28e92,685.68
4,d8340b68-c85e-421f-a535-13e25352e052,625.67
4,72225f65-b021-4063-892f-105200bb7785,620.12
5,ed3cdf5c-bc13-4283-9d36-da87b3f4f6b1,1792.25
5,8f72b549-de76-4bb2-b263-69e51c20e284,1826.64
5,647b1757-06d1-4893-8012-28113bbb77a2,868.23
5,bf9429f6-e7ca-43aa-aa7c-362beb50b5e8,861.65
5,e04cf488-9194-41b1-aae3-a064c354f8c0,1330.55
5,26308b41-202f-44ee-922a-5b991b777b40,828.41
6,a7b1e9b9-78f2-4a9d-9d7b-b606bd7da6bd,1536.03
6,4bdf9058-7ba8-475b-97ff-9fdc28d560f8,1548.28
6,78c4c75d-5f69-481a-a68e-5e55d4bf183c,1579.83
6,4e642756-7332-46e0-ae53-3db42211f3ee,1081.45
6,9b12a493-7e6f-4a82-8f15-cb0f749dc575,1032.46
6,18e9c13d-bd29-4d4b-b935-a8d60feabfa0,1130.20
7,c5651e6b-8694-466f-96b3-fcd1862f3450,1819.14
7,903563a8-98be-46ac-a7c0-1fc6897ebbe5,1609.72
7,e402796b-a680-40aa-96c0-7414e22838ed,1378.32
7,a1268f3e-830a-482a-b10f-79a149277604,1667.28
7,09b0adf2-8d82-4cd4-9e7e-59df7a2ed31f,1341.61
7,29f6f30d-f46e-4d37-8e6b-f3541da0a725,1301.64
8,20c0e20a-a468-491d-941e-343edc0e09ca,2173.04
8,94a640f5-1d04-45b7-94f6-d3dbf84edbc9,2283.62
8,71da747d-47e5-4d74-94f5-1ebca631ccca,1428.37
8,0afa7b17-b245-4c41-ab16-25a0143b302c,1884.89
8,c8993d67-f056-4243-b726-3009d796f13d,1421.04
8,449f20eb-2125-4e6d-86e3-276c92f90f3d,1526.00
9,5e310ea5-805b-4f49-a7b9-9c23959d91a8,2124.38
9,9730b85d-5d4b-4be2-ab8a-a3ae3e642806,1946.01
9,5227b305-b972-4b80-a5f3-c8bf4c809f85,2156.21
9,b7b1142b-6393-4549-98b1-69c0d19e46af,1720.66
9,1ca41485-a097-41f5-845a-456d2374bf13,1706.34
9,d7226731-33cb-4c81-910b-93ed8b8ff8a5,1815.58
10,17146335-8cf2-4e22-8743-ae46890c541d,2618.99
10,dd03bc90-8f24-4206-988b-9ef56beabae8,2372.96
10,1324bf85-0269-4780-9e1c-972566acbe7b,2343.70
10,1052a80e-45c5-4e09-8b42-21883067aeef,2173.07
10,233c37b7-3a21-4576-8dc0-eec18c00c039,2096.61
10,18bfd81b-f1d1-492b-8e3e-47ef14bc9904,1957.69
15,be966238-0bdb-4b8e-9185-17905cdf80d6,3358.76
15,cbe60f37-eadd-4129-ae31-1b6b561de39c,2966.27
15,21798fd4-e14d-441f-a73d-cd3be5209b9d,3221.32
15,0f0f8df5-1994-46e6-99eb-9958516ae959,3179.30
15,cf248b1d-638e-421d-ae1d-d8ab8d44817b,2898.62
15,3ed98dfc-74b0-4015-a2a2-e3781f75a3a7,3445.85
