# trial, latency
0,2403
1,176
2,148
3,141
4,141
5,138
6,150
7,137
8,135
9,134
10,134
11,134
12,134
13,147
14,135
15,134
16,133
17,133
18,132
19,133
20,133
21,150
22,132
23,132
24,134
25,133
26,132
27,132
28,146
29,134
30,133
31,132
32,132
33,132
34,134
35,146
36,135
37,132
38,133
39,131
40,132
41,133
42,132
43,138
44,132
45,133
46,132
47,131
48,135
49,133
50,151
51,132
52,132
53,131
54,132
55,132
56,132
57,148
58,135
59,131
60,132
61,132
62,134
63,141
64,145
65,134
66,133
67,131
68,132
69,132
70,132
71,134
72,175
73,133
74,133
75,132
76,133
77,134
78,132
79,148
80,132
81,133
82,134
83,133
84,132
85,133
86,148
87,135
88,133
89,132
90,131
91,134
92,133
93,145
94,133
95,134
96,134
97,133
98,133
99,132
100,151
101,135
102,132
103,131
104,132
105,132
106,134
107,131
108,147
109,132
110,132
111,133
112,132
113,134
114,134
115,148
116,132
117,133
118,133
119,132
120,133
121,132
122,145
123,134
124,132
125,133
126,132
127,133
128,134
129,132
130,156
131,134
132,132
133,133
134,133
135,133
136,131
137,150
138,135
139,132
140,131
141,132
142,133
143,132
144,147
145,133
146,132
147,133
148,133
149,133
150,132
151,145
152,133
153,132
154,131
155,133
156,132
157,133
158,133
159,150
160,133
161,132
162,132
163,134
164,132
165,134
166,148
167,133
168,133
169,132
170,133
171,132
172,134
173,146
174,134
175,133
176,132
177,133
178,132
179,133
180,133
181,134
182,132
183,132
184,132
185,133
186,133
187,132
188,148
189,134
190,132
191,134
192,132
193,134
194,134
195,148
196,133
197,132
198,136
199,133
200,132
201,132
202,145
203,134
204,132
205,131
206,133
207,133
208,133
209,133
210,148
211,132
212,133
213,131
214,131
215,133
216,133
217,148
218,133
219,134
220,132
221,132
222,133
223,133
224,146
225,134
226,132
227,134
228,132
229,134
230,133
231,147
232,135
233,131
234,131
235,132
236,135
237,134
238,132
239,148
240,133
241,134
242,133
243,134
244,133
245,131
246,148
247,133
248,134
249,134
250,133
251,132
252,131
253,143
254,134
255,132
256,132
257,133
258,133
259,132
260,132
261,148
262,135
263,132
264,132
265,132
266,133
267,132
268,147
269,131
270,132
271,133
272,133
273,133
274,134
275,146
276,135
277,133
278,133
279,134
280,133
281,133
282,132
283,148
284,135
285,133
286,132
287,131
288,134
289,133
290,147
291,133
292,132
293,133
294,133
295,132
296,132
297,149
298,134
299,132
300,132
301,132
302,134
303,132
304,145
305,133
306,132
307,132
308,131
309,132
310,135
311,133
312,148
313,134
314,133
315,134
316,133
317,131
318,132
319,155
320,135
321,132
322,133
323,132
324,132
325,134
326,146
327,134
328,133
329,133
330,132
331,132
332,133
333,133
334,135
335,133
336,133
337,133
338,132
339,132
340,134
341,147
342,134
343,132
344,133
345,134
346,132
347,133
348,147
349,134
350,132
351,134
352,133
353,132
354,132
355,147
356,135
357,132
358,131
359,132
360,132
361,133
362,132
363,150
364,140
365,137
366,135
367,138
368,137
369,137
370,150
371,133
372,132
373,159
374,134
375,132
376,132
377,149
378,134
379,133
380,133
381,133
382,132
383,133
384,149
385,133
386,132
387,132
388,133
389,133
390,132
391,145
392,134
393,132
394,131
395,132
396,133
397,134
398,132
399,146
400,133
401,134
402,132
403,132
404,133
405,134
406,152
407,135
408,133
409,133
410,133
411,132
412,133
413,147
414,134
415,133
416,133
417,134
418,132
419,133
420,146
421,134
422,134
423,133
424,132
425,132
426,134
427,133
428,149
429,134
430,132
431,134
432,133
433,132
434,133
435,150
436,135
437,133
438,132
439,132
440,135
441,133
442,146
443,135
444,132
445,132
446,132
447,133
448,132
449,150
450,135
451,133
452,133
453,133
454,134
455,132
456,131
457,146
458,133
459,133
460,133
461,181
462,137
