# trial, latency
0, 202629
1, 85063
2, 82625
3, 83154
4, 82711
5, 82916
6, 82870
7, 83057
8, 83096
9, 82689
10, 82836
11, 83267
12, 82659
13, 82640
14, 82756
15, 82882
16, 82683
17, 107362
18, 83812
19, 82738
20, 82717
21, 82674
22, 82968
23, 82729
24, 82860
25, 83151
26, 82811
27, 83133
28, 82735
29, 83118
30, 82851
31, 83708
32, 155559
33, 83411
34, 82723
35, 82729
36, 82652
37, 82854
38, 82925
39, 82616
40, 82560
41, 82805
42, 82661
43, 82790
44, 82955
45, 82371
46, 82878
47, 82772
48, 83032
49, 82695
50, 82882
51, 82894
52, 82956
53, 82806
54, 82628
55, 82870
56, 82524
57, 82876
58, 82313
59, 82362
60, 82793
61, 82441
62, 83203
63, 82389
64, 82726
65, 82414
66, 82808
67, 82343
68, 82503
69, 82185
70, 82610
71, 82897
72, 82080
73, 82757
74, 82631
75, 82784
76, 82132
77, 83099
78, 101761
79, 83215
80, 82815
81, 83020
82, 82894
83, 157245
84, 84363
85, 83167
86, 82649
87, 82062
88, 82310
89, 83285
90, 82989
91, 82374
92, 83062
93, 82166
94, 82392
95, 83087
96, 81842
97, 82453
98, 82713
99, 82123
100, 82444
101, 83130
102, 82610
103, 82790
104, 82845
105, 82462
106, 82548
107, 82711
108, 82539
109, 81561
110, 82313
111, 82555
112, 82429
113, 82855
114, 81912
115, 82493
116, 82231
117, 82148
118, 82386
119, 82292
120, 82753
121, 82527
122, 81995
123, 82652
124, 82289
125, 81888
126, 82166
127, 82484
128, 82279
129, 83093
130, 81839
131, 82625
132, 82472
133, 82301
134, 168557
135, 83589
136, 82824
137, 82937
138, 82546
139, 89073
140, 83668
141, 82910
142, 83258
143, 82913
144, 82652
145, 82172
146, 83120
147, 82069
148, 82093
149, 82255
150, 82016
151, 82392
152, 82264
153, 81955
154, 82888
155, 82512
156, 82371
157, 82432
158, 82401
159, 82282
160, 82417
161, 82833
162, 82637
163, 82567
164, 83286
165, 82594
166, 82047
167, 82560
168, 82518
169, 83157
170, 82931
171, 82686
172, 82612
173, 82784
174, 82720
175, 82879
176, 82968
177, 82555
178, 82411
179, 82288
180, 82389
181, 82050
182, 82276
183, 82154
184, 82919
185, 111513
186, 83961
187, 82836
188, 82732
189, 82582
190, 82570
191, 82539
192, 82726
193, 82252
194, 82499
195, 82552
196, 82579
197, 82368
198, 82307
199, 82505
200, 103260
201, 84188
202, 83121
203, 82729
204, 82534
205, 82527
206, 82891
207, 82867
208, 82337
209, 82637
210, 82817
211, 83109
212, 82381
213, 82631
214, 82812
215, 82830
216, 82151
217, 83087
218, 82579
219, 82163
220, 82209
221, 83001
222, 82365
223, 82420
224, 82652
225, 81861
226, 82457
227, 82120
228, 82001
229, 82693
230, 82594
231, 82836
232, 82551
233, 82717
234, 82603
235, 83050
236, 136280
237, 84084
238, 83019
239, 82986
240, 82894
241, 82714
242, 82212
243, 82561
244, 82668
245, 82702
246, 82466
247, 82677
248, 82726
249, 82374
250, 82662
251, 83062
252, 82714
253, 82576
254, 82417
255, 83004
256, 82983
257, 82282
258, 82616
259, 82561
260, 82738
261, 82585
262, 86531
263, 83301
264, 83438
265, 83123
266, 82934
267, 83319
268, 82943
269, 83041
270, 82665
271, 82594
272, 82674
273, 82928
274, 82643
275, 82750
276, 83093
277, 82218
278, 82653
279, 83102
280, 82839
281, 83060
282, 82234
283, 82766
284, 82753
285, 82558
286, 82365
287, 141115
288, 83567
289, 83371
290, 83050
291, 82741
292, 82436
293, 82255
294, 83698
295, 82069
296, 82536
297, 82080
298, 82546
299, 82907
300, 82521
301, 83120
302, 82729
303, 82763
304, 82873
305, 82430
306, 82842
307, 83243
308, 82753
309, 82747
310, 82683
311, 82980
312, 82683
313, 82759
314, 82869
315, 82579
316, 82781
317, 83029
318, 83077
319, 82882
320, 83007
321, 82980
322, 82701
323, 87369
324, 82524
325, 83081
326, 82389
327, 82690
328, 83069
329, 82882
330, 82827
331, 83078
332, 82650
333, 82588
334, 82747
335, 82781
336, 82891
337, 82270
338, 123017
339, 92193
340, 83628
341, 82365
342, 85454
343, 83090
344, 83004
345, 83228
346, 83200
347, 82814
348, 82435
349, 82619
350, 82775
351, 82922
352, 83069
353, 82710
354, 82692
355, 82515
356, 83484
357, 82407
358, 82842
359, 82922
360, 82848
361, 82589
362, 82426
363, 83102
364, 83007
365, 82154
366, 82604
367, 82690
368, 83121
369, 82484
370, 82466
371, 82096
372, 82646
373, 82628
374, 82643
375, 82487
376, 82906
377, 83295
