# trial, latency
0,3752195
1,5325592
2,4150626
3,4117029
4,3981187
5,4133708
6,3902577
7,3910366
8,3976740
9,3920783
10,3946724
11,3787818
12,4143270
13,3683452
14,3837482
15,3627051
16,3828292
17,4150397
18,3605159
19,3479078
20,3579932
21,3608294
22,4256922
23,3875440
24,3614854
25,3584322
26,4003642
27,3671291
28,3564691
29,3737994
30,4098563
31,3859008
32,3588323
33,3812858
34,3872398
35,4163348
36,3857072
37,3825964
38,3545615
39,3481457
40,4422342
41,3894734
42,3892396
43,3729521
44,4132638
45,3561869
46,3824477
47,3607974
48,4097621
49,4007786
50,3967813
51,5547838
52,4015017
53,3745059
54,4493388
55,4582164
56,4437736
57,4528394
58,4827267
59,4663565
60,3958338
61,3775053
62,3983117
63,3812990
64,3781139
65,3579066
66,4068832
67,3870547
68,5307690
69,3920471
70,3724219
71,3913467
72,3809554
73,3849131
74,3371179
75,3359173
76,4290418
77,3695047
78,3853830
79,3655050
80,4149630
81,3686464
82,3745409
83,3672896
84,3613076
85,3787462
86,3945269
87,4077019
88,3641650
89,3580965
90,3719771
91,3854574
92,3837282
93,3779348
94,3824191
95,3643418
96,4180633
97,3771233
98,3897714
99,3669065
100,3947051
101,3802265
102,4021917
103,4162707
104,3960555
105,4012040
106,3691913
107,3813117
108,3799088
109,3898810
110,4229469
111,4009894
112,3825813
113,4016176
114,4016872
115,3704841
116,3920182
117,3601165
118,3936793
119,3574932
120,3924255
121,4171393
122,4270133
123,3971974
124,3422760
125,3626970
126,3498401
127,3884166
128,3558403
129,3807610
130,3858152
131,3712781
132,3609382
133,4072888
134,4084626
135,3486981
136,3572891
137,3605851
138,3356239
139,3490229
140,3309239
141,3437584
142,3565470
143,3733888
144,4649937
145,3443605
146,4074388
147,4921049
148,3690434
149,3927641
150,3688715
151,3491467
152,4177223
153,3414492
154,5087371
155,3945942
156,3994432
157,3821633
158,3853042
159,3763843
160,3751007
161,3488418
162,3862087
163,3704546
164,3712446
165,3477524
166,3570544
167,3686250
168,3673938
169,3505349
170,3475727
171,3380373
172,3858678
173,3612946
174,3546724
175,3488512
176,3430021
177,3496590
178,3707143
179,3545936
180,3426097
181,3460740
182,3614462
183,3530926
184,3350514
185,3523367
186,3672573
187,3824469
188,5522474
189,3719504
190,3585484
191,3471439
192,3499615
193,3507622
194,3560208
195,3647624
196,3781037
197,3991879
198,3349625
199,3526218
200,3531430
201,3588263
202,3518031
203,3737419
204,3665145
205,3596658
206,4044719
207,3866503
208,3784699
209,3573902
210,4021360
211,3665151
212,3673315
213,3729471
214,3622890
215,3829211
216,3511965
217,3582893
218,3595465
219,3466675
220,3418356
221,4058323
222,3805944
223,3961190
224,3562617
225,3445341
226,3295075
227,3376667
228,3326023
229,3341115
230,3426843
231,3313732
232,3434262
233,3305559
234,3390062
235,3474899
236,4550418
237,3615837
238,3977064
239,3838282
240,3742737
241,3714932
242,4073117
243,3971185
244,4001579
245,3897458
246,3630246
247,4252031
248,5229903
249,5330916
250,4909352
251,3651261
252,4285087
253,3505098
254,3724227
255,3740663
256,4009749
257,3743263
258,3781108
259,3768584
260,3433355
261,3542136
262,3879365
263,4022734
264,3649332
265,4072147
266,3855797
267,3686893
268,3558021
269,4206113
270,4180439
271,3946163
272,3932560
273,3583825
274,4335453
275,4011396
276,3674600
277,3491628
278,3474147
279,3524997
280,3969813
281,4058782
282,3797104
283,3925870
284,3982214
285,4064589
286,3492060
287,3409848
288,3681235
289,3580583
290,3654697
291,3457361
292,3499451
293,3475915
294,3490650
295,3566199
296,3422378
297,4539997
298,3801028
299,3713589
300,3721942
301,3532829
302,3738514
303,4115206
304,4210750
305,3733682
306,3844348
307,4136863
308,4263406
309,3917050
310,3721870
311,3589603
312,3549332
313,4176031
314,3694681
315,3926378
316,3812582
317,3837393
318,4477333
319,3860627
320,3668697
321,3664634
322,3458370
323,3697403
324,3558147
325,3470143
326,3401283
327,3491437
328,3482871
329,3511991
330,3484022
331,3487592
332,3476723
333,3494908
334,3728096
335,3452766
336,3617636
337,3278980
338,3426720
339,3323169
340,4923193
341,3641264
342,3952813
343,3768561
344,3313410
345,3218880
346,4046580
347,3917384
348,3676718
349,3493915
350,3617685
351,3581239
352,3684365
353,3708251
354,3492588
355,3809031
356,3585371
357,3533786
358,3531655
359,3540012
360,3719332
361,3545875
362,5480276
363,3791335
364,3640387
365,4941187
366,3540160
367,3463898
368,3443578
369,3561323
370,3467511
371,3586111
372,3487395
373,3954730
374,3595485
375,3778529
376,3719043
377,3465022
378,3579063
379,3236946
380,3454274
381,3525465
382,3338810
383,4211399
384,3709085
385,3598937
386,4146413
387,3938729
388,3901231
389,3479542
390,3562008
391,3567515
392,4024231
393,3663909
394,3735111
395,3586112
396,3491395
397,3435175
398,3411616
399,3422891
400,3618865
401,3422247
402,3377261
403,3419327
404,3502147
405,3488281
406,3348511
407,3389456
408,3343488
409,3800789
410,3822413
411,3625512
412,3923965
413,3590278
414,3702104
415,3569393
416,3407095
417,3801218
418,3829800
419,5886534
420,3740722
421,5334290
422,3562456
423,3702437
424,5033704
425,4878345
426,4083300
427,3626433
428,3623734
429,3860199
430,3819173
431,3712867
432,3749232
433,4059701
434,3825646
435,3871464
436,4006255
437,3878901
438,3742432
439,3506010
440,4929342
441,4652423
442,4819337
443,3770853
444,3795114
445,4096029
446,3590051
447,3380736
448,3349924
449,3282260
450,3343603
451,3519652
452,3286290
453,3250673
454,3376173
455,3611777
456,4185552
457,3909712
458,3925038
459,4041555
460,5357858
461,5067585
462,5260184
463,5233147
464,4038274
465,3811525
466,3980979
467,4045028
468,4103326
469,3527284
470,3398128
471,3372812
472,3419017
473,3385468
474,3323615
475,3491875
476,3388618
477,3504462
478,4164741
479,3474842
480,3272551
481,3957180
482,3488807
483,3226325
484,3299758
485,3664928
486,3490983
487,3510268
488,3486907
489,3450224
490,3669074
491,3641861
492,4012767
493,3831533
494,4466771
495,3864111
496,3692641
497,3866462
498,3652139
499,3855771
500,3223047
501,3325071
502,3160988
503,3165676
504,3280255
505,3145555
506,3152003
507,3300760
508,3461764
509,4154312
510,3443590
511,3413765
512,3275035
513,3335401
514,3464185
515,3225526
516,3204156
517,3376065
518,3269387
519,3456666
520,3393036
521,3477839
522,3549142
