# trial, latency
0,153
1,74
2,83
3,68
4,64
5,54
6,58
7,64
8,63
9,53
10,52
11,52
12,67
13,64
14,51
15,52
16,51
17,52
18,59
19,90
20,72
21,57
22,54
23,61
24,54
25,53
26,53
27,54
28,70
29,57
30,53
31,52
32,52
33,52
34,56
35,52
36,52
37,51
38,53
39,51
40,52
41,51
42,65
43,69
44,58
45,53
46,56
47,53
48,60
49,53
50,61
51,53
52,62
53,54
54,54
55,52
56,53
57,59
58,55
59,76
60,54
61,53
62,54
63,53
64,52
65,59
66,55
67,50
68,50
69,50
70,53
71,56
72,99
73,61
74,59
75,59
76,49
77,49
78,67
79,51
80,39
81,63
82,70
83,50
84,49
85,41
86,73
87,69
88,54
89,58
90,58
91,51
92,51
93,51
94,52
95,50
96,66
97,58
98,57
99,50
100,57
101,51
102,51
103,50
104,50
105,60
106,65
107,50
108,52
109,65
110,98
111,43
112,62
113,101
114,56
115,71
116,64
117,62
118,60
119,52
120,51
121,77
122,69
123,52
124,53
125,52
126,79
127,54
128,53
129,52
130,55
131,52
132,70
133,54
134,53
135,60
136,54
137,69
138,113
139,54
140,181
141,68
142,96
143,56
144,97
145,57
146,171
147,56
148,172
149,56
150,168
151,74
152,60
153,54
154,57
155,60
156,54
157,53
158,64
159,63
160,54
161,68
162,74
163,56
164,55
165,54
166,58
167,47
168,58
169,63
170,65
171,54
172,54
173,54
174,55
175,53
176,53
177,53
178,62
179,60
180,54
181,53
182,55
183,73
184,58
185,59
186,62
187,62
188,59
189,54
190,112
191,69
192,63
193,61
194,58
195,55
196,55
197,56
198,56
199,58
200,55
201,56
202,63
203,55
204,56
205,55
206,57
207,63
208,64
209,55
210,57
211,55
212,58
213,58
214,58
215,55
216,55
217,55
218,57
219,58
220,64
221,54
222,69
223,75
224,63
225,63
226,63
227,98
228,69
229,69
230,58
231,62
232,59
233,63
234,57
235,56
236,64
237,59
238,64
239,56
240,58
241,55
242,56
243,61
244,57
245,55
246,59
247,62
248,58
249,54
250,55
251,54
252,58
253,55
254,55
255,54
256,58
257,55
258,55
259,54
260,56
261,54
262,55
263,53
264,57
265,54
266,54
267,54
268,59
269,57
270,55
271,54
272,56
273,54
274,67
275,65
276,80
277,62
278,55
279,54
280,57
281,54
282,54
283,56
284,56
285,55
286,54
287,54
288,59
289,55
290,54
291,55
292,60
293,55
294,55
295,54
296,57
297,54
298,58
299,54
300,58
301,55
302,54
303,54
304,56
305,61
306,55
307,67
308,58
309,61
310,56
311,55
312,57
313,55
314,58
315,58
316,68
317,56
318,68
319,59
320,59
321,60
322,54
323,53
324,55
325,66
326,55
327,54
328,55
329,55
330,54
331,53
332,56
333,66
334,68
335,66
336,57
337,55
338,64
339,64
340,62
341,55
342,60
343,60
344,58
345,54
346,54
347,54
348,59
349,61
350,63
351,54
352,59
353,54
354,54
355,53
356,55
357,54
358,54
359,54
360,59
361,64
362,60
363,54
364,62
365,66
366,58
367,56
368,57
369,56
370,56
371,55
372,57
373,56
374,65
375,63
376,50
377,62
378,56
379,55
380,67
381,55
382,56
383,73
384,72
385,64
386,55
387,54
388,67
389,49
390,59
391,54
392,54
393,54
394,53
395,54
396,54
397,53
398,54
399,53
400,53
401,82
402,63
403,54
404,53
405,62
406,57
407,56
408,53
409,54
410,53
411,54
412,53
413,53
414,59
415,54
416,53
417,54
418,54
