# trial, latency
0,230223
1,85428
2,86898
3,72828
4,71988
5,69636
6,66990
7,78036
8,74991
9,74004
10,69279
11,72429
12,72555
13,67200
14,66024
15,80472
16,77049
17,68103
18,69993
19,68628
20,73416
21,69363
22,64827
23,86940
24,73353
25,69594
26,69678
27,64806
28,80430
29,67851
30,66759
31,69657
32,71106
33,63735
34,66990
35,65058
36,76734
37,64827
38,63630
39,87864
40,76146
41,70287
42,62895
43,68712
44,87696
45,71673
46,67053
47,70308
48,70791
49,67746
50,68607
51,62958
52,78792
53,67242
54,66024
55,86478
56,79842
57,67746
58,68733
59,66171
60,74886
61,68250
62,67683
63,66948
64,69174
65,66864
66,72135
67,66780
68,71568
69,65457
70,85764
71,67095
72,72576
73,78393
74,69741
75,66423
76,78456
77,65100
78,65436
79,66087
80,74298
81,68292
82,68817
83,66885
84,71988
85,63147
86,80577
87,63420
88,71988
89,68901
90,64050
91,66738
92,69573
93,64848
94,63210
95,67074
96,70182
97,65793
98,69447
99,62664
100,76503
101,67263
102,96873
103,74739
104,80367
105,68082
106,68565
107,66381
108,74844
109,64533
110,69006
111,67515
112,70938
113,66843
114,67767
115,66717
116,74256
117,67305
118,80388
119,68145
120,70329
121,65709
122,69090
123,72639
124,75747
125,63105
126,69804
127,64491
128,68313
129,62685
130,67914
131,63273
132,90405
133,91308
134,67788
135,68103
136,75705
137,65919
138,69237
139,66192
140,75390
141,64239
142,64785
143,67977
144,68985
145,64239
146,75075
147,67515
148,75432
149,90531
150,68586
151,72156
152,73878
153,66276
154,67662
155,63819
156,80976
157,66675
158,67557
159,65520
160,73983
161,78834
162,70854
163,66822
164,93639
165,63336
166,65751
167,66591
168,73962
169,73437
170,70518
171,66717
172,74004
173,64953
174,68628
175,65520
176,68985
177,67095
178,66570
179,67200
180,94269
181,63042
182,67389
183,65331
184,71904
185,62580
186,68817
187,63966
188,75936
189,88011
190,91434
191,68964
192,78813
193,67956
194,70140
195,86058
196,82425
197,66927
198,69237
199,69300
200,78309
201,67872
202,67179
203,69867
204,77784
205,70602
206,65919
207,68208
208,72534
209,65016
210,69006
211,90909
212,78708
213,66675
214,67620
215,76062
216,76104
217,68691
218,81081
219,69300
220,74592
221,69174
222,67767
223,68103
224,77028
225,67347
226,70350
227,89649
228,80304
229,65982
230,68334
231,66339
232,74676
233,69363
234,67389
235,67305
236,73017
237,67599
238,74445
239,68607
240,72366
241,67053
242,93471
243,70686
244,71484
245,86100
246,71736
247,73374
248,75894
249,66948
250,66864
251,68502
252,77721
253,65121
254,64365
255,66444
256,70854
257,67242
258,85722
259,65520
260,72660
261,84210
262,64764
263,66927
264,71694
265,68628
266,66780
267,68124
268,78372
269,65709
270,66444
271,63840
272,72807
273,77532
274,70287
275,64050
276,92337
277,65520
278,66528
279,68880
280,74256
281,67158
282,66108
283,64848
284,71064
285,68565
286,67011
287,68775
288,72051
289,81018
290,66969
291,67053
292,71988
293,70728
294,67284
295,65835
296,70203
297,68481
298,68166
299,63210
300,76251
301,83160
