# trial, latency
0,116067
1,16170
2,14280
3,13839
4,12789
5,12810
6,13902
7,12726
8,13566
9,12936
10,15750
11,13104
12,12915
13,12663
14,12495
15,12579
16,14070
17,13314
18,13314
19,12621
20,12957
21,12705
22,12705
23,12537
24,13965
25,13356
26,12915
27,12621
28,12705
29,12789
30,12705
31,14238
32,13083
33,13293
34,13860
35,12642
36,12873
37,12894
38,12600
39,12621
40,12579
41,13146
42,14175
43,13356
44,12537
45,12600
46,12558
47,12579
48,13083
49,12642
50,12579
51,12516
52,13776
53,13713
54,13041
55,12495
56,12936
57,12705
58,12600
59,12579
60,12684
61,12684
62,13125
63,13881
64,13839
65,13314
66,12663
67,12684
68,12684
69,12474
70,12579
71,12684
72,14049
73,13839
74,14259
75,12600
76,13083
77,13230
78,12621
79,12558
80,12789
81,12579
82,12726
83,13167
84,13629
85,13419
86,13482
87,12579
88,12600
89,27678
90,12831
91,12621
92,12474
93,12789
94,13776
95,13461
96,12747
97,12831
98,12684
99,12663
100,12747
101,12537
102,12873
103,24213
104,14049
105,13818
106,14049
107,13440
108,12894
109,12999
110,12747
111,12894
112,12684
113,12999
114,12852
115,13566
116,14238
117,14574
118,13797
119,13755
120,12978
121,12663
122,12831
123,12705
124,12852
125,12747
126,12726
127,14154
128,13860
129,12705
130,13125
131,12894
132,12936
133,12852
134,12768
135,12684
136,12915
137,12768
138,12915
139,13944
140,12957
141,13062
142,12516
143,12663
144,12789
145,12999
146,12684
147,12810
148,12957
149,14175
150,13881
151,12957
152,12936
153,12894
154,12810
155,12621
156,12642
157,12621
158,13314
159,12789
160,12621
161,12957
162,13944
163,13839
164,12705
165,13272
166,12621
167,12726
168,12684
169,12558
170,13755
171,12810
172,13041
173,12663
174,12642
175,14196
176,14175
177,12999
178,12852
179,12642
180,12768
181,12852
182,12747
183,12705
184,12810
185,13818
186,14511
187,14154
188,12747
189,12642
190,12852
191,12747
192,12621
193,12726
194,12558
195,14175
196,13692
197,13041
198,12957
199,20370
200,12894
201,12621
202,12768
203,12516
204,12642
205,12642
206,14532
207,14217
208,12642
209,12768
210,12684
211,12579
212,12789
213,12768
214,12810
215,12558
216,14070
217,13230
218,13377
219,12726
220,12684
221,12600
222,12747
223,12621
224,12705
225,12915
226,13944
227,14175
228,13986
229,13923
230,13377
231,13293
232,12579
233,12852
234,12642
235,12579
236,13020
237,14238
238,14217
239,13020
240,13293
241,13650
242,12831
243,12642
244,12663
245,12579
246,12642
247,12726
248,13545
249,13797
250,13398
251,12600
252,12747
253,12663
254,12852
255,13083
256,12768
257,12768
258,12726
259,13986
260,14448
261,13713
262,13377
263,13251
264,12705
265,12684
266,12558
267,12600
268,13020
269,12642
270,12810
271,12684
272,13713
273,14238
274,13650
275,12684
276,13797
277,13041
278,13062
279,12873
280,12705
281,12663
282,13461
283,12873
284,12642
285,12684
286,12600
287,12810
288,14133
289,13860
290,13482
291,13902
292,12789
293,12873
294,12516
295,12915
296,12873
297,12600
298,12684
299,12915
300,13482
301,14280
302,13734
303,13566
304,14280
305,13083
306,13251
307,12768
308,12726
309,13419
310,13167
311,12768
312,12621
313,13272
314,14448
315,13923
316,13923
317,14175
318,12936
319,12621
320,12768
321,12873
322,13230
323,12978
324,12831
325,12852
326,12726
327,14280
328,14133
329,13587
330,12831
331,12747
332,12873
333,12684
334,12915
335,12747
336,13188
337,12726
338,12894
339,12810
340,14511
341,13860
342,13881
343,12789
344,12747
345,13440
346,13062
347,12600
348,12810
349,13629
350,12999
351,12747
352,12810
353,12747
354,13587
355,14427
356,13818
357,13146
358,14259
359,12768
360,12747
361,12873
362,12684
363,12999
364,12957
365,12684
366,12957
367,12873
368,12747
369,13839
370,13755
371,12957
372,12852
373,12705
374,13167
375,12600
376,13041
377,12894
378,12558
379,12600
380,12873
381,12726
382,13482
383,13965
384,13902
385,13713
386,12768
387,12831
388,12663
389,12978
390,12957
391,12768
392,12726
393,12768
394,12915
395,12831
396,14028
397,13692
398,13104
399,13503
400,12726
401,13419
402,12663
403,14406
404,13482
405,13419
406,12768
407,12810
408,12684
409,12726
410,13314
411,12831
412,12810
413,13125
414,12726
415,13755
416,14154
417,14154
418,14700
419,13713
420,13272
421,13902
422,12894
423,13965
424,14091
425,12684
426,13356
427,12873
428,12726
429,13734
430,13083
431,12768
432,12852
433,12600
434,12873
435,12705
436,12726
437,14091
438,13818
439,13797
440,13272
441,13230
442,13650
443,13167
444,12663
445,12936
446,12705
447,12684
448,12852
449,12726
450,12684
451,12600
452,13440
453,14364
454,13629
455,14049
456,14217
457,13440
458,13230
459,12705
460,12705
461,12873
462,12810
463,12705
464,12999
465,12852
466,12810
467,13839
468,13377
469,13671
470,14469
471,13839
472,13839
473,13839
474,13314
475,12852
476,13629
477,13083
478,12810
479,13020
480,12915
481,12894
482,12726
483,12999
484,12852
485,12789
486,13692
487,14826
488,14133
489,13146
490,13146
491,13104
492,12936
493,12873
494,12768
495,12789
496,12957
497,12810
498,12915
499,12726
500,13566
501,14091
502,14574
503,13965
504,13293
505,12768
506,13692
507,12600
508,12642
509,12663
510,13125
511,13797
512,12873
513,12852
514,13020
515,12768
516,13314
517,14217
518,13629
519,13524
520,13377
521,13230
522,12978
523,13062
524,12873
525,12768
526,12684
527,12873
528,12747
529,13923
530,14238
531,13314
532,13272
533,13839
534,12726
535,12768
536,12915
537,13650
538,13125
539,12852
540,12894
541,12999
542,12957
543,12684
544,14070
545,14217
546,13965
547,13104
548,12642
549,12915
550,12978
551,12789
552,12705
553,12852
554,12705
555,12978
556,12684
557,12726
558,14364
559,13902
560,13356
561,13818
562,13230
563,12747
564,14217
565,12999
566,13356
567,12726
568,12768
569,12852
570,12705
571,12747
572,12852
573,14322
574,13650
575,12831
576,13440
577,13923
578,13335
579,13587
580,12768
581,12621
582,12726
