# trial, latency
0, 1791783
1, 1044519
2, 1005795
3, 960141
4, 931602
5, 912345
6, 881454
7, 912639
8, 867111
9, 898443
10, 881391
11, 849933
12, 902559
13, 871752
14, 858606
15, 844872
16, 873558
17, 821205
18, 869127
19, 919212
20, 816501
21, 861441
22, 865179
23, 859950
24, 843402
25, 870009
26, 833742
27, 800751
28, 854427
29, 830340
30, 816270
31, 902538
32, 824460
33, 822717
34, 803271
35, 862554
36, 853671
37, 823242
38, 872361
39, 821772
40, 806715
41, 793002
42, 848526
43, 839832
44, 827610
45, 867552
46, 826245
47, 825993
48, 867363
49, 858396
50, 820659
51, 822171
52, 899367
53, 798882
54, 936579
55, 847875
56, 867195
57, 830718
58, 877170
59, 832356
60, 793128
61, 906759
62, 831747
63, 870555
64, 831495
65, 862869
66, 840504
67, 846237
68, 841428
69, 799134
70, 857430
71, 798651
72, 851004
73, 801297
74, 878577
75, 814128
76, 852789
77, 822990
78, 850038
79, 869043
80, 793065
81, 883470
82, 839559
83, 851445
84, 827148
85, 853629
86, 836892
87, 783447
88, 839685
89, 823872
90, 886872
91, 829668
92, 890757
93, 801171
94, 857346
95, 849408
96, 856212
97, 816522
98, 815451
99, 863982
100, 780906
101, 844956
102, 837312
103, 868329
104, 824544
105, 848463
106, 779604
107, 850836
108, 863835
109, 847707
110, 838845
111, 832923
112, 855477
113, 771687
114, 859383
115, 821037
116, 877128
117, 824439
118, 849261
119, 823452
120, 843780
121, 841491
122, 838320
123, 816858
124, 900879
125, 832482
126, 809424
127, 827799
128, 823137
129, 851844
130, 801843
131, 870471
132, 834687
133, 834057
134, 821478
135, 812679
136, 820722
137, 841701
138, 837312
139, 836157
140, 799533
141, 851928
142, 841974
143, 839475
144, 819231
145, 827946
146, 801591
147, 821772
148, 827001
149, 812805
150, 881370
151, 821541
152, 844326
153, 798840
154, 849051
155, 801990
156, 826077
157, 786366
158, 837501
159, 787941
160, 880824
161, 805308
162, 842709
163, 833784
164, 855666
165, 793086
166, 809634
167, 830613
168, 852243
169, 807471
170, 828702
171, 836640
172, 854154
173, 825741
174, 818286
175, 834645
176, 917154
177, 817866
178, 833133
179, 813120
180, 872046
181, 817173
182, 833784
183, 829227
184, 863793
185, 807156
186, 815598
187, 813162
188, 854070
189, 815178
190, 829605
191, 816942
192, 925197
193, 813351
194, 847875
195, 824103
196, 829857
197, 824922
198, 842709
199, 805056
200, 845838
201, 820554
202, 837774
203, 804216
204, 841323
205, 787353
206, 826014
207, 826182
208, 869967
209, 803082
210, 854112
211, 816039
212, 776895
213, 778302
214, 848421
215, 846426
216, 835149
217, 855624
218, 836850
219, 824670
220, 825111
221, 817593
222, 821121
223, 874860
224, 810432
225, 873264
226, 787668
227, 850962
228, 807618
229, 842331
230, 839559
231, 845418
232, 849471
233, 815577
234, 858585
235, 810012
236, 866292
237, 810180
238, 888111
239, 781284
240, 868917
241, 852747
242, 818496
243, 832734
244, 839517
245, 838887
246, 812133
247, 852012
248, 816501
249, 833259
250, 796488
251, 838782
252, 887019
253, 825951
254, 848022
255, 819777
256, 849933
257, 838929
258, 828891
259, 839349
260, 803733
261, 885990
262, 839370
263, 841491
264, 826077
265, 800814
266, 827631
267, 822213
268, 854931
269, 803040
270, 868581
271, 821520
272, 821814
273, 797937
274, 824397
275, 889203
276, 846195
277, 848505
278, 861441
279, 824250
280, 884121
281, 858606
282, 887439
283, 850794
284, 823683
285, 820491
286, 824313
287, 849219
288, 836808
289, 903609
290, 828114
291, 821457
292, 831453
293, 824985
294, 847770
295, 824670
296, 840063
297, 850647
298, 818139
299, 829647
300, 815283
301, 834792
302, 883281
303, 827589
304, 849261
305, 788907
306, 816564
307, 854637
308, 821898
309, 890001
310, 810915
311, 816501
312, 829269
313, 814695
314, 857661
315, 839622
316, 846930
317, 838509
318, 830361
319, 865053
320, 800310
321, 857661
322, 888342
323, 816186
324, 848610
325, 831327
326, 838404
327, 842877
328, 804930
329, 822948
330, 865158
331, 812574
332, 832839
333, 858060
334, 825825
335, 795501
336, 822864
337, 840273
338, 842877
339, 826959
340, 877002
341, 888783
342, 852474
343, 875238
344, 843801
345, 801759
346, 883806
347, 821121
348, 842877
349, 906171
350, 829017
351, 1023519
352, 855267
353, 807219
354, 850311
355, 939330
356, 829605
357, 851739
358, 818370
359, 931749
360, 855225
361, 918771
362, 840126
363, 943551
364, 863961
365, 762594
366, 843150
367, 840168
368, 961926
369, 841029
370, 845607
371, 840651
372, 983514
373, 832797
374, 864213
375, 819420
376, 947709
377, 910392
378, 856443
379, 836325
380, 952203
381, 851739
382, 837879
383, 838299
384, 916818
385, 929922
386, 836934
387, 859950
388, 851256
389, 937293
390, 851004
391, 841743
392, 830571
393, 959448
394, 843255
395, 817173
396, 856947
397, 964320
398, 801381
399, 850353
400, 915201
401, 878451
402, 952392
403, 862029
404, 869001
405, 799617
406, 964740
407, 851529
408, 882168
409, 829185
410, 937776
411, 815472
412, 820512
413, 825720
414, 883113
415, 963963
416, 847980
417, 831768
418, 821562
419, 963438
420, 875889
421, 838887
422, 887082
423, 946008
424, 839454
425, 862659
