# trial, us for 1000 calls
0, 102971
1, 102640
2, 102926
3, 103115
4, 102780
5, 102642
6, 102382
7, 102605
8, 102687
9, 102456
10, 102116
11, 102368
12, 103568
13, 103773
14, 102882
15, 102808
16, 102733
17, 102819
18, 102553
19, 102333
20, 103489
21, 115084
22, 115190
23, 114930
24, 114833
25, 115014
26, 114956
27, 115313
28, 115136
29, 114770
30, 115230
31, 114950
32, 114865
33, 114981
34, 115114
35, 114919
36, 114982
37, 105441
38, 105305
39, 104217
40, 104379
41, 104851
42, 113628
43, 115237
44, 115239
45, 115709
46, 115703
47, 115700
48, 115783
49, 115796
50, 115810
51, 115392
52, 115403
53, 115390
54, 113691
55, 103091
56, 103013
57, 113143
58, 115763
59, 115906
60, 115406
61, 115636
62, 115221
63, 112773
64, 102952
65, 102471
66, 102218
67, 102313
68, 102224
69, 102251
70, 102122
71, 102055
72, 101874
73, 102004
74, 101981
75, 102251
76, 102244
77, 102240
78, 101832
79, 102301
80, 102025
81, 102172
82, 103189
83, 103200
84, 102677
85, 103206
86, 102866
87, 102609
88, 102508
89, 103116
90, 102667
91, 102935
92, 103018
93, 102891
94, 102675
95, 102329
96, 102064
97, 101994
98, 101972
99, 101871
